id,AB,Longitud,Latitud
66,195.000000,-25.160,37.860
67,195.000000,-25.160,37.858
68,195.000000,-25.159,37.856
69,195.000000,-25.158,37.855
70,195.000000,-25.157,37.854
71,195.000000,-25.155,37.853
72,195.000000,-25.154,37.851
73,195.000000,-25.153,37.849
74,195.000000,-25.152,37.847
75,195.000000,-25.154,37.847
76,195.000000,-25.156,37.847
77,195.000000,-25.158,37.846
78,195.000000,-25.160,37.846
79,195.000000,-25.161,37.845
80,195.000000,-25.163,37.844
81,195.000000,-25.164,37.843
82,195.000000,-25.165,37.841
83,195.000000,-25.165,37.839
84,195.000000,-25.166,37.838
85,195.000000,-25.168,37.837
86,195.000000,-25.169,37.836
87,195.000000,-25.171,37.835
88,195.000000,-25.173,37.835
89,195.000000,-25.175,37.834
90,195.000000,-25.177,37.834
91,195.000000,-25.179,37.833
92,195.000000,-25.181,37.833
93,195.000000,-25.182,37.832
94,195.000000,-25.184,37.831
95,195.000000,-25.186,37.829
96,195.000000,-25.188,37.828
97,195.000000,-25.190,37.827
98,195.000000,-25.192,37.827
99,195.000000,-25.193,37.826
100,195.000000,-25.196,37.825
101,195.000000,-25.197,37.824
102,195.000000,-25.199,37.823
103,195.000000,-25.199,37.822
104,195.000000,-25.200,37.820
105,195.000000,-25.202,37.818
106,195.000000,-25.204,37.816
107,195.000000,-25.205,37.815
108,195.000000,-25.207,37.814
109,195.000000,-25.210,37.813
110,195.000000,-25.211,37.812
111,195.000000,-25.213,37.810
112,195.000000,-25.214,37.808
113,195.000000,-25.216,37.807
114,195.000000,-25.217,37.805
115,195.000000,-25.218,37.803
116,195.000000,-25.219,37.801
117,195.000000,-25.220,37.800
118,195.000000,-25.221,37.798
119,195.000000,-25.222,37.796
120,195.000000,-25.223,37.794
121,195.000000,-25.224,37.792
122,195.000000,-25.225,37.790
123,195.000000,-25.226,37.788
124,195.000000,-25.227,37.786
125,195.000000,-25.229,37.786
126,195.000000,-25.230,37.786
127,195.000000,-25.232,37.786
128,195.000000,-25.234,37.786
129,195.000000,-25.236,37.785
130,195.000000,-25.238,37.784
131,195.000000,-25.239,37.783
132,195.000000,-25.241,37.781
133,195.000000,-25.240,37.779
134,195.000000,-25.239,37.777
135,195.000000,-25.237,37.776
136,195.000000,-25.235,37.776
137,195.000000,-25.232,37.775
138,195.000000,-25.230,37.776
139,195.000000,-25.227,37.776
140,195.000000,-25.226,37.775
141,195.000000,-25.224,37.774
142,195.000000,-25.223,37.772
143,195.000000,-25.221,37.771
144,195.000000,-25.218,37.771
145,195.000000,-25.216,37.771
146,195.000000,-25.214,37.770
147,195.000000,-25.212,37.769
148,195.000000,-25.210,37.768
149,195.000000,-25.209,37.767
150,195.000000,-25.207,37.765
151,195.000000,-25.205,37.764
152,195.000000,-25.202,37.763
153,195.000000,-25.200,37.763
154,195.000000,-25.197,37.764
155,195.000000,-25.195,37.766
156,195.000000,-25.193,37.767
157,195.000000,-25.191,37.768
158,195.000000,-25.188,37.769
159,195.000000,-25.186,37.770
160,195.000000,-25.183,37.770
161,195.000000,-25.181,37.771
162,195.000000,-25.179,37.772
163,195.000000,-25.176,37.773
164,195.000000,-25.173,37.774
165,195.000000,-25.170,37.774
166,195.000000,-25.168,37.774
167,195.000000,-25.166,37.772
168,195.000000,-25.164,37.771
169,195.000000,-25.162,37.772
170,195.000000,-25.160,37.774
171,195.000000,-25.157,37.774
172,195.000000,-25.155,37.774
173,195.000000,-25.152,37.774
174,195.000000,-25.150,37.775
175,195.000000,-25.151,37.777
176,195.000000,-25.151,37.778
177,195.000000,-25.152,37.780
178,195.000000,-25.151,37.783
179,195.000000,-25.149,37.784
180,195.000000,-25.147,37.785
181,195.000000,-25.145,37.786
182,195.000000,-25.141,37.786
183,195.000000,-25.138,37.786
184,195.000000,-25.135,37.785
185,195.000000,-25.132,37.785
186,195.000000,-25.129,37.784
187,195.000000,-25.126,37.783
188,195.000000,-25.124,37.783
189,195.000000,-25.121,37.783
190,195.000000,-25.118,37.782
191,195.000000,-25.113,37.780
192,195.000000,-25.116,37.781
193,190.000000,-25.205,37.875
194,190.000000,-25.205,37.874
195,190.000000,-25.205,37.871
196,190.000000,-25.205,37.869
197,190.000000,-25.206,37.867
198,190.000000,-25.206,37.865
199,190.000000,-25.207,37.862
200,190.000000,-25.207,37.860
201,190.000000,-25.207,37.858
202,190.000000,-25.207,37.855
203,190.000000,-25.208,37.853
204,190.000000,-25.209,37.851
205,190.000000,-25.210,37.849
206,190.000000,-25.211,37.847
207,190.000000,-25.211,37.846
208,190.000000,-25.213,37.844
209,190.000000,-25.213,37.842
210,190.000000,-25.213,37.840
211,190.000000,-25.213,37.838
212,190.000000,-25.214,37.836
213,190.000000,-25.215,37.835
214,190.000000,-25.216,37.834
215,190.000000,-25.218,37.835
216,190.000000,-25.220,37.836
217,190.000000,-25.221,37.837
218,190.000000,-25.222,37.838
219,190.000000,-25.224,37.840
220,190.000000,-25.226,37.841
221,190.000000,-25.227,37.843
222,190.000000,-25.229,37.844
223,190.000000,-25.230,37.846
224,190.000000,-25.231,37.847
225,190.000000,-25.232,37.848
226,190.000000,-25.234,37.847
227,190.000000,-25.235,37.845
228,190.000000,-25.236,37.844
229,190.000000,-25.238,37.843
230,190.000000,-25.240,37.842
231,190.000000,-25.242,37.841
232,190.000000,-25.244,37.839
233,190.000000,-25.246,37.837
234,190.000000,-25.247,37.836
235,190.000000,-25.249,37.834
236,190.000000,-25.250,37.832
237,190.000000,-25.251,37.831
238,190.000000,-25.254,37.831
239,190.000000,-25.256,37.830
240,190.000000,-25.257,37.828
241,190.000000,-25.258,37.826
242,190.000000,-25.259,37.824
243,190.000000,-25.257,37.822
244,190.000000,-25.253,37.822
245,190.000000,-25.251,37.822
246,190.000000,-25.248,37.823
247,190.000000,-25.245,37.823
248,190.000000,-25.242,37.823
249,190.000000,-25.239,37.822
250,190.000000,-25.236,37.821
251,190.000000,-25.233,37.820
252,190.000000,-25.231,37.818
253,190.000000,-25.230,37.815
254,190.000000,-25.231,37.812
255,190.000000,-25.232,37.809
256,190.000000,-25.233,37.807
257,190.000000,-25.232,37.804
258,190.000000,-25.232,37.802
259,190.000000,-25.234,37.799
260,190.000000,-25.235,37.798
261,190.000000,-25.237,37.796
262,190.000000,-25.239,37.794
263,190.000000,-25.241,37.793
264,190.000000,-25.244,37.792
265,190.000000,-25.246,37.791
266,190.000000,-25.248,37.789
267,190.000000,-25.248,37.787
268,190.000000,-25.249,37.785
269,190.000000,-25.249,37.782
270,190.000000,-25.248,37.780
271,190.000000,-25.247,37.778
272,190.000000,-25.245,37.776
273,190.000000,-25.242,37.774
274,190.000000,-25.239,37.773
275,190.000000,-25.237,37.772
276,190.000000,-25.235,37.771
277,190.000000,-25.233,37.770
278,190.000000,-25.230,37.768
279,190.000000,-25.229,37.767
280,190.000000,-25.226,37.765
281,190.000000,-25.223,37.765
282,190.000000,-25.221,37.763
283,190.000000,-25.219,37.762
284,190.000000,-25.216,37.760
285,190.000000,-25.213,37.760
286,190.000000,-25.211,37.759
287,190.000000,-25.208,37.759
288,190.000000,-25.206,37.758
289,190.000000,-25.203,37.757
290,190.000000,-25.199,37.756
291,190.000000,-25.197,37.756
292,190.000000,-25.194,37.756
293,190.000000,-25.190,37.756
294,190.000000,-25.187,37.755
295,190.000000,-25.185,37.756
296,190.000000,-25.182,37.756
297,190.000000,-25.179,37.756
298,190.000000,-25.177,37.755
299,190.000000,-25.175,37.755
300,190.000000,-25.174,37.756
301,190.000000,-25.171,37.757
302,190.000000,-25.169,37.756
303,190.000000,-25.167,37.755
304,190.000000,-25.165,37.754
305,190.000000,-25.163,37.754
306,190.000000,-25.161,37.755
307,190.000000,-25.159,37.757
308,190.000000,-25.159,37.758
309,190.000000,-25.160,37.760
310,190.000000,-25.159,37.762
311,190.000000,-25.157,37.762
312,190.000000,-25.155,37.760
313,190.000000,-25.153,37.759
314,190.000000,-25.151,37.757
315,190.000000,-25.151,37.755
316,190.000000,-25.151,37.753
317,190.000000,-25.151,37.751
318,190.000000,-25.151,37.749
319,190.000000,-25.267,37.797
320,190.000000,-25.268,37.796
321,190.000000,-25.269,37.795
322,190.000000,-25.270,37.793
323,190.000000,-25.269,37.792
324,190.000000,-25.268,37.790
325,190.000000,-25.266,37.790
326,190.000000,-25.265,37.791
327,190.000000,-25.263,37.792
328,190.000000,-25.263,37.794
329,190.000000,-25.264,37.795
330,190.000000,-25.265,37.796
331,190.000000,-25.266,37.797
332,185.000000,-25.284,37.883
333,185.000000,-25.284,37.880
334,185.000000,-25.285,37.879
335,185.000000,-25.286,37.877
336,185.000000,-25.288,37.875
337,185.000000,-25.289,37.874
338,185.000000,-25.291,37.873
339,185.000000,-25.292,37.872
340,185.000000,-25.293,37.870
341,185.000000,-25.294,37.869
342,185.000000,-25.296,37.867
343,185.000000,-25.296,37.866
344,185.000000,-25.295,37.865
345,185.000000,-25.294,37.863
346,185.000000,-25.292,37.862
347,185.000000,-25.292,37.860
348,185.000000,-25.294,37.858
349,185.000000,-25.296,37.857
350,185.000000,-25.297,37.855
351,185.000000,-25.299,37.854
352,185.000000,-25.300,37.852
353,185.000000,-25.300,37.851
354,185.000000,-25.300,37.848
355,185.000000,-25.301,37.847
356,185.000000,-25.302,37.846
357,185.000000,-25.305,37.845
358,185.000000,-25.306,37.845
359,185.000000,-25.307,37.843
360,185.000000,-25.306,37.841
361,185.000000,-25.306,37.839
362,185.000000,-25.306,37.836
363,185.000000,-25.307,37.834
364,185.000000,-25.309,37.833
365,185.000000,-25.310,37.831
366,185.000000,-25.311,37.830
367,185.000000,-25.312,37.828
368,185.000000,-25.312,37.825
369,185.000000,-25.312,37.822
370,185.000000,-25.311,37.820
371,185.000000,-25.310,37.818
372,185.000000,-25.308,37.816
373,185.000000,-25.306,37.815
374,185.000000,-25.305,37.813
375,185.000000,-25.303,37.812
376,185.000000,-25.301,37.810
377,185.000000,-25.300,37.808
378,185.000000,-25.298,37.806
379,185.000000,-25.296,37.805
380,185.000000,-25.294,37.803
381,185.000000,-25.292,37.801
382,185.000000,-25.290,37.800
383,185.000000,-25.288,37.798
384,185.000000,-25.286,37.797
385,185.000000,-25.284,37.796
386,185.000000,-25.282,37.794
387,185.000000,-25.280,37.793
388,185.000000,-25.278,37.792
389,185.000000,-25.276,37.790
390,185.000000,-25.274,37.789
391,185.000000,-25.274,37.788
392,185.000000,-25.277,37.787
393,185.000000,-25.279,37.786
394,185.000000,-25.281,37.785
395,185.000000,-25.282,37.784
396,185.000000,-25.282,37.782
397,185.000000,-25.280,37.781
398,185.000000,-25.278,37.780
399,185.000000,-25.276,37.779
400,185.000000,-25.274,37.778
401,185.000000,-25.272,37.777
402,185.000000,-25.271,37.776
403,185.000000,-25.269,37.774
404,185.000000,-25.267,37.774
405,185.000000,-25.265,37.773
406,185.000000,-25.263,37.772
407,185.000000,-25.261,37.771
408,185.000000,-25.259,37.770
409,185.000000,-25.257,37.769
410,185.000000,-25.254,37.768
411,185.000000,-25.251,37.768
412,185.000000,-25.248,37.768
413,185.000000,-25.246,37.769
414,185.000000,-25.243,37.768
415,185.000000,-25.241,37.768
416,185.000000,-25.239,37.766
417,185.000000,-25.238,37.764
418,185.000000,-25.236,37.763
419,185.000000,-25.234,37.761
420,185.000000,-25.232,37.759
421,185.000000,-25.231,37.757
422,185.000000,-25.229,37.756
423,185.000000,-25.226,37.754
424,185.000000,-25.224,37.752
425,185.000000,-25.223,37.750
426,185.000000,-25.222,37.748
427,185.000000,-25.219,37.747
428,185.000000,-25.217,37.745
429,185.000000,-25.214,37.745
430,185.000000,-25.212,37.746
431,185.000000,-25.210,37.747
432,185.000000,-25.207,37.748
433,185.000000,-25.205,37.749
434,185.000000,-25.202,37.749
435,185.000000,-25.199,37.749
436,185.000000,-25.197,37.749
437,185.000000,-25.195,37.748
438,185.000000,-25.192,37.747
439,185.000000,-25.190,37.745
440,185.000000,-25.188,37.744
441,185.000000,-25.186,37.743
442,185.000000,-25.184,37.741
443,185.000000,-25.182,37.740
444,185.000000,-25.179,37.738
445,185.000000,-25.178,37.736
446,185.000000,-25.177,37.733
447,185.000000,-25.176,37.732
448,185.000000,-25.174,37.730
449,185.000000,-25.173,37.729
450,185.000000,-25.171,37.728
451,185.000000,-25.168,37.728
452,185.000000,-25.166,37.729
453,185.000000,-25.164,37.728
454,175.000000,-25.318,37.883
455,175.000000,-25.318,37.881
456,175.000000,-25.318,37.879
457,175.000000,-25.317,37.876
458,175.000000,-25.316,37.874
459,175.000000,-25.315,37.872
460,175.000000,-25.314,37.871
461,175.000000,-25.313,37.869
462,175.000000,-25.312,37.868
463,175.000000,-25.311,37.866
464,173.000000,-25.310,37.865
465,175.000000,-25.310,37.863
466,175.000000,-25.311,37.861
467,175.000000,-25.313,37.860
468,175.000000,-25.315,37.859
469,175.000000,-25.317,37.858
470,175.000000,-25.319,37.857
471,175.000000,-25.321,37.857
472,175.000000,-25.322,37.856
473,175.000000,-25.323,37.854
474,175.000000,-25.324,37.853
475,175.000000,-25.325,37.851
476,175.000000,-25.326,37.848
477,175.000000,-25.326,37.846
478,175.000000,-25.327,37.844
479,175.000000,-25.328,37.842
480,175.000000,-25.329,37.840
481,175.000000,-25.331,37.838
482,175.000000,-25.332,37.837
483,175.000000,-25.334,37.835
484,175.000000,-25.335,37.833
485,175.000000,-25.337,37.832
486,175.000000,-25.339,37.830
487,175.000000,-25.341,37.830
488,175.000000,-25.344,37.829
489,175.000000,-25.346,37.830
490,175.000000,-25.348,37.830
491,175.000000,-25.351,37.829
492,175.000000,-25.354,37.830
493,175.000000,-25.357,37.830
494,175.000000,-25.359,37.831
495,175.000000,-25.362,37.831
496,175.000000,-25.364,37.830
497,175.000000,-25.367,37.828
498,175.000000,-25.368,37.827
499,175.000000,-25.370,37.827
500,175.000000,-25.372,37.828
501,175.000000,-25.374,37.830
502,175.000000,-25.375,37.830
503,175.000000,-25.375,37.828
504,15.000000,-25.375,37.826
505,175.000000,-25.375,37.824
506,175.000000,-25.375,37.821
507,175.000000,-25.375,37.819
508,175.000000,-25.374,37.816
509,175.000000,-25.373,37.814
510,175.000000,-25.371,37.812
511,175.000000,-25.370,37.809
512,175.000000,-25.370,37.806
513,175.000000,-25.370,37.803
514,175.000000,-25.370,37.800
515,175.000000,-25.369,37.796
516,175.000000,-25.367,37.794
517,175.000000,-25.366,37.791
518,175.000000,-25.366,37.788
519,175.000000,-25.365,37.785
520,175.000000,-25.364,37.783
521,175.000000,-25.360,37.782
522,175.000000,-25.358,37.781
523,175.000000,-25.355,37.780
524,175.000000,-25.352,37.779
525,175.000000,-25.349,37.778
526,175.000000,-25.345,37.778
527,175.000000,-25.341,37.778
528,175.000000,-25.338,37.778
529,175.000000,-25.335,37.779
530,175.000000,-25.333,37.778
531,175.000000,-25.330,37.778
532,175.000000,-25.326,37.777
533,175.000000,-25.323,37.778
534,175.000000,-25.320,37.778
535,175.000000,-25.319,37.780
536,175.000000,-25.319,37.783
537,175.000000,-25.318,37.786
538,175.000000,-25.317,37.788
539,175.000000,-25.318,37.790
540,175.000000,-25.319,37.792
541,175.000000,-25.318,37.794
542,175.000000,-25.315,37.794
543,175.000000,-25.313,37.793
544,175.000000,-25.311,37.792
545,175.000000,-25.310,37.789
546,175.000000,-25.309,37.787
547,175.000000,-25.310,37.784
548,175.000000,-25.308,37.782
549,175.000000,-25.305,37.781
550,175.000000,-25.303,37.779
551,175.000000,-25.302,37.777
552,175.000000,-25.300,37.775
553,175.000000,-25.298,37.773
554,175.000000,-25.296,37.769
555,175.000000,-25.295,37.766
556,175.000000,-25.294,37.764
557,175.000000,-25.293,37.760
558,175.000000,-25.292,37.757
559,175.000000,-25.291,37.755
560,175.000000,-25.289,37.753
561,175.000000,-25.286,37.753
562,175.000000,-25.283,37.755
563,175.000000,-25.281,37.758
564,175.000000,-25.280,37.760
565,175.000000,-25.280,37.763
566,175.000000,-25.280,37.766
567,175.000000,-25.279,37.767
568,175.000000,-25.276,37.767
569,175.000000,-25.273,37.765
570,175.000000,-25.271,37.764
571,175.000000,-25.268,37.763
572,175.000000,-25.265,37.762
573,175.000000,-25.263,37.761
574,175.000000,-25.261,37.759
575,175.000000,-25.259,37.757
576,175.000000,-25.257,37.755
577,175.000000,-25.255,37.753
578,175.000000,-25.253,37.751
579,175.000000,-25.251,37.748
580,175.000000,-25.251,37.745
581,175.000000,-25.251,37.742
582,175.000000,-25.250,37.739
583,175.000000,-25.249,37.736
584,175.000000,-25.249,37.732
585,175.000000,-25.249,37.729
586,185.000000,-25.288,37.768
587,185.000000,-25.286,37.769
588,185.000000,-25.285,37.768
589,185.000000,-25.284,37.767
590,185.000000,-25.284,37.765
591,185.000000,-25.285,37.764
592,185.000000,-25.287,37.764
593,185.000000,-25.289,37.765
594,185.000000,-25.290,37.766
595,185.000000,-25.289,37.767
596,170.000000,-25.439,37.846
597,170.000000,-25.439,37.843
598,170.000000,-25.439,37.840
599,170.000000,-25.440,37.836
600,170.000000,-25.440,37.833
601,170.000000,-25.440,37.830
602,170.000000,-25.441,37.826
603,170.000000,-25.441,37.822
604,170.000000,-25.442,37.819
605,170.000000,-25.442,37.816
606,170.000000,-25.442,37.813
607,170.000000,-25.440,37.809
608,170.000000,-25.436,37.808
609,170.000000,-25.432,37.807
610,170.000000,-25.427,37.807
611,170.000000,-25.423,37.807
612,170.000000,-25.418,37.806
613,170.000000,-25.414,37.804
614,170.000000,-25.411,37.801
615,170.000000,-25.410,37.797
