X,Y,id,AB
-25.1758652607274,37.7946954036549,1,200.000000
-25.1746056040046,37.7951152892292,2,200.000000
-25.1738498099709,37.7959550603777,3,200.000000
-25.1735139015114,37.796962785756,4,200.000000
-25.1738498099709,37.7980544882491,5,200.000000
-25.1748575353491,37.7986423280531,6,200.000000
-25.1758652607274,37.7988102822828,7,200.000000
-25.1769569632205,37.7984743738234,8,200.000000
-25.1776287801393,37.79755062556,9,200.000000
-25.1779646885988,37.796374945952,10,200.000000
-25.1773768487948,37.7954511976886,11,200.000000
-25.1767050318759,37.7950313121143,12,200.000000
-25.2041655484336,37.7802513398998,13,200.000000
-25.2027379374811,37.7802513398998,14,200.000000
-25.201058395184,37.7808391797037,15,200.000000
-25.1996307842314,37.7815109966226,16,200.000000
-25.1978672648195,37.7823507677711,17,200.000000
-25.1963556767521,37.7833584931494,18,200.000000
-25.1950120429144,37.7846181498722,19,200.000000
-25.1938363633064,37.7857098523654,20,200.000000
-25.1926606836984,37.7868015548585,21,200.000000
-25.1913170498608,37.787641326007,22,200.000000
-25.1906452329419,37.7886490513853,23,200.000000
-25.1914010269756,37.7900766623378,24,200.000000
-25.192324775239,37.7914202961755,25,200.000000
-25.1929965921579,37.7928479071281,26,200.000000
-25.1933325006173,37.7943594951955,27,200.000000
-25.1935844319619,37.7956191519183,28,200.000000
-25.1937523861916,37.7970467628708,29,200.000000
-25.1944242031104,37.7981384653639,30,200.000000
-25.1953479513738,37.7993981220868,31,200.000000
-25.1960197682927,37.8004898245799,32,200.000000
-25.1970274936709,37.801581527073,33,200.000000
-25.1983711275086,37.8022533439919,34,200.000000
-25.2000506698057,37.802169366877,35,200.000000
-25.201646234988,37.8017494813027,36,200.000000
-25.2031578230554,37.800993687269,37,200.000000
-25.2048373653525,37.8003218703502,38,200.000000
-25.2060970220753,37.7994820992016,39,200.000000
-25.2076925872575,37.7987263051679,40,200.000000
-25.2092041753249,37.7978025569045,41,200.000000
-25.2107997405072,37.7965429001817,42,200.000000
-25.2115555345409,37.7949473349994,43,200.000000
-25.2121433743449,37.7933517698172,44,200.000000
-25.2123953056894,37.7913363190607,45,200.000000
-25.2124792828043,37.789404845419,46,200.000000
-25.2123953056894,37.7877253031219,47,200.000000
-25.2118074658855,37.7862137150545,48,200.000000
-25.2107997405072,37.7849540583317,49,200.000000
-25.2097920151289,37.7839463329534,50,200.000000
-25.2084483812912,37.7828546304603,51,200.000000
-25.2067688389941,37.7819308821969,52,200.000000
-25.2054252051565,37.781259065278,53,200.000000
-25.1518688001574,37.8702328184672,54,195.000000
-25.1535483424545,37.870400772697,55,195.000000
-25.1550599305219,37.8713245209604,56,195.000000
-25.156739472819,37.8720803149941,57,195.000000
-25.1580831066567,37.8721642921089,58,195.000000
-25.1594267404944,37.8716604294198,59,195.000000
-25.1598466260687,37.8702328184672,60,195.000000
-25.1599306031836,37.868637253285,61,195.000000
-25.1600145802984,37.8671256652176,62,195.000000
-25.1598466260687,37.8654461229205,63,195.000000
-25.1600145802984,37.8639345348531,64,195.000000
-25.1600985574133,37.8624229467857,65,195.000000
-25.1600985574133,37.860491473144,66,195.000000
-25.1599306031836,37.8582240910429,67,195.000000
-25.1594267404944,37.8562926174013,68,195.000000
-25.1579991295419,37.8551169377933,69,195.000000
-25.156739472819,37.8537733039556,70,195.000000
-25.1553958389814,37.8525136472328,71,195.000000
-25.1540522051437,37.8509180820505,72,195.000000
-25.1529605026506,37.8490705855237,73,195.000000
-25.1524566399614,37.8474750203415,74,195.000000
-25.1542201593734,37.8470551347672,75,195.000000
-25.1564035643596,37.8468032034226,76,195.000000
-25.1580831066567,37.8463833178483,77,195.000000
-25.159678671839,37.8457954780444,78,195.000000
-25.1611062827915,37.8451236611255,79,195.000000
-25.1627018479738,37.843696050173,80,195.000000
-25.1642134360412,37.8426043476798,81,195.000000
-25.1650532071897,37.8411767367273,82,195.000000
-25.1653051385343,37.8394132173153,83,195.000000
-25.1663968410274,37.8379856063628,84,195.000000
-25.1678244519799,37.83672594964,85,195.000000
-25.1692520629325,37.8356342471469,86,195.000000
-25.1709316052296,37.8350464073429,87,195.000000
-25.1727791017564,37.8346265217686,88,195.000000
-25.1749625067427,37.8339547048497,89,195.000000
-25.1768100032695,37.8335348192755,90,195.000000
-25.178825454026,37.8331149337012,91,195.000000
-25.1808409047825,37.8326950481269,92,195.000000
-25.1824364699648,37.8320232312081,93,195.000000
-25.184032035147,37.8308475516001,94,195.000000
-25.1857115774441,37.8290840321881,95,195.000000
-25.1877270282007,37.8279083525802,96,195.000000
