longitude,latitude,Fa (mGal)
-14.039367971291293,28.77653197390965,100.0
-14.038590544414033,28.777160947240176,100.0
-14.037813117536773,28.7777899205707,100.0
-14.037035690659513,28.77841889390123,100.0
-14.036258263782253,28.779047867231753,100.0
-14.035480836904993,28.77967684056228,100.0
-14.034703410027733,28.780305813892806,100.0
-14.033925983150471,28.780934787223334,100.0
-14.033148556273211,28.78156376055386,100.0
-14.032371129395951,28.782192733884386,100.0
-14.031593702518691,28.782821707214914,100.0
-14.030816275641431,28.78345068054544,100.0
-14.030038848764171,28.784079653875967,100.0
-14.029261421886911,28.78470862720649,100.0
-14.028483995009651,28.78533760053702,100.0
-14.02765197731929,28.785879420199787,100.0
-14.026746775497786,28.786304402155107,100.0
-14.025841573676283,28.78672938411043,100.0
-14.02493637185478,28.78715436606575,100.0
-14.024031170033279,28.78757934802107,100.0
-14.023125968211776,28.788004329976392,100.0
-14.022220766390273,28.78842931193171,100.0
-14.02131556456877,28.78885429388703,100.0
-14.020410362747267,28.789279275842354,100.0
-14.019505160925764,28.789704257797673,100.0
-14.018599959104263,28.790129239752993,100.0
-14.01769475728276,28.790554221708316,100.0
-14.016789555461257,28.790979203663635,100.0
-14.015884353639754,28.791404185618955,100.0
-14.01497915181825,28.791829167574278,100.0
-14.014073949996748,28.792254149529597,100.0
-14.013168748175246,28.792679131484917,100.0
-14.012263546353743,28.79310411344024,100.0
-14.01135834453224,28.79352909539556,100.0
-14.010453142710737,28.79395407735088,100.0
-14.009547940889234,28.794379059306202,100.0
-14.008642739067731,28.79480404126152,100.0
-14.00773753724623,28.79522902321684,100.0
-14.006832335424727,28.795654005172164,100.0
-14.005927133603224,28.796078987127483,100.0
-14.005021931781721,28.796503969082803,100.0
-14.004116729960218,28.796928951038126,100.0
-14.003216717283271,28.79736463203177,100.0
-14.002322549069104,28.79781236320644,100.0
-14.001428380854938,28.798260094381114,100.0
-14.00053421264077,28.798707825555788,100.0
-13.999640044426604,28.79915555673046,100.0
-13.998745876212437,28.799603287905132,100.0
-13.99785170799827,28.800051019079806,100.0
-13.996957539784104,28.80049875025448,100.0
-13.996063371569937,28.80094648142915,100.0
-13.99516920335577,28.801394212603824,100.0
-13.994275035141605,28.8018419437785,100.0
-13.993380866927438,28.802289674953172,100.0
-13.992486698713272,28.802737406127843,100.0
-13.991592530499105,28.803185137302517,100.0
-13.990698362284938,28.80363286847719,100.0
-13.989804194070771,28.804080599651865,100.0
-13.988910025856605,28.804528330826535,100.0
-13.988015857642438,28.80497606200121,100.0
-13.987121689428271,28.805423793175883,100.0
-13.986227521214104,28.805871524350557,100.0
-13.985333352999938,28.806319255525228,100.0
-13.984439184785773,28.806766986699902,100.0
-13.983545016571606,28.807214717874576,100.0
-13.982650848357439,28.807662449049246,100.0
-13.981756680143272,28.80811018022392,100.0
-13.980862511929105,28.808557911398594,100.0
-13.979968343714939,28.80900564257327,100.0
-13.979074175500772,28.80945337374794,100.0
-13.978180007286605,28.809901104922613,100.0
-13.977285839072438,28.810348836097287,100.0
-13.976391670858272,28.81079656727196,100.0
-13.975497502644107,28.81124429844663,100.0
-13.97460333442994,28.811692029621305,100.0
-13.973709166215773,28.81213976079598,100.0
-13.97284887681819,28.812642235193326,100.0
-13.972049253455552,28.81324273704838,100.0
-13.971249630092915,28.813843238903438,100.0
-13.970450006730278,28.81444374075849,100.0
-13.96965038336764,28.815044242613546,100.0
-13.968850760005003,28.815644744468603,100.0
-13.968051136642366,28.816245246323657,100.0
-13.967251513279727,28.81684574817871,100.0
-13.96645188991709,28.817446250033765,100.0
-13.965652266554454,28.818046751888822,100.0
-13.964852643191815,28.818647253743876,100.0
-13.964053019829178,28.81924775559893,100.0
-13.96325339646654,28.819848257453984,100.0
-13.962453773103903,28.82044875930904,100.0
-13.961654149741266,28.821049261164095,100.0
-13.960854526378627,28.82164976301915,100.0
-13.96005490301599,28.822250264874206,100.0
-13.959255279653354,28.82285076672926,100.0
-13.958455656290715,28.823451268584314,100.0
-13.957656032928078,28.824051770439368,100.0
-13.956856409565441,28.824652272294426,100.0
-13.956056786202803,28.82525277414948,100.0
-13.955257162840166,28.825853276004533,100.0
-13.954527870400929,28.8265287549955,100.0
-13.95387751164515,28.827288382199317,100.0
-13.953227152889369,28.828048009403137,100.0
-13.952576794133588,28.828807636606953,100.0
-13.951926435377809,28.82956726381077,100.0
-13.951276076622028,28.83032689101459,100.0
-13.950625717866247,28.831086518218406,100.0
-13.949975359110466,28.831846145422222,100.0
-13.949325000354687,28.832605772626042,100.0
-13.948674641598906,28.83336539982986,100.0
-13.948024282843125,28.834125027033675,100.0
-13.947373924087344,28.834884654237495,100.0
-13.946723565331565,28.83564428144131,100.0
-13.946073206575784,28.836403908645128,100.0
-13.945422847820003,28.837163535848948,100.0
-13.944772489064224,28.837923163052764,100.0
-13.944122130308443,28.83868279025658,100.0
-13.943471771552662,28.8394424174604,100.0
-13.942821412796881,28.840202044664217,100.0
-13.942171054041102,28.840961671868033,100.0
-13.941520695285321,28.841721299071853,100.0
-13.94087033652954,28.84248092627567,100.0
-13.94021997777376,28.843240553479486,100.0
-13.93956961901798,28.844000180683306,100.0
-13.938998243145182,28.844810853043036,100.0
-13.938572795516407,28.845715836089934,100.0
-13.938147347887632,28.846620819136827,100.0
-13.937721900258856,28.847525802183725,100.0
-13.93729645263008,28.848430785230622,100.0
-13.936871005001306,28.849335768277516,100.0
-13.93644555737253,28.850240751324414,100.0
-13.936020109743755,28.85114573437131,100.0
-13.93559466211498,28.852050717418205,100.0
-13.935169214486203,28.852955700465102,100.0
-13.934743766857428,28.853860683511996,100.0
-13.934318319228652,28.854765666558894,100.0
-13.933892871599877,28.85567064960579,100.0
-13.933467423971102,28.856575632652685,100.0
-14.042853895538553,28.784934057841856,90.0
