longitude,latitude,Fa (mGal)
-15.901349987973303,27.900897750504505,200.0
-15.902077656621076,27.90158367931936,200.0
-15.902805325268849,27.902269608134215,200.0
-15.903532993916622,27.90295553694907,200.0
-15.904260662564395,27.903641465763926,200.0
-15.904988331212168,27.90432739457878,200.0
-15.905715999859941,27.905013323393632,200.0
-15.906443668507714,27.90569925220849,200.0
-15.907171337155487,27.906385181023342,200.0
-15.90789900580326,27.9070711098382,200.0
-15.908626674451034,27.907757038653052,200.0
-15.909354343098807,27.908442967467906,200.0
-15.91008201174658,27.909128896282763,200.0
-15.910552100481548,27.909994135929967,200.0
-15.910942752617062,27.910914674309947,200.0
-15.911333404752577,27.91183521268993,200.0
-15.911724056888092,27.91275575106991,200.0
-15.912114709023609,27.91367628944989,200.0
-15.912505361159123,27.91459682782987,200.0
-15.912896013294638,27.91551736620985,200.0
-15.913286665430153,27.91643790458983,200.0
-15.913677317565668,27.917358442969814,200.0
-15.914162774823946,27.918229126983768,200.0
-15.9146997980624,27.919072694432977,200.0
-15.915236821300855,27.919916261882182,200.0
-15.91577384453931,27.920759829331388,200.0
-15.916310867777764,27.921603396780593,200.0
-15.916847891016218,27.9224469642298,200.0
-15.917384914254672,27.923290531679005,200.0
-15.917921937493126,27.924134099128214,200.0
-15.91845896073158,27.92497766657742,200.0
-15.918995983970035,27.925821234026625,200.0
-15.91941941960834,27.92672329173384,200.0
-15.919794185471533,27.927650411223325,200.0
-15.920168951334725,27.92857753071281,200.0
-15.920543717197917,27.929504650202297,200.0
-15.92091848306111,27.930431769691786,200.0
-15.921293248924302,27.931358889181272,200.0
-15.921668014787494,27.932286008670758,200.0
-15.922042780650687,27.933213128160244,200.0
-15.92235055056226,27.934163844548266,200.0
-15.922639517054423,27.935121183760042,200.0
-15.922928483546587,27.936078522971822,200.0
-15.92321745003875,27.9370358621836,200.0
-15.923506416530914,27.937993201395376,200.0
-15.923795383023077,27.938950540607156,200.0
-15.92408434951524,27.939907879818932,200.0
-15.924373316007404,27.94086521903071,200.0
-15.924544676837101,27.941844800022135,200.0
-15.924625270407583,27.94284154706948,200.0
-15.924705863978067,27.94383829411683,200.0
-15.92478645754855,27.94483504116418,200.0
-15.924867051119032,27.945831788211525,200.0
-15.924947644689514,27.946828535258874,200.0
-15.925028238259996,27.947825282306223,200.0
-15.925075457332754,27.948821926149826,200.0
-15.924988700893575,27.949818155701816,200.0
-15.924901944454394,27.950814385253807,200.0
-15.924815188015215,27.9518106148058,200.0
-15.924728431576034,27.95280684435779,200.0
-15.924641675136854,27.953803073909782,200.0
-15.924554918697673,27.954799303461773,200.0
-15.924468162258494,27.955795533013767,200.0
-15.924381405819313,27.956791762565757,200.0
-15.924294649380133,27.957787992117748,200.0
-15.924207892940954,27.958784221669738,200.0
-15.924121136501773,27.95978045122173,200.0
-15.924034380062594,27.960776680773723,200.0
-15.923947623623413,27.961772910325713,200.0
-15.92377706676217,27.962754809853013,200.0
-15.923527859396943,27.963723260000993,200.0
-15.923278652031717,27.96469171014897,200.0
-15.92302944466649,27.965660160296945,200.0
-15.922780237301263,27.96662861044492,200.0
-15.922531029936035,27.9675970605929,200.0
-15.92228182257081,27.968565510740877,200.0
-15.922032615205582,27.969533960888853,200.0
-15.921783407840355,27.97050241103683,200.0
-15.92153420047513,27.97147086118481,200.0
-15.921284993109902,27.972439311332785,200.0
-15.921035785744674,27.97340776148076,200.0
-15.92074606778221,27.97436426930276,200.0
-15.920430089114934,27.97531303559739,200.0
-15.920114110447656,27.976261801892022,200.0
-15.919798131780379,27.977210568186653,200.0
-15.919482153113103,27.97815933448128,200.0
-15.919166174445825,27.97910810077591,200.0
-15.918850195778548,27.98005686707054,200.0
-15.918534217111272,27.98100563336517,200.0
-15.918218238443995,27.981954399659802,200.0
-15.917879906910056,27.982894298450756,200.0
-15.917459550548333,27.983801657546792,200.0
-15.917039194186613,27.984709016642828,200.0
-15.916618837824892,27.985616375738868,200.0
-15.91619848146317,27.986523734834904,200.0
-15.915778125101449,27.98743109393094,200.0
-15.915357768739728,27.988338453026977,200.0
-15.914937412378006,27.989245812123013,200.0
-15.914517056016285,27.99015317121905,200.0
-15.914096699654563,27.991060530315085,200.0
-15.913676343292842,27.99196788941112,200.0
-15.913255986931121,27.992875248507158,200.0
-15.912835630569399,27.993782607603197,200.0
-15.912388787636893,27.99467674088807,200.0
-15.911916044338644,27.995557941077564,200.0
-15.911443301040396,27.996439141267057,200.0
-15.910970557742148,27.997320341456547,200.0
-15.9104978144439,27.99820154164604,200.0
-15.910025071145652,27.999082741835533,200.0
-15.909552327847404,27.999963942025026,200.0
-15.909079584549156,28.00084514221452,200.0
-15.908606841250908,28.00172634240401,200.0
-15.90813409795266,28.002607542593502,200.0
-15.907661354654412,28.003488742782995,200.0
-15.9071969455829,28.00437417271018,200.0
-15.906764791283685,28.005275972389526,200.0
-15.906332636984471,28.006177772068874,200.0
-15.905900482685258,28.00707957174822,200.0
-15.905468328386043,28.00798137142757,200.0
-15.90503617408683,28.008883171106916,200.0
-15.904604019787616,28.009784970786264,200.0
-15.9041718654884,28.01068677046561,200.0
-15.903739711189187,28.01158857014496,200.0
-15.903307556889974,28.012490369824306,200.0
-15.902875402590759,28.013392169503653,200.0
-15.902443248291545,28.014293969183,200.0
-15.902011093992332,28.01519576886235,200.0
-15.901578939693117,28.016097568541696,200.0
-15.901146785393903,28.016999368221043,200.0
-15.900719904101807,28.0179035040717,200.0
-15.90034228159395,28.018829463704492,200.0
-15.899964659086093,28.019755423337283,200.0
-15.899587036578236,28.020681382970075,200.0
-15.899209414070379,28.021607342602866,200.0
-15.898831791562523,28.022533302235658,200.0
-15.898454169054666,28.02345926186845,200.0
-15.89807654654681,28.02438522150124,200.0
-15.897698924038952,28.025311181134033,200.0
-15.897321301531097,28.026237140766824,200.0
-15.89694367902324,28.02716310039962,200.0
-15.896566056515383,28.02808906003241,200.0
-15.896188434007525,28.029015019665202,200.0
-15.895810811499668,28.029940979297994,200.0
-15.895433188991813,28.030866938930785,200.0
-15.895078675075647,28.031801972310603,200.0
-15.894725378260775,28.032737483593593,200.0
-15.894372081445905,28.033672994876582,200.0
-15.894018784631033,28.034608506159575,200.0
-15.893665487816161,28.035544017442565,200.0
-15.893312191001291,28.036479528725554,200.0
-15.89295889418642,28.037415040008543,200.0
-15.892605597371547,28.038350551291533,200.0
-15.892252300556677,28.039286062574526,200.0
-15.891899003741806,28.040221573857515,200.0
-15.891545706926934,28.041157085140505,200.0
-15.89122110207877,28.042100913184093,200.0
-15.891019326355522,28.043080344936442,200.0
-15.890817550632274,28.04405977668879,200.0
-15.890615774909028,28.04503920844114,200.0
-15.89041399918578,28.046018640193484,200.0
-15.890212223462532,28.046998071945833,200.0
-15.890010447739284,28.04797750369818,200.0
-15.889808672016036,28.04895693545053,200.0
-15.889606896292788,28.04993636720288,200.0
-15.889405120569542,28.050915798955227,200.0
-15.889203344846294,28.051895230707576,200.0
-15.889001569123046,28.052874662459924,200.0
-15.88875246074374,28.053841442281627,200.0
-15.888438641243821,28.05479092494154,200.0
-15.888124821743903,28.055740407601448,200.0
-15.887811002243984,28.056689890261357,200.0
-15.887497182744065,28.05763937292127,200.0
-15.887183363244144,28.058588855581178,200.0
-15.886869543744226,28.05953833824109,200.0
-15.886555724244307,28.060487820901,200.0
-15.886241904744388,28.06143730356091,200.0
-15.885928085244469,28.06238678622082,200.0
-15.88561426574455,28.063336268880732,200.0
-15.885300446244631,28.06428575154064,200.0
-15.884986626744713,28.065235234200554,200.0
-15.884689726337033,28.066189418634877,200.0
-15.884468664603297,28.067164678451476,200.0
-15.884247602869559,28.06813993826808,200.0
-15.884026541135823,28.06911519808468,200.0
-15.883805479402087,28.070090457901284,200.0
-15.88358441766835,28.071065717717882,200.0
-15.883363355934614,28.072040977534485,200.0
-15.883142294200876,28.073016237351087,200.0
-15.88292123246714,28.073991497167686,200.0
-15.882700170733404,28.07496675698429,200.0
-15.882479108999668,28.07594201680089,200.0
-15.882258047265932,28.076917276617493,200.0
-15.882036985532194,28.077892536434092,200.0
-15.881815923798458,28.078867796250695,200.0
-15.881594862064722,28.079843056067297,200.0
-15.881373800330985,28.080818315883896,200.0
-15.881143220640745,28.08179071388773,200.0
-15.880789777637807,28.082726169949595,200.0
-15.88043633463487,28.083661626011455,200.0
-15.880082891631933,28.08459708207332,200.0
-15.879729448628995,28.08553253813518,200.0
-15.879376005626057,28.086467994197044,200.0
-15.879022562623119,28.087403450258904,200.0
-15.878669119620183,28.088338906320768,200.0
-15.878315676617245,28.08927436238263,200.0
-15.877962233614307,28.09020981844449,200.0
-15.877608790611369,28.091145274506353,200.0
-15.87725534760843,28.092080730568213,200.0
-15.876916231085662,28.09302120994172,200.0
-15.876608102745058,28.093972554740265,200.0
-15.876299974404454,28.09492389953881,200.0
-15.875991846063851,28.095875244337353,200.0
-15.875683717723247,28.096826589135897,200.0
-15.875375589382644,28.09777793393444,200.0
-15.87506746104204,28.098729278732986,200.0
-15.874759332701437,28.09968062353153,200.0
-15.874451204360833,28.100631968330074,200.0
-15.874143076020228,28.101583313128618,200.0
-15.873834947679626,28.102534657927162,200.0
-15.873526819339022,28.103486002725706,200.0
-15.873092169025552,28.104383238208836,200.0
-15.872617110578355,28.10526319245296,200.0
-15.872142052131156,28.10614314669708,200.0
-15.871666993683958,28.1070231009412,200.0
-15.871191935236759,28.107903055185318,200.0
-15.870716876789562,28.108783009429438,200.0
-15.870241818342363,28.10966296367356,200.0
-15.869766759895164,28.11054291791768,200.0
-15.869291701447965,28.1114228721618,200.0
-15.868816643000768,28.11230282640592,200.0
-15.86834158455357,28.113182780650043,200.0
-15.86786652610637,28.114062734894162,200.0
-15.867398061049,28.11494612932629,200.0
-15.866948046252242,28.11583915042498,200.0
-15.866498031455484,28.116732171523665,200.0
-15.866048016658723,28.11762519262235,200.0
-15.865598001861965,28.118518213721035,200.0
-15.865147987065205,28.119411234819722,200.0
-15.864697972268447,28.120304255918406,200.0
-15.864247957471688,28.121197277017092,200.0
-15.863797942674928,28.12209029811578,200.0
-15.86334792787817,28.122983319214462,200.0
-15.862897913081412,28.12387634031315,200.0
-15.862218811871829,28.124586200290018,200.0
-15.86144672086753,28.125221712273447,200.0
-15.86067462986323,28.125857224256873,200.0
-15.859902538858929,28.126492736240298,200.0
-15.85913044785463,28.127128248223727,200.0
-15.85835835685033,28.127763760207152,200.0
-15.85758626584603,28.12839927219058,200.0
-15.85681417484173,28.129034784174006,200.0
-15.85604208383743,28.129670296157432,200.0
-15.85526999283313,28.13030580814086,200.0
-15.85449790182883,28.130941320124286,200.0
-15.85372977185719,28.13158148096836,200.0
-15.852979740797572,28.132242883576165,200.0
-15.852229709737955,28.13290428618397,200.0
-15.851479678678338,28.133565688791773,200.0
-15.85072964761872,28.134227091399577,200.0
-15.849979616559102,28.134888494007377,200.0
-15.849229585499485,28.13554989661518,200.0
-15.848479554439868,28.136211299222985,200.0
-15.84772952338025,28.13687270183079,200.0
-15.846979492320633,28.137534104438593,200.0
-15.846229461261016,28.138195507046397,200.0
-15.845479430201397,28.1388569096542,200.0
-15.84472939914178,28.139518312262002,200.0
-15.843910114562133,28.14007949244421,200.0
-15.843026200977977,28.140547142714972,200.0
-15.842142287393822,28.141014792985736,200.0
-15.841258373809666,28.1414824432565,200.0
-15.840374460225508,28.14195009352726,200.0
-15.839490546641352,28.142417743798024,200.0
-15.838606633057196,28.142885394068788,200.0
-15.83772271947304,28.14335304433955,200.0
-15.836838805888885,28.143820694610312,200.0
-15.835954892304729,28.144288344881076,200.0
-15.835098491284578,28.144801249081087,200.0
-15.834276485875643,28.145370728762625,200.0
-15.83345448046671,28.14594020844416,200.0
-15.832632475057775,28.146509688125697,200.0
-15.831810469648842,28.147079167807235,200.0
-15.830988464239907,28.14764864748877,200.0
-15.830166458830972,28.148218127170306,200.0
-15.829344453422038,28.148787606851844,200.0
-15.828522448013103,28.149357086533378,200.0
-15.827700442604169,28.149926566214916,200.0
-15.826832399369653,28.150399724625974,200.0
-15.825872977178994,28.150681698135493,200.0
-15.824913554988335,28.150963671645012,200.0
-15.823954132797676,28.151245645154532,200.0
-15.822994710607016,28.151527618664048,200.0
-15.822035288416357,28.151809592173567,200.0
-15.821075866225698,28.152091565683087,200.0
-15.820116444035039,28.152373539192606,200.0
-15.81915702184438,28.152655512702125,200.0
-15.81819759965372,28.152937486211645,200.0
-15.81723817746306,28.153219459721164,200.0
-15.816278755272402,28.153501433230684,200.0
-15.815319333081742,28.153783406740203,200.0
-15.814362368098786,28.154073378868972,200.0
-15.813410112378694,28.154378680430632,200.0
-15.812457856658602,28.154683981992292,200.0
-15.81150560093851,28.154989283553952,200.0
-15.810553345218418,28.155294585115612,200.0
-15.809601089498328,28.155599886677273,200.0
-15.808648833778236,28.155905188238933,200.0
-15.904911403643805,27.924500905120308,210.0
-15.90530734220473,27.92541918212425,210.0
-15.905703280765659,27.926337459128195,210.0
-15.906099219326585,27.92725573613214,210.0
-15.90649515788751,27.928174013136083,210.0
-15.906891096448437,27.929092290140026,210.0
-15.907287035009364,27.93001056714397,210.0
-15.90768297357029,27.930928844147914,210.0
-15.908078912131216,27.931847121151854,210.0
-15.908474850692143,27.932765398155798,210.0
-15.90887078925307,27.93368367515974,210.0
-15.909266727813996,27.934601952163685,210.0
-15.909660440618532,27.935520771156618,210.0
-15.909731010322611,27.936518278007153,210.0
-15.909801580026691,27.937515784857688,210.0
-15.90987214973077,27.938513291708226,210.0
-15.909942719434849,27.93951079855876,210.0
-15.910013289138927,27.9405083054093,210.0
-15.910083858843006,27.941505812259834,210.0
-15.910154428547084,27.94250331911037,210.0
-15.910224998251163,27.943500825960907,210.0
-15.910415749454806,27.944477305615212,210.0
-15.910688055845899,27.94543951621034,210.0
-15.910960362236992,27.946401726805462,210.0
-15.911232668628086,27.947363937400585,210.0
-15.911393054290151,27.94833022347819,210.0
-15.911191452183647,27.949309690981817,210.0
-15.910989850077144,27.95028915848544,210.0
-15.91078824797064,27.951268625989062,210.0
-15.910586645864136,27.952248093492685,210.0
-15.910385043757632,27.953227560996307,210.0
-15.910253527149548,27.954214166472184,210.0
-15.910253527149548,27.95521416647218,210.0
-15.910253527149548,27.956214166472183,210.0
-15.910253527149548,27.957214166472184,210.0
-15.910253527149548,27.95821416647218,210.0
-15.910253527149548,27.959214166472183,210.0
-15.910253527149548,27.960214166472184,210.0
-15.910253527149548,27.961214166472182,210.0
-15.910253527149548,27.962214166472183,210.0
-15.910253527149548,27.963214166472184,210.0
-15.910253527149548,27.964214166472182,210.0
-15.910253527149548,27.965214166472183,210.0
-15.910003180303883,27.966174679130273,210.0
-15.909695377046953,27.967126129157876,210.0
-15.90938757379002,27.968077579185476,210.0
-15.909079770533088,27.96902902921308,210.0
-15.908771967276158,27.96998047924068,210.0
-15.908464164019225,27.97093192926828,210.0
-15.908156360762295,27.971883379295882,210.0
-15.907848557505362,27.97283482932348,210.0
-15.907540754248432,27.973786279351085,210.0
-15.9072329509915,27.974737729378685,210.0
-15.906925147734567,27.975689179406285,210.0
-15.906617344477636,27.976640629433888,210.0
-15.906309541220704,27.977592079461488,210.0
-15.906001737963773,27.97854352948909,210.0
-15.905693934706841,27.97949497951669,210.0
-15.90542478249101,27.980456755065944,210.0
-15.905217086680606,27.981434948528577,210.0
-15.905009390870202,27.982413141991213,210.0
-15.904801695059799,27.983391335453845,210.0
-15.904593999249395,27.98436952891648,210.0
-15.904386303438992,27.985347722379117,210.0
-15.904178607628587,27.98632591584175,210.0
-15.903970911818183,27.987304109304386,210.0
-15.90376321600778,27.98828230276702,210.0
-15.903323934679749,27.989172737769834,210.0
-15.902831197100815,27.990042915727674,210.0
-15.90233845952188,27.99091309368551,210.0
-15.901845721942948,27.991783271643346,210.0
-15.901352984364014,27.992653449601185,210.0
-15.90086024678508,27.99352362755902,210.0
-15.900367509206145,27.99439380551686,210.0
-15.89987477162721,27.995263983474697,210.0
-15.899382034048278,27.996134161432536,210.0
-15.898889296469344,27.997004339390372,210.0
-15.89839655889041,27.99787451734821,210.0
-15.897988812193324,27.99878746300593,210.0
-15.89758362725224,27.99970169774795,210.0
-15.897178442311155,28.000615932489968,210.0
-15.896773257370072,28.00153016723199,210.0
-15.896368072428986,28.00244440197401,210.0
-15.895962887487903,28.003358636716033,210.0
-15.895557702546819,28.004272871458053,210.0
-15.895152517605734,28.005187106200076,210.0
-15.89474733266465,28.006101340942095,210.0
-15.894342147723565,28.007015575684118,210.0
-15.893936962782481,28.007929810426138,210.0
-15.893531777841396,28.00884404516816,210.0
-15.893126592900312,28.00975827991018,210.0
-15.892795007989227,28.010700809469594,210.0
-15.892483422159714,28.011651027481868,210.0
-15.892171836330203,28.01260124549414,210.0
-15.89186025050069,28.01355146350641,210.0
-15.891548664671179,28.014501681518684,210.0
-15.891237078841666,28.015451899530955,210.0
-15.890925493012153,28.01640211754323,210.0
-15.890613907182642,28.0173523355555,210.0
-15.89030232135313,28.018302553567775,210.0
-15.889990735523616,28.019252771580046,210.0
-15.889679149694105,28.02020298959232,210.0
-15.889367563864592,28.02115320760459,210.0
-15.88905597803508,28.022103425616866,210.0
-15.888744392205568,28.023053643629137,210.0
-15.888432806376056,28.02400386164141,210.0
-15.888121220546543,28.024954079653682,210.0
-15.887809634717032,28.025904297665953,210.0
-15.887498048887519,28.026854515678227,210.0
-15.887186463058006,28.0278047336905,210.0
-15.886874877228495,28.028754951702773,210.0
-15.886563291398982,28.029705169715044,210.0
-15.886265305105903,28.030659718225436,210.0
-15.885970076796513,28.03161514496011,210.0
-15.88567484848712,28.032570571694787,210.0
-15.885379620177728,28.033525998429464,210.0
-15.885084391868336,28.034481425164138,210.0
-15.884789163558946,28.035436851898815,210.0
-15.884493935249553,28.036392278633492,210.0
-15.884198706940161,28.037347705368166,210.0
-15.88390347863077,28.038303132102843,210.0
-15.883608250321378,28.03925855883752,210.0
-15.883313022011986,28.040213985572194,210.0
-15.883017793702596,28.04116941230687,210.0
-15.882722565393204,28.04212483904155,210.0
-15.882427337083811,28.043080265776222,210.0
-15.88213210877442,28.0440356925109,210.0
-15.881836880465029,28.044991119245577,210.0
-15.881541652155637,28.045946545980254,210.0
-15.881246423846244,28.046901972714927,210.0
-15.880951195536854,28.047857399449605,210.0
-15.880655967227462,28.04881282618428,210.0
-15.88036073891807,28.049768252918955,210.0
-15.880065510608679,28.050723679653633,210.0
-15.879770282299287,28.05167910638831,210.0
-15.879475053989895,28.052634533122983,210.0
-15.879215795174526,28.05360003849903,210.0
-15.878971596487325,28.054569763718447,210.0
-15.878727397800125,28.05553948893786,210.0
-15.878483199112924,28.056509214157277,210.0
-15.878239000425724,28.05747893937669,210.0
-15.877994801738526,28.058448664596106,210.0
-15.877750603051325,28.059418389815523,210.0
-15.877506404364125,28.060388115034936,210.0
-15.877262205676924,28.061357840254352,210.0
-15.877018006989724,28.06232756547377,210.0
-15.876773808302525,28.063297290693182,210.0
-15.876529609615325,28.0642670159126,210.0
-15.876285410928125,28.06523674113201,210.0
-15.876041212240924,28.066206466351428,210.0
-15.875788155443958,28.067173597207525,210.0
-15.875470618701375,28.0681218431762,210.0
-15.87515308195879,28.069070089144876,210.0
-15.874835545216206,28.07001833511355,210.0
-15.87451800847362,28.070966581082224,210.0
-15.874200471731037,28.0719148270509,210.0
-15.873882934988451,28.072863073019576,210.0
-15.873565398245868,28.073811318988252,210.0
-15.873247861503282,28.074759564956928,210.0
-15.872930324760697,28.0757078109256,210.0
-15.872612788018113,28.076656056894276,210.0
-15.872295251275528,28.07760430286295,210.0
-15.871977714532944,28.078552548831627,210.0
-15.871660177790359,28.079500794800303,210.0
-15.871342641047775,28.08044904076898,210.0
-15.87102510430519,28.08139728673765,210.0
-15.870707567562606,28.082345532706327,210.0
-15.87039003082002,28.083293778675003,210.0
-15.870072494077437,28.08424202464368,210.0
-15.869754957334852,28.085190270612355,210.0
-15.869437420592266,28.08613851658103,210.0
-15.869119883849683,28.087086762549703,210.0
-15.868802347107097,28.08803500851838,210.0
-15.868484810364514,28.088983254487054,210.0
-15.868167273621928,28.08993150045573,210.0
-15.867874437530915,28.090887586004413,210.0
-15.867587024532133,28.091845392753257,210.0
-15.867299611533353,28.0928031995021,210.0
-15.867012198534571,28.093761006250947,210.0
-15.866724785535789,28.09471881299979,210.0
-15.866437372537007,28.095676619748634,210.0
-15.866149959538227,28.096634426497477,210.0
-15.865862546539445,28.09759223324632,210.0
-15.865575133540663,28.098550039995168,210.0
-15.86528772054188,28.09950784674401,210.0
-15.8650003075431,28.100465653492854,210.0
-15.864712894544319,28.101423460241698,210.0
-15.864425481545537,28.102381266990545,210.0
-15.864138068546755,28.103339073739388,210.0
-15.863850655547974,28.10429688048823,210.0
-15.863563242549192,28.105254687237075,210.0
-15.86327582955041,28.106212493985918,210.0
-15.862988416551628,28.107170300734765,210.0
-15.862620340002897,28.108085204730035,210.0
-15.861986804359677,28.108858918235647,210.0
-15.861353268716458,28.109632631741263,210.0
-15.86071973307324,28.11040634524688,210.0
-15.860086197430022,28.111180058752495,210.0
-15.859452661786802,28.111953772258108,210.0
-15.858819126143583,28.112727485763724,210.0
-15.858185590500364,28.11350119926934,210.0
-15.857552054857145,28.114274912774956,210.0
-15.856918519213927,28.11504862628057,210.0
-15.856284983570708,28.115822339786185,210.0
-15.855651447927489,28.1165960532918,210.0
-15.85502241749846,28.117373075852566,210.0
-15.854473647122964,28.1182090489831,210.0
-15.853924876747467,28.119045022113635,210.0
-15.853376106371972,28.11988099524417,210.0
-15.852827335996475,28.12071696837471,210.0
-15.85227856562098,28.121552941505243,210.0
-15.851729795245483,28.122388914635778,210.0
-15.851181024869987,28.123224887766316,210.0
-15.85063225449449,28.12406086089685,210.0
-15.850083484118993,28.124896834027385,210.0
-15.849534713743498,28.12573280715792,210.0
-15.848985943368001,28.12656878028846,210.0
-15.848389469460413,28.1273552025214,210.0
-15.847533258913083,28.12787182956158,210.0
