Lon,Lat,H_estimada,Bouguer_Simple,Bouguer_Completa
-158.138654780218,21.4605614685387,72.31526641695667,310,319.2763243255365
-158.137072431001,21.4612977888525,80.29271639365764,310,319.9287363438079
-158.135806551628,21.4623286310421,88.96868491615211,310,320.13971251849375
-158.135331846863,21.4642430329064,99.59920093357005,310,319.92487778718515
-158.135331846863,21.4658628917631,123.8317071300794,310,323.24438449677353
-158.135648316706,21.4676299899778,154.3709295419066,310,321.0488384994663
-158.136597726236,21.4683662745752,164.4740261302816,310,321.5676525028754
-158.138338310374,21.4693970667601,189.03595508481484,310,325.5716453831867
-158.140237129434,21.4695443221912,190.33076028900717,310,325.39359930606815
-158.141503008808,21.4696915774734,195.3795655600661,310,324.02861761267957
-158.142768888181,21.4693970667601,191.5364908341013,310,322.9170472830812
-158.144034767554,21.4688080435475,190.22382750572487,310,322.46212303130085
-158.144825942163,21.467777247195,170.76495534112436,310,320.3764170423099
-158.145458881849,21.4664519268826,141.2476379079096,310,323.6944777413069
-158.145300646927,21.4639485111796,89.6919466592575,310,320.0395345220846
-158.144034767554,21.4618868424251,72.5607260241169,310,320.06839255796365
-158.141186538964,21.4605614685387,67.41052972058473,310,319.16217098316395
-158.144034767554,21.4741091667214,232.44556668983182,305,317.20928918821465
-158.141819478651,21.474256417389,274.12836615733096,305,318.7601053255413
-158.13691419608,21.473961915905,348.46079434847917,305,322.841943515119
-158.134540672255,21.4736674138256,346.0274122726653,305,323.11005792176223
-158.131534208743,21.470722360281,216.7526508742895,305,320.13718929786893
-158.128211275388,21.466304668326,156.3132347824157,305,319.0964327273575
-158.126312456328,21.4617395792552,121.67353928254902,305,317.1408545663484
-158.125995986485,21.4601196745649,104.12996808016507,305,315.5391258876067
-158.125995986485,21.4586470183139,98.93537754127493,305,314.589064679922
-158.127261865858,21.4562907373653,84.4999950018892,305,313.9059186288526
-158.130426564291,21.4531980608224,71.27984145361094,305,313.3983213838519
-158.134224202411,21.4512835138966,58.94142929531889,305,313.30912621939126
-158.138654780218,21.4495162174994,47.384515948875276,305,313.07523780812534
-158.143718297711,21.4477488996845,34.85893531384828,305,312.81091136988596
-158.147199465987,21.4468652327457,30.217883339760057,305,312.7634533415504
-158.149889459656,21.4467179544021,27.24375994691696,305,312.9066946853103
-158.15226298348,21.4474543446331,25.978954887425445,305,312.8066787401089
-158.154478272384,21.4480434541409,23.62963589519281,305,313.1667893131178
-158.156218856522,21.4492216660176,21.982105149197572,305,313.1551482252022
-158.15795944066,21.4502525936012,22.930580605732064,305,313.34734678208326
-158.159700024798,21.4518726079359,27.569550951757808,305,313.37273766438136
-158.161440608937,21.4533453326216,46.687239082974315,305,315.22163990974616
-158.162864723232,21.4554071221903,62.460966576415686,305,313.505014953761
-158.164447072448,21.4586470183139,64.89072964402395,305,313.94892916827365
-158.16460530737,21.4607087328991,68.49844087861725,305,313.9425445434261
-158.163814132762,21.4630649424277,82.56146113266588,305,314.52172412757824
-158.163181193075,21.4660101507662,101.97050549873323,305,316.21420708291254
-158.162231783545,21.4686607873722,122.3445276678482,305,315.58211849759795
-158.160491199407,21.470722360281,144.9018701822376,305,316.89937752561974
-158.15795944066,21.4727839040144,163.59406786467525,305,315.715069270658
-158.154478272384,21.4733729111507,165.27571531171446,305,316.2441420618569
-158.149098285047,21.473961915905,182.68216128468146,305,316.5229726811115
-158.145775351692,21.4804408109829,295.1950947532364,300,313.75118321892194
-158.142768888181,21.4807352993645,333.9596124844967,305,318.55732003135336
-158.138971250061,21.4799990772937,386.70213406021304,305,318.68638126729996
-158.134857142098,21.4794100969568,493.76009665711763,305,322.05498982563313
-158.131059503978,21.4789683601406,553.9898776214484,305,330.73311129089393
-158.126628926172,21.4774958944084,518.6341491528152,305,328.59856793983636
-158.121881878522,21.4748454185704,457.4536022806097,305,325.9632763283096
-158.119666589619,21.4710168683149,377.6381972881918,305,318.82689119940886
-158.118400710245,21.4674827326118,339.794604647578,305,316.2607376762193
-158.118400710245,21.4640957721174,273.59303482137165,305,316.7265669820476
-158.119666589619,21.4612977888525,186.58819205035743,305,318.64836476521253
-158.120457764227,21.4580579516475,137.80200146444292,305,316.5606352808176
-158.121565408679,21.4554071221903,115.2951238062748,305,315.06295980786524
-158.1217236436,21.4524616995952,110.227914398148,305,314.8551535208398
-158.120932468992,21.4495162174994,112.52372378560689,305,315.142791926305
-158.121090703914,21.4464233972686,107.2314706627732,305,314.99995124079385
-158.122514818209,21.4448033224015,94.35018303671175,305,313.73083216566334
-158.125687608401,21.4424140020835,77.4940804264346,305,313.73603624942706
-158.130156164118,21.4402439337689,61.33746603787233,305,313.1024879123821
-158.134041864741,21.4380738331769,50.923060001759595,305,313.19111987985184
-158.138510420458,21.4366270815183,38.94038233391458,305,312.9339159143503
-158.143367546237,21.4364462365525,27.366721092947273,305,312.684540510949
-158.149390382202,21.4366270815183,17.53978323676375,305,312.87695652244
-158.157550353511,21.4369887707777,12.843881601796536,305,312.97816708328526
-158.165127469726,21.4371696150712,11.74941838250174,305,313.0501764884667
-158.170373165568,21.437892990004,28.54216758478845,305,314.2795109145645
-158.17251030091,21.4397014116468,33.18489841322835,305,313.87790524512496
-158.173676011097,21.4420523262726,67.12929316332543,305,314.6185515809437
-158.174453151222,21.4463923768199,65.55127374885754,305,314.6241651516906
-158.174841721284,21.4500089869621,36.86144943541955,305,314.72400120563833
-158.176396001534,21.4543488007377,22.020513843403588,305,313.74528205806854
-158.178338851845,21.4588693027233,23.695986011630627,305,314.96242825952885
-158.180087417126,21.4632088527381,56.259715663026554,305,316.4798274665294
-158.180281702157,21.4659210058787,113.97267287441353,305,322.2091885098283
-158.179504562032,21.468452303264,186.89677523524085,305,318.5960415735535
-158.176590286565,21.4720683660935,364.4572340837129,305,322.53588630754643
-158.172898870973,21.474237960704,402.9255736911559,305,329.55243491579137
-158.1674588901,21.4773114977451,335.6380293508934,305,322.23111323110254
-158.16240747929,21.4785770529666,274.12038229655076,305,321.9792451041019
-158.155024648106,21.479842597189,251.46654502642488,305,317.6623756761808
-158.149973237296,21.4803849699171,269.44704473236453,305,316.9048473155528
-158.164738899664,21.4856278021209,472.1700580978178,295,316.6680460035596
-158.160464628979,21.4861701532962,385.51510807712947,295,312.3199933350116
-158.153858937919,21.4867125024507,376.275431057236,295,311.92245141495266
-158.14725324686,21.4867125024507,430.03527900502974,295,313.654873392675
-158.140064700707,21.4861701532962,476.3339644036094,295,313.12958044023276
-158.133653294679,21.4847238790049,656.4262784421893,295,320.1835317292174
-158.128019028775,21.4834583772124,737.7311383634801,295,316.1260087688924
-158.123161902996,21.479842597189,702.0573078256027,295,317.01215545010933
-158.119276202373,21.4760459315251,556.1212009007807,295,310.53243823170084
-158.116167641874,21.4724299674395,408.3482930187205,295,307.0572785411641
-158.114613361625,21.4688139135861,298.5102503419802,295,307.47827142509044
-158.113059081376,21.463389664518,269.60565169829204,295,309.15907422271925
-158.113059081376,21.4588693027233,241.70537106206234,295,308.7115904137502
-158.1138362215,21.4543488007377,205.406115123135,295,305.819856006857
-158.115584786781,21.4503706430434,168.92813613869188,295,306.4873581345212
-158.118110492186,21.4463923768199,132.98716786069613,295,304.60384734445495
-158.120830482622,21.441328971961,103.40599057538644,295,305.16291079584755
-158.123939043121,21.4357228544478,92.58372079602067,295,304.4414885856256
-158.126853318588,21.4308399314563,85.12286967504355,295,303.4406358766245
-158.130350449149,21.4261377030804,65.31017463248642,295,303.88388040914595
-158.135013289897,21.4228822254874,42.52817026468678,295,303.5111775031576
-158.137927565364,21.4214353232604,35.11250724856852,295,303.4800504426806
-158.140841840832,21.4216161868228,29.62809379146798,295,303.35143619932114
-158.144144686361,21.4228822254874,23.71660880358771,295,302.9486974307579
-158.147447531891,21.4237865320992,21.129009334672485,295,302.82240492404804
-158.151138947483,21.4246908331108,20.574200053407342,295,302.8006101233561
-158.155413218168,21.4250525519473,22.515557039361713,295,302.8947879489478
-158.161630339166,21.4252334110296,20.67291651075853,295,303.13010948314263
-158.168624600287,21.4250525519473,12.686798721860912,295,303.30959639341194
-158.174258866191,21.4248716926411,7.109395941433029,295,303.57159087524815
-158.176396001534,21.4257759869321,7.634478612255987,295,303.5759624250394
-158.178533136876,21.4277654146578,15.423468524288175,295,304.70256798621784
-158.180670272219,21.4312016350578,35.81125999331725,295,304.5766324951423
-158.182613122531,21.4348186217746,18.597967353727434,295,305.0893007178269
-158.185721683029,21.4373504591406,6.945024576609326,295,304.0228682954551
-158.187664533341,21.4400630932857,7.089190836317835,295,304.11917491097626
-158.189801668684,21.4431373510151,6.2804112902747935,295,304.02660066735
-158.190384523777,21.4456690440295,5.017698934029358,295,304.1762676503486
-158.189801668684,21.4483815234968,6.669298928069051,295,303.9580790735838
-158.18921881359,21.4512747793226,7.98091651422144,295,303.91819368994345
-158.189995953715,21.4541679777427,9.4513983686853,295,304.1945232776441
-158.189607383652,21.4568802991197,17.4919296201401,295,305.1240884219291
-158.189607383652,21.4594117535412,43.58848469285209,295,304.9088106301242
-158.19096737887,21.4639320985114,176.784090079575,295,309.3004469866286
-158.192327374089,21.4682714977664,137.2668263605168,295,308.1046721830469
-158.192327374089,21.470621951733,111.0406458523077,295,308.8822694569105
-158.190773093839,21.4735147660914,107.48054906977727,295,310.73990640546776
-158.18921881359,21.476769113569,132.88454067026072,295,309.3056590585331
-158.186498823154,21.479842597189,215.94342822714282,295,313.9423434294436
-158.182807407562,21.4818312873145,334.0802284558025,295,317.15138802130747
-158.177561711721,21.483277590344,553.1599725306355,295,318.93911720899666
-158.171344590723,21.4841815224409,735.8286921889534,295,324.39278512675725
-158.14569896661,21.4908704454945,553.683966807989,290,311.9902152737146
-158.139870415676,21.489966554938,605.4537845535914,290,309.7807233661333
-158.133264724616,21.4879779759521,789.1474339844996,290,315.6747955401994
-158.127047603619,21.4854470179468,727.8078204811075,290,308.29556974318876
-158.121024767653,21.4827352283918,690.6918329786382,290,310.208403420206
-158.115973356843,21.4785770529666,576.0062560131004,290,308.11290065344076
-158.11208765622,21.4717067638499,439.18440227568533,290,305.6781574383883
-158.109950520877,21.463389664518,350.62156569697316,290,302.92813784691265
-158.109756235846,21.4568802991197,307.6958463217417,290,303.9872823847585
-158.109950520877,21.4510939525153,259.33836532483144,290,301.47769392430007
-158.109561950815,21.4487431836142,268.6636948081763,290,302.90760229121895
-158.109950520877,21.4463923768199,261.2476992345965,290,302.1860091853747
-158.111116231064,21.4442223676874,240.78860288365956,290,302.90479549496933
-158.112281941251,21.4397014116468,218.45652976997317,290,304.9531470212095
-158.115196216719,21.4344569271366,155.51112869358917,290,300.87803269009737
-158.119664772435,21.4288505456276,142.3575888442974,290,299.8246076774942
-158.123550473058,21.4228822254874,126.97286690647461,290,303.94982052610465
-158.128601883869,21.4156475710067,173.56472062676812,290,304.5034926667024
-158.132099014429,21.4127536088833,117.18562201118725,290,301.985089625497
-158.138316135426,21.4071463941513,140.10860153128948,290,305.8336586359249
-158.145310396548,21.4028051769252,21.192402607915565,290,299.26675518324686
-158.150361807358,21.3995491793956,21.73898185818803,290,299.6593783480414
-158.155218933137,21.3970166867397,13.766950634460853,290,299.02256610040945
-158.161824624197,21.3952077365598,2.8202126881236933,290,300.0423941772125
-158.167847460163,21.3939414581195,-7.982412124039511,290,298.7522257389847
-158.173481726066,21.3953886325848,-6.504566030024554,290,299.20729584179975
-158.176590286565,21.3979211534379,-6.369837313152422,290,299.04259789794014
-158.17911599197,21.4015389642808,-5.663114320512571,290,299.11086525353267
-158.179504562032,21.4053375693101,-1.0641651073492713,290,299.7252679525759
-158.178144566814,21.4076890372383,3.453039646340181,290,299.78492334069557
-158.176007431471,21.4100404673318,6.2797656641190684,290,299.17260374764874
-158.175036006315,21.4136579782048,6.395679747191712,290,298.9301146158084
-158.176007431471,21.4163710525801,6.423519376712219,290,298.8570329250495
-158.178727421907,21.4196266753177,2.8559956712775874,290,299.3355769275753
-158.183584547686,21.4246908331108,-0.2145500788335022,290,299.20632575835936
-158.188247388434,21.4301165215645,-6.582189321525059,290,297.92393225990213
-158.192327374089,21.4360845459484,-5.307871279512311,290,298.3293088645931
-158.194075939369,21.4387972036271,-5.247682408634163,290,298.4345726211098
-158.194658794463,21.4416906495651,-4.898943221044646,290,298.51944454093757
-158.195824504649,21.446573209457,-3.6420573851322464,290,298.5510815260752
-158.198738780117,21.4529022104979,4.809469062478266,290,299.38016124166694
-158.201653055584,21.4579652135407,8.19321711540804,290,299.8895932344243
