X,Y,fid,Bouguer_mG
-17.2478038668041,28.1915263587174,1,280
-17.2499612364362,28.1909667735712,2,280
-17.2521259056975,28.1907564509236,3,280
-17.2543235568075,28.1921179207477,4,280
-17.2555539786175,28.1943688406499,5,280
-17.2572080878019,28.1980104160609,6,280
-17.2566644093786,28.200290582649,7,280
-17.2561096997618,28.2020468071115,8,280
-17.2545619170511,28.2034699875254,9,280
-17.2462597616355,28.1931240930073,10,280
-17.2445038804625,28.1940264526217,11,280
-17.2431531725048,28.1954462732128,12,280
-17.2415980039559,28.1965200150797,13,280
-17.240042803776,28.1975937408801,14,280
-17.2390753403272,28.1984831226105,15,280
-17.2387174845229,28.2002360658248,16,280
-17.2567697721314,28.1959211580679,17,280
-17.25233195814,28.2149847840728,18,275
-17.2542227101041,28.2139106738141,19,275
-17.2597284010411,28.2097783634021,20,275
-17.2607252939501,28.2081974594231,21,275
-17.2621662507804,28.2067395739091,22,275
-17.2628606130612,28.204772552836,23,275
-17.263099885601,28.2021612142159,24,275
-17.2634917516632,28.1998080879797,25,275
-17.2644720135566,28.1974452219177,26,275
-17.2648638396262,28.1950920929875,27,275
-17.2643648336879,28.1923626026212,28,275
-17.26327749134,28.1896428418414,29,275
-17.2619097536196,28.1875795511821,30,275
-17.2589350813229,28.1860642594276,31,275
-17.2565324072085,28.1837572500601,32,275
-17.2535852487913,28.1835450778415,33,275
-17.2494505069865,28.1828308884284,34,275
-17.2459204902822,28.1828888692798,35,275
-17.2428534828852,28.1839821337839,36,275
-17.2402249545824,28.1849377836049,37,275
-17.2377380360069,28.1856303278261,38,275
-17.2359865322649,28.1863108127112,39,275
-17.2333849751939,28.188569601874,40,275
-17.2298926107985,28.1904517539946,41,275
-17.2278711103349,28.1923098781371,42,275
-17.226130235191,28.1935115539142,43,275
-17.2258765542684,28.1954712461607,44,275
-17.2256255680729,28.1975612649399,45,275
-17.2349387612253,28.2066657285097,46,275
-17.2368947523651,28.2087196755941,47,275
-17.2385402614346,28.2099964530357,48,275
-17.2398915619255,28.2112780279514,49,275
-17.2409568094325,28.2129553856767,50,275
-17.2434797466945,28.213956976819,51,275
-17.2468691219881,28.2141620676108,52,275
-17.2495474613004,28.2155520978943,53,275
-17.218149080956,28.1918159863219,54,275
-17.2179535367169,28.1894724706063,55,275
-17.2183544504535,28.187510399433,56,275
-17.2164126556485,28.1861077792824,57,275
-17.2140457570804,28.1854942382415,58,275
-17.2105236130064,28.1859422968433,59,275
-17.2074561027653,28.1870347923844,60,275
-17.2072181542836,28.1897764427754,61,275
-17.2075686038195,28.1925085996287,62,275
-17.2102539758206,28.1942904488964,63,275
-17.2134902469602,28.1942381268712,64,275
-17.2158358257344,28.1938090426986,65,275
-17.1939142162673,28.172390087546,66,275
-17.1966820050076,28.1710419699567,67,275
-17.1990031768149,28.1694402286813,68,275
-17.200428531595,28.1672009892439,69,275
-17.2011265126139,28.165364551263,70,275
-17.2002121203405,28.1638147771153,71,275
-17.1978378029351,28.1628099306824,72,275
-17.1957842616293,28.1631036267352,73,275
-17.1937466609306,28.1641792752678,74,275
-17.1923025949269,28.1655061378571,75,275
-17.1928049305967,28.168496672834,76,275
-17.1930078342816,28.1712312553004,77,275
-17.2651218545402,28.2293779457764,78,270
-17.2679236379615,28.2281758098248,79,270
-17.2698231680887,28.22544769602,80,270
-17.2695242861642,28.2216003897434,81,270
-17.2691439867758,28.2139021586723,82,270
-17.2699279282557,28.2098442607329,83,270
-17.2698709134656,28.2071486145495,84,270
-17.2706833080305,28.2044385365029,85,270
-17.2719262805826,28.2015286895764,86,270
-17.272279462785,28.1976705472453,87,270
-17.2726326297716,28.1938124034708,88,270
-17.2725552142837,28.1901540245343,89,270
-17.2715922711882,28.1857398909159,90,270
-17.2676481268834,28.1842643953456,91,270
-17.2636919132621,28.182211136295,92,270
-17.2590839367507,28.1801685163757,93,270
-17.2549309287778,28.1790813156597,94,270
-17.249932986582,28.1791635737474,95,270
-17.2453615826444,28.1788534193279,96,270
-17.2410356068254,28.17988740823,97,270
-17.2362789303093,28.1811209190081,98,270
-17.2315021375569,28.1813915103963,99,270
-17.2258520761639,28.1814835245249,100,270
-17.2208380029104,28.1807945138562,101,270
-17.2169065541428,28.1798951651072,102,270
-17.2140339291338,28.1776302454901,103,270
-17.212030625541,28.1753512131833,104,270
-17.2113192984772,28.1724734244297,105,270
-17.2116984199374,28.1697706344399,106,270
-17.2120818367821,28.1667742592183,107,270
-17.2139102739241,28.165093683065,108,270
-17.2153096831769,28.1626862411278,109,270
