X,Y,fid,Bouguer_mG
-17.9908140749808,27.7973845413922,1,231
-17.989847240003,27.7970996205831,2,231
-17.9887894270517,27.7965354536757,3,231
-17.988013697554,27.7961828493586,4,231
-17.9875088998773,27.7958427477325,5,231
-17.9868363627352,27.7953310957873,6,231
-17.9855556028806,27.7944673275133,7,231
-17.9843046281389,27.7935737741263,8,231
-17.9829940831714,27.7926504356265,9,231
-17.9821601000102,27.7918164524653,10,231
-17.9809091252685,27.7909228990784,11,231
-17.9799560016557,27.7900591308043,12,231
-17.9788837375914,27.7890166518529,13,231
-17.9793900845107,27.7895229987722,14,231
-17.9780497544303,27.7883315942563,15,231
-17.977245556382,27.7877358919983,16,231
-17.976679639237,27.7872891153048,17,231
-17.9759052263016,27.7867231981598,18,231
-17.9753690942694,27.7863359916921,19,231
-17.9749556212387,27.7860516078599,20,231
-17.9744443059379,27.785832472731,21,231
-17.9738234230727,27.785759427688,22,231
-17.9715590267406,27.7855402925591,23,231
-17.9686372250217,27.7854672475161,24,231
-17.9663363061681,27.7853942024731,25,231
-17.9637797296641,27.7854307249946,26,231
-17.9618075135039,27.7853211574302,27,231
-17.9597257297792,27.7853211574302,28,231
-17.957753513619,27.7853211574302,29,231
-17.9562560902381,27.7852846349087,30,231
-17.9549412794646,27.7846272295219,31,231
-17.9536629912126,27.7841889592641,32,231
-17.9525673155681,27.7836045989203,33,231
-17.9557082524158,27.7850289772583,34,231
-17.9517272975739,27.7829471935336,35,231
-17.9506681444508,27.7824724007543,36,231
-17.9494994237633,27.7817419503246,37,231
-17.9488826932339,27.7811938097822,38,231
-17.9481118304026,27.7806285103726,39,231
-17.947546530993,27.7801146018184,40,231
-17.9470696253445,27.7797906165305,41,231
-17.946627931963,27.779348923149,42,231
-17.9458076442544,27.7786548335494,43,231
-17.9451135546548,27.7781815906406,44,231
-17.9443563660008,27.7776136991501,45,231
-17.9435991773467,27.7769196095505,46,231
-17.9429681868017,27.776225519951,47,231
-17.9423371962566,27.7756891779877,48,231
-17.9417693047661,27.7751843855516,49,231
-17.9413907104391,27.7747742416974,50,231
-17.9407281703668,27.7742378997341,51,231
-17.9398056894226,27.7733543138519,52,231
-17.9389962834497,27.7722751058881,53,231
-17.9377551942914,27.7709800563315,54,231
