X,Y,fid,Bouguer_mG
-14.0751207730288,28.3134940782281,1,280
-14.082786148987,28.3098607123161,2,280
-14.0918232305833,28.3080785870233,3,280
-14.0871582790011,28.3081015935416,4,280
-14.0988412750098,28.3081792177568,5,280
-14.0961708718406,28.3081615632066,6,280
-14.1068179469131,28.3123677060363,7,280
-14.1094736969627,28.3141576571878,8,280
-14.1118030750469,28.3150591346699,9,280
-14.1141349417492,28.3156651558144,10,280
-14.117134490851,28.3162754580693,11,280
-14.1201243480022,28.3180673661175,12,280
-14.1224514796543,28.3192640830771,13,280
-14.1251149239532,28.3201674838542,14,280
-14.1271034884122,28.3219528189059,15,280
-14.1294307849866,28.3231494197773,16,280
-14.1314194774305,28.3249346939783,17,280
-14.134080748213,28.3261333422388,18,280
-14.1354018433777,28.3279143214372,19,280
-14.1373907245208,28.3296995115084,20,280
-14.1407104273123,28.3320839286124,21,280
-14.1433672445808,28.3338732383166,22,280
-14.1460217892417,28.3359579167304,23,280
-14.1490103361704,28.3380446283981,24,280
-14.1513288424192,28.3404225426043,25,280
-14.1533229087239,28.3416166694479,26,280
-14.1543176188337,28.3425091415584,27,280
-14.1559755059628,28.3439965794887,28,280
-14.1576217835105,28.346961095057,29,280
-14.1606038966126,28.3499338191857,30,280
-14.0787878566041,28.3109996830178,31,280
-14.0720732500629,28.3153856742106,32,280
-14.0693872544035,28.3171399737754,33,280
-14.0670375811719,28.3186010871148,34,280
-14.0646878443043,28.3200621581658,35,280
-14.0620042050284,28.3215208927195,36,280
-14.0599855808193,28.3232795859354,37,280
-14.0575171208841,28.3251311072115,38,280
-14.0572129661358,28.3269154321934,39,280
-14.0569133059663,28.3281893796865,40,280
-14.0568952827459,28.3302308838828,41,280
-14.0560120245985,28.3322664036322,42,280
-14.0554171481798,28.3343039134738,43,280
-14.0553990917621,28.336345414958,44,280
-14.055962400409,28.3378805338595,45,280
-14.0553697460664,28.3396628535437,46,280
-14.0556423782079,28.3414511631478,47,280
-14.055626578001,28.3432374752244,48,280
-14.0558947081173,28.3455361584094,49,280
