id,AB,Longitud,Latitud
228,190.000000,-25236,37844
229,190.000000,-25238,37843
230,190.000000,-25240,37842
231,190.000000,-25242,37841
232,190.000000,-25244,37839
233,190.000000,-25246,37837
234,190.000000,-25247,37836
235,190.000000,-25249,37834
236,190.000000,-25250,37832
237,190.000000,-25251,37831
238,190.000000,-25254,37831
239,190.000000,-25256,37830
240,190.000000,-25257,37828
241,190.000000,-25258,37826
242,190.000000,-25259,37824
243,190.000000,-25257,37822
244,190.000000,-25253,37822
245,190.000000,-25251,37822
246,190.000000,-25248,37823
247,190.000000,-25245,37823
248,190.000000,-25242,37823
249,190.000000,-25239,37822
250,190.000000,-25236,37821
251,190.000000,-25233,37820
252,190.000000,-25231,37818
253,190.000000,-25230,37815
254,190.000000,-25231,37812
255,190.000000,-25232,37809
256,190.000000,-25233,37807
257,190.000000,-25232,37804
258,190.000000,-25232,37802
259,190.000000,-25234,37799
260,190.000000,-25235,37798
261,190.000000,-25237,37796
262,190.000000,-25239,37794
263,190.000000,-25241,37793
264,190.000000,-25244,37792
265,190.000000,-25246,37791
266,190.000000,-25248,37789
267,190.000000,-25248,37787
268,190.000000,-25249,37785
269,190.000000,-25249,37782
270,190.000000,-25248,37780
271,190.000000,-25247,37778
272,190.000000,-25245,37776
273,190.000000,-25242,37774
274,190.000000,-25239,37773
275,190.000000,-25237,37772
276,190.000000,-25235,37771
277,190.000000,-25233,37770
278,190.000000,-25230,37768
279,190.000000,-25229,37767
280,190.000000,-25226,37765
281,190.000000,-25223,37765
282,190.000000,-25221,37763
283,190.000000,-25219,37762
284,190.000000,-25216,37760
285,190.000000,-25213,37760
286,190.000000,-25211,37759
287,190.000000,-25208,37759
288,190.000000,-25206,37758
289,190.000000,-25203,37757
290,190.000000,-25199,37756
291,190.000000,-25197,37756
292,190.000000,-25194,37756
293,190.000000,-25190,37756
294,190.000000,-25187,37755
295,190.000000,-25185,37756
296,190.000000,-25182,37756
297,190.000000,-25179,37756
298,190.000000,-25177,37755
299,190.000000,-25175,37755
300,190.000000,-25174,37756
301,190.000000,-25171,37757
302,190.000000,-25169,37756
303,190.000000,-25167,37755
304,190.000000,-25165,37754
305,190.000000,-25163,37754
306,190.000000,-25161,37755
307,190.000000,-25159,37757
308,190.000000,-25159,37758
309,190.000000,-25160,37760
310,190.000000,-25159,37762
311,190.000000,-25157,37762
312,190.000000,-25155,37760
313,190.000000,-25153,37759
314,190.000000,-25151,37757
315,190.000000,-25151,37755
316,190.000000,-25151,37753
317,190.000000,-25151,37751
318,190.000000,-25151,37749
319,190.000000,-25267,37797
320,190.000000,-25268,37796
321,190.000000,-25269,37795
322,190.000000,-25270,37793
323,190.000000,-25269,37792
324,190.000000,-25268,37790
325,190.000000,-25266,37790
326,190.000000,-25265,37791
327,190.000000,-25263,37792
328,190.000000,-25263,37794
329,190.000000,-25264,37795
330,190.000000,-25265,37796
331,190.000000,-25266,37797
332,185.000000,-25284,37883
333,185.000000,-25284,37880
334,185.000000,-25285,37879
335,185.000000,-25286,37877
336,185.000000,-25288,37875
337,185.000000,-25289,37874
338,185.000000,-25291,37873
339,185.000000,-25292,37872
340,185.000000,-25293,37870
341,185.000000,-25294,37869
342,185.000000,-25296,37867
343,185.000000,-25296,37866
344,185.000000,-25295,37865
345,185.000000,-25294,37863
346,185.000000,-25292,37862
347,185.000000,-25292,37860
348,185.000000,-25294,37858
349,185.000000,-25296,37857
350,185.000000,-25297,37855
351,185.000000,-25299,37854
352,185.000000,-25300,37852
353,185.000000,-25300,37851
354,185.000000,-25300,37848
355,185.000000,-25301,37847
356,185.000000,-25302,37846
357,185.000000,-25305,37845
358,185.000000,-25306,37845
359,185.000000,-25307,37843
360,185.000000,-25306,37841
361,185.000000,-25306,37839
362,185.000000,-25306,37836
363,185.000000,-25307,37834
364,185.000000,-25309,37833
365,185.000000,-25310,37831
366,185.000000,-25311,37830
367,185.000000,-25312,37828
368,185.000000,-25312,37825
369,185.000000,-25312,37822
370,185.000000,-25311,37820
371,185.000000,-25310,37818
372,185.000000,-25308,37816
373,185.000000,-25306,37815
374,185.000000,-25305,37813
375,185.000000,-25303,37812
376,185.000000,-25301,37810
377,185.000000,-25300,37808
378,185.000000,-25298,37806
379,185.000000,-25296,37805
380,185.000000,-25294,37803
381,185.000000,-25292,37801
382,185.000000,-25290,37800
383,185.000000,-25288,37798
384,185.000000,-25286,37797
385,185.000000,-25284,37796
386,185.000000,-25282,37794
387,185.000000,-25280,37793
388,185.000000,-25278,37792
389,185.000000,-25276,37790
390,185.000000,-25274,37789
391,185.000000,-25274,37788
392,185.000000,-25277,37787
393,185.000000,-25279,37786
394,185.000000,-25281,37785
395,185.000000,-25282,37784
396,185.000000,-25282,37782
397,185.000000,-25280,37781
398,185.000000,-25278,37780
399,185.000000,-25276,37779
400,185.000000,-25274,37778
401,185.000000,-25272,37777
402,185.000000,-25271,37776
403,185.000000,-25269,37774
404,185.000000,-25267,37774
405,185.000000,-25265,37773
406,185.000000,-25263,37772
407,185.000000,-25261,37771
408,185.000000,-25259,37770
409,185.000000,-25257,37769
410,185.000000,-25254,37768
411,185.000000,-25251,37768
412,185.000000,-25248,37768
413,185.000000,-25246,37769
414,185.000000,-25243,37768
415,185.000000,-25241,37768
416,185.000000,-25239,37766
417,185.000000,-25238,37764
418,185.000000,-25236,37763
