Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal,Tipo_Gravedad
Lin00902,60,902060,"29° 01' 18,3703''","- 13° 30' 38,1664''",74.9653,119.991,DATO NO DETECTADO,979416,Observada
Lin00902,61,902061,"29° 00' 49,5209''","- 13° 30' 05,0491''",42.5437,87.481,0.05,979415.37,Observada
Lin00902,62,902062,"29° 00' 21,0108''","- 13° 29' 57,3347''",38.2857,83.164,0.05,979412.88,Observada
Lin00902,63,902063,"28° 59' 57,3589''","- 13° 29' 49,1371''",26.7622,71.559,0.05,979410.15,Observada
Lin00902,64,902064,28° 59' 33'',- 13° 30' 23'',29.0988,DATO NO DETECTADO,DATO NO DETECTADO,979415.26,Observada
Lin00902,65,902065,"28° 59' 32,5003''","- 13° 30' 23,3483''",29.3912,74.203,0.05,979415.16,Observada
Lin00902,66,902066,"28° 59' 12,5453''","- 13° 30' 56,2164''",24.2916,69.143,0.05,979422.76,Observada
Lin00902,67,902067,"28° 58' 53,0040''","- 13° 31' 28,2166''",26.2945,71.563,DATO NO DETECTADO,979428.13,Observada
Lin00902,68,902068,"28° 58' 32,9201''","- 13° 31' 59,4285''",18.4282,63.348,0.05,979434.24,Observada
Lin00902,69,902069,"28° 58' 02,7487''","- 13° 32' 17,1337''",3.6266,48.484,0.05,979434.83,Observada
Lin00902,70,902070,"28° 57' 34,1152''","- 13° 32' 50,3127''",4.7077,49.684,0.05,979433.98,Observada
Lin00903,1,903001,"28° 57' 57,4369''","- 13° 33' 25,7369''",17.3169,62.311,0.05,979447.63,Observada
Lin00903,2,903002,"28° 58' 22,0399''","- 13° 33' 58,4360''",37.6668,82.797,0.05,979454.98,Observada
Lin00903,3,903003,"28° 58' 44,6856''","- 13° 34' 29,9215''",65.6587,110.860,0.05,979452.84,Observada
Lin00903,4,903004,"28° 59' 10,7528''","- 13° 35' 04,4845''",116.3232,161.632,0.05,979442.94,Observada
Lin00903,5,903005,28° 59' 30'',- 13° 35' 49'',181.5248,DATO NO DETECTADO,DATO NO DETECTADO,979428.06,Observada
Lin00903,6,903006,"28° 59' 29,9676''","- 13° 35' 48,7598'' NO EXISTE FOTOGRAFÃ(cid:141)A",182.6791,228.066,0.05,979427.81,Observada
Lin00903,7,903007,"28° 59' 37,2694''","- 13° 36' 15,3804''",222.5012,267.900,0.05,979418.92,Observada
Lin00903,8,903008,"29° 00' 06,0342''","- 13° 36' 30,4778''",259.1671,304.647,0.05,979412.59,Observada
Lin00903,9,903009,"29° 00' 28,4744''","- 13° 36' 41,2967''",274.3655,319.879,0.05,979409.14,Observada
Lin01901,1,1901001,"28° 57' 23,9332''","- 13° 38' 15,5361''",128.6033,173.698,0.05,979402.64,Observada
Lin01902,1,1902001,"29° 02' 46,8823''","- 13° 34' 53,6029''",204.9734,250.454,DATO NO DETECTADO,979409.45,Observada
Lin01903,1,1903001,"28° 59' 30,0989''","- 13° 36' 05,4638''",211.1458,256.503,0.05,979422.42,Observada
Lin02901,1,2901001,"28° 56' 55,9452''","- 13° 40' 38,5360''",184.7667,229.850,0.05,979372.04,Observada
Lin02902,1,2902001,29° 12' 14'',- 13° 28' 49'' NO EXISTE FOTOGRAFÃ(cid:141)A,413.1868,DATO NO DETECTADO,DATO NO DETECTADO,979342.83,Observada
