Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-13.537101083333333,28.965509916666665,2.3984,979432.45,979243.9432046532,188.5067953467369,188.2754960491369,190.09000748569042
-13.538916361111111,28.962046861111112,2.9008,979430.14,979243.5231408466,186.61685915337875,186.33710890217876,188.56979929725262
-13.53888888888889,28.961944444444445,3.1111,979430.07,979243.4503898718,186.61961012810934,186.31957875520933,188.58963239551724
-13.559089555555556,28.959193944444444,2.9483,979442.73,979243.2901954602,199.43980453978293,199.15547343608293,201.4319763429776
-13.572683055555554,28.95839847222222,18.7352,979444.28,979238.3563103812,205.92368961882312,204.1168856660231,205.91555634850732
-13.5864855,28.957680944444444,20.1536,979445.62,979237.8635906028,207.75640939723235,205.81281636683235,207.68315811238682
-13.599193916666668,28.956946305555554,16.8783,979444.2,979238.8183858619,205.381614138023,203.753887764323,205.39810474415358
-13.614611055555555,28.955981138888887,48.184,979432.25,979229.0813510926,203.1686489074491,198.5218321314491,199.8999768371418
-13.614722222222222,28.95611111111111,48.1221,979432.27,979229.1104012576,203.15959874237888,198.5187515404789,199.93483671854588
-13.62752588888889,28.954323583333334,75.6998,979419.0,979220.4613015046,198.53869849536568,191.23828548316567,192.6647567986082
-13.640277777777778,28.95722222222222,139.1818,979399.38,979201.0886332758,198.291366724181,184.868813113981,186.11068792178037
-13.652777777777779,28.956944444444442,215.6125,979378.57,979177.4769692168,201.09303078311495,180.29957689561496,180.69046227059175
-13.668333333333333,28.953611111111112,206.0202,979373.37,979180.1825801943,193.18741980567575,173.31903773787576,174.06493732537749
-13.66861111111111,28.953611111111112,205.161,979373.64,979180.447769624,193.1922303760657,173.4067086970657,173.81424874040837
-13.6775,28.949166666666667,184.7518,979372.04,979186.4070471582,185.63295284181368,167.81567400161367,168.33456365201346
-13.688451111111112,28.947740472222222,179.9217,979368.06,979187.788765298,180.27123470208608,162.91976587578608,164.0444172518182
-13.702440666666666,28.94414522222222,165.7118,979365.52,979191.8996796433,173.6203203566838,157.63924007648382,158.8263903952175
-13.714984416666667,28.93769325,167.1655,979362.65,979190.9575431804,171.69245681958273,155.57118316508274,156.47953913667698
-13.728055555555555,28.93611111111111,179.2908,979359.17,979187.0940566487,172.075943351374,154.785317890174,155.74301911788112
-13.72815488888889,28.9360055,179.0207,979359.26,979187.1693469532,172.09065304684918,154.82607575954918,155.7770438852447
-13.740237944444443,28.940515083333334,208.5436,979353.75,979178.4020153087,175.3479846912669,155.2362484508669,155.8304287107377
-13.749035583333333,28.94970497222222,217.8165,979356.4,979176.2428850445,180.1571149554802,159.15110951198022,158.91704170697906
-13.758453388888888,28.95779947222222,195.1899,979361.97,979183.8457586606,178.12424133939203,159.30032257329202,159.23882640916065
-13.758333333333333,28.95777777777778,195.6505,979361.82,979183.701935389,178.11806461098604,159.24972604148604,159.22667918563275
-13.751095611111111,28.969940583333333,221.9217,979358.27,979176.5241111696,181.74588883039542,160.3439820040954,159.9328152582861
-13.744469694444444,28.981619111111108,259.5449,979350.52,979165.8058907003,184.71410929970443,159.68385868860443,159.243233762198
-13.741447444444443,28.991451583333333,322.5651,979335.3,979147.1084474017,188.19155259837862,157.08369691947863,156.48060501007197
-13.739461583333332,29.002554555555555,352.6472,979328.09,979138.6745025562,189.41549744375516,155.40655412295516,155.24378859594316
-13.73472222222222,29.01,299.6193,979340.85,979155.6107104801,185.2392895198427,156.34430384714273,156.0734016118238
-13.734654166666665,29.01008075,299.5863,979340.89,979155.6270805866,185.2629194133915,156.37111622769152,156.09674628721538
-13.724104166666667,29.015864444444443,311.4795,979342.8,979152.399502522,190.4004974780837,160.36172597758372,159.80384861262513
-13.714593444444445,29.023071583333333,298.7559,979346.37,979156.8785754319,189.49142456811387,160.67970432801388,159.92708845303818
-13.703883694444444,29.031892194444442,273.0276,979353.7,979165.4951168913,188.204883108614,161.874374392214,161.50709301621325
-13.698287638888889,29.039161194444446,245.3243,979361.7,979174.6025202773,187.09747972269543,163.43864955499544,163.2671250855508
-13.689444444444444,29.04888888888889,243.6122,979358.31,979175.8766108886,182.433389111422,158.939672155622,158.45144734655375
-13.689327333333333,29.048813805555557,242.269,979358.72,979176.2854212957,182.43457870429847,159.07039861329847,158.65827830700778
-13.681388888888888,29.05527777777778,230.9017,979363.33,979180.2894211151,183.0405788848875,160.7726498385875,160.52065631321904
-13.676468333333332,29.06679822222222,196.7207,979368.89,979191.7226315942,177.1673684058478,158.19582081854782,157.98532394964815
-13.667989277777778,29.063718666666666,199.6753,979372.26,979190.57453341,181.6854665899882,162.42898033328822,162.08406745037496
-13.658628,29.06052038888889,216.2347,979371.63,979185.218285795,186.4117142050527,165.55825597175271,165.25395511536468
-13.65,29.056944444444444,216.1507,979374.21,979184.9700139461,189.2399860539008,168.3946286966008,168.0199342391631
-13.65,29.056944444444444,215.9374,979374.28,979185.0358478781,189.24415212194435,168.41936520334434,168.02844701658387
-13.636621,29.054220361111113,228.0063,979379.61,979181.1019913617,198.50800863828044,176.51930907258046,175.89556015057252
-13.625243166666667,29.04911552777778,275.3397,979375.48,979166.1016580665,209.37834193347953,182.82485660517955,182.21336791381356
-13.626099694444445,29.038234444444445,300.4611,979373.04,979157.5142545307,215.5257454693783,186.5495774464783,186.30129533336134
-13.619187916666666,29.027339444444443,282.463,979388.85,979162.2341355874,226.61586441262625,199.37541515562626,198.58097026564045
-13.614722222222222,29.015555555555554,269.8998,979406.13,979165.2087557386,240.9212442614371,214.8923774492371,214.09616384432184
-13.606535194444444,29.02035711111111,250.9608,979412.65,979171.4219102853,241.22808971477207,217.02568112357207,216.45786834311548
-13.600475055555556,29.03137375,209.1599,979412.78,979185.1675946658,227.61240533425007,207.44123373815006,207.0672478129893
-13.5913415,29.03931152777778,194.1918,979414.55,979190.3957981281,224.15420187194832,205.4265388717483,204.89357856762177
-13.582295055555555,29.045860472222223,202.3519,979410.27,979188.3791895342,221.8908104657894,202.3761955816894,202.0119759848457
-13.582222222222223,29.045833333333334,204.5049,979409.61,979187.7125929316,221.8974070684053,202.1751590173053,201.5699155472086
-13.566122805555556,29.056715583333332,270.8634,979389.36,979168.0658970362,221.29410296375863,195.17230753115862,194.72509434738035
-13.556712083333334,29.059583472222222,319.6041,979376.59,979153.2428012029,223.34719879704062,192.5248989971406,192.31747558017616
-13.550555555555556,29.063333333333333,326.517,979373.12,979151.3968319708,221.72316802921705,190.23419506621704,189.81956747039737
-13.550601027777779,29.06346325,327.2507,979372.89,979151.1803540916,221.70964590844233,190.14991565114232,189.5600196201672
-13.540409777777779,29.06606902777778,308.8259,979377.01,979157.0666330486,219.94336695142556,190.16050598132557,190.11154777876354
-13.529350055555556,29.070732472222222,275.9691,979381.78,979167.5650084908,214.2149915092159,187.6008074743159,187.31558126871212
-13.525877472222223,29.076997055555555,311.9508,979372.58,979156.9403777116,215.63962228840683,185.55539908720684,185.1685206399306
-13.518923138888889,29.08339497222222,334.6508,979367.34,979150.4253159137,216.91468408622313,184.64129558502313,184.73409866924337
-13.513878277777778,29.093411888888888,407.7711,979347.11,979128.6273716671,218.48262833291665,179.15759122001666,179.59968344491986
-13.51388888888889,29.093333333333334,409.1434,979346.69,979128.1978289767,218.49217102327384,179.03479067067383,179.34399036989356
-13.511637888888888,29.097783527777775,478.1471,979328.81,979107.2440123706,221.5659876294667,175.4539594525667,176.47266578694473
-13.513778,29.106250388888892,535.3051,979314.79,979090.2547803604,224.53521963965613,172.91093110075613,174.15042516364684
-13.514790194444444,29.11699163888889,567.6882,979301.04,979081.0860917966,219.95390820340253,165.20662588360253,168.01121399252975
-13.515119027777779,29.125415555555556,578.8203,979297.59,979078.2976422891,219.2923577108886,163.4715067991886,168.02124050409824
-13.513770888888889,29.131573583333335,503.0993,979313.42,979102.1378430672,211.2821569328662,162.7637635401662,169.0180990560582
-13.51388888888889,29.131666666666668,502.1782,979313.7,979102.4292459575,211.27075404243078,162.84119061263078,168.64774972594014
-13.51600386111111,29.132678055555555,433.2351,979330.06,979123.7832960052,206.2767039948376,164.4959441859376,169.21461400916112
-13.506279416666667,29.135288166666665,360.3982,979347.06,979146.4625445879,200.59745541214943,165.84101340234943,166.90371813955096
-13.500121472222222,29.143689638888887,297.6785,979361.69,979166.4649395407,195.22506045922637,166.51724359772638,166.7699843444637
-13.499262138888888,29.15258338888889,294.5052,979362.54,979168.1276155112,194.4123844888527,166.0105975060527,167.06481832784425
-13.499166666666666,29.1525,283.8531,979364.94,979171.4088031268,193.5311968731694,166.1566877622694,168.10074586826408
-13.495561749999998,29.162639055555555,283.2143,979365.14,979172.3850844366,192.75491556338966,165.44201168568966,165.87921771282453
-13.492094166666666,29.173489972222225,339.5533,979357.04,979155.8311887545,201.20881124550942,168.46263054680944,169.00965837345393
-13.491296694444443,29.183819916666668,408.9219,979342.09,979135.2167466719,206.8732533280272,167.4372342139272,168.77907059253806
-13.4883385,29.192853222222222,367.0909,979354.48,979148.8212087355,205.6587912645191,170.25691195941909,171.26206139090579
-13.480304111111112,29.195841722222223,367.4926,979354.05,979148.9270681975,205.1229318025289,169.68231295112892,170.45360919054616
-13.480277777777777,29.195833333333333,367.7175,979353.98,979148.8570139823,205.12298601772636,169.66067803522637,170.41041824359505
-13.472966527777778,29.19136152777778,349.6172,979355.99,979154.0992836338,201.89071636623703,168.17398321543703,168.82478489256098
-13.47248488888889,29.18295763888889,292.415,979369.13,979171.1073168527,198.022683147341,169.822472962341,170.06610993360601
-13.474007222222223,29.176529111111112,220.7014,979383.17,979192.7466328591,190.42336714093108,169.13914482633106,170.1904381043411
-13.466438138888888,29.168775500000002,166.4596,979393.37,979208.8922062332,184.47779376676772,168.4245964023677,168.49756619046087
-13.457876166666665,29.16042761111111,120.3658,979400.15,979222.4776933675,177.67230663250666,166.06434924630668,166.6547580920893
-13.457777777777777,29.160555555555554,117.6752,979400.98,979223.3180012543,177.66199874563608,166.3135201328361,167.18466492413052
-13.456659027777777,29.15111136111111,85.079,979404.96,979232.6534772536,172.30652274633758,164.10158906533758,164.6215170986726
-13.460256916666665,29.142705416666665,41.0272,979411.89,979245.6050011434,166.2849988566013,162.3283767158013,163.155822793115
-13.464166666666666,29.13361111111111,14.7295,979415.25,979253.0238188857,162.2261811143253,160.8056828638253,162.20307284092428
-13.464193694444443,29.133539694444444,14.2445,979415.4,979253.1680405759,162.23195942409802,160.858234088598,162.2159384383507
-13.459193388888888,29.13184647222222,3.8766,979415.87,979256.2383040773,159.63169592269696,159.25784049529696,160.37917601753114
-13.467158527777778,29.12519477777778,11.2197,979414.77,979253.4608672602,161.30913273978513,160.22711609148513,161.7079091555705
-13.46677475,29.115557833333334,31.4227,979408.78,979246.4848274551,162.29517254489474,159.26479877959474,160.6492344237739
-13.46884675,29.106733916666666,39.2415,979405.0,979243.3940259402,161.60597405978478,157.82156304128478,159.1375149489086
-13.470029416666668,29.09552533333333,50.3952,979400.45,979239.0909814248,161.35901857516728,156.49895588236728,158.01080245185605
-13.47,29.095555555555553,51.3628,979400.15,979238.7946330409,161.35536695912015,156.40198988992015,157.79675267885455
-13.472828527777779,29.085274972222223,82.59,979393.24,979228.3670184185,164.8729815814877,156.9080845714877,157.91828120947838
-13.478749027777777,29.077131583333333,97.0448,979393.94,979223.2806355477,170.65936445223633,161.30046098503632,162.29719416636544
-13.48454475,29.06876561111111,97.6942,979395.35,979222.4385078361,172.9114921638975,163.4899612100975,164.62504041895866
-13.489111944444444,29.06210816666667,118.4237,979393.57,979215.5295800974,178.0404199025361,166.61975669823607,168.0853233999114
-13.496510222222222,29.056094166666668,123.6003,979396.52,979213.4706340146,183.0493659854401,171.12947665374008,171.87070276148552
-13.496388888888887,29.05611111111111,124.5825,979396.22,979213.168769221,183.05123077891767,171.03661906141767,171.8405834934107
-13.504891333333333,29.047881194444447,151.1257,979395.25,979204.3450875763,190.9049124236917,176.3305010413917,176.79007149261494
-13.511487944444445,29.041453333333337,143.4873,979402.19,979206.209992131,195.98000786895864,182.14223614425865,182.49989138861955
-13.520555555555557,29.031388888888888,140.6888,979409.26,979206.3024197549,202.95758024509996,189.38969306189998,189.698554979898
-13.520563666666668,29.031301944444444,140.0252,979409.46,979206.5005810551,202.95941894489806,189.45552868209805,189.8379347224503
-13.510601777777778,29.021769527777778,74.9653,979416.0,979225.851605171,190.14839482901152,182.9188162623115,183.93881519851774
-13.501402527777778,29.013755805555554,42.5437,979415.37,979235.2451888357,180.12481116433628,176.0219392800363,177.47517386113307
-13.499259638888889,29.005836333333335,38.2857,979412.88,979235.9529139741,176.92708602594212,173.23485140364212,174.65939131008923
-13.496982527777776,28.99926636111111,26.7622,979410.15,979239.0067443389,171.1432556611253,168.5623358553253,170.48933470048593
-13.506388888888889,28.9925,29.0988,979415.26,979237.7673878118,177.4926121882163,174.6863530150163,176.62032024882228
-13.506485638888888,28.992361194444445,29.3912,979415.16,979237.6665042317,177.49349576828536,174.65903783148536,176.55882446506013
-13.515615666666667,28.98681813888889,24.2916,979422.76,979238.8162281947,183.943771805265,181.601114192865,183.36897807062587
-13.524504611111112,28.981389999999998,26.2945,979428.13,979237.7824524227,190.3475475773448,187.8117322918448,189.3742313925185
-13.533174583333334,28.975811138888886,18.4282,979434.24,979239.7835486234,194.45645137655083,192.67925419675083,194.1609591052052
-13.538092694444444,28.967430194444443,3.6266,979434.83,979243.7110322953,191.11896770470776,190.76922202730776,192.54582760996513
-13.547309083333333,28.959476444444444,4.7077,979433.98,979242.7687246964,191.2112753036199,190.7572694233199,193.23503909115948
-13.557149138888889,28.965954694444445,17.3169,979447.63,979239.3722674826,208.25773251743522,206.58770799833522,208.41042511563555
-13.566232222222222,28.97278886111111,37.6668,979454.98,979233.6138088919,221.366191108129,217.73364258292898,219.13724387258355
-13.574978194444444,28.97907933333333,65.6587,979452.84,979225.4550361467,227.38496385328472,221.05290448398472,222.3758408468544
-13.584579027777778,28.986320222222222,116.3232,979442.94,979210.3710507904,232.56894920952618,221.3508561247262,222.14220292482526
