id,AB (mGal),Longitud,Latitud
199,121.000000,-28.354,38.523
200,121.000000,-28.349,38.526
201,121.000000,-28.342,38.526
202,121.000000,-28.334,38.524
203,121.000000,-28.330,38.520
204,121.000000,-28.323,38.520
205,121.000000,-28.318,38.524
206,121.000000,-28.371,38.514
207,121.000000,-28.376,38.514
208,121.000000,-28.381,38.514
209,121.000000,-28.541,38.507
210,121.000000,-28.537,38.511
211,121.000000,-28.532,38.513
212,121.000000,-28.526,38.514
213,121.000000,-28.519,38.515
214,121.000000,-28.511,38.516
215,121.000000,-28.505,38.517
216,121.000000,-28.500,38.518
217,121.000000,-28.493,38.516
218,121.000000,-28.485,38.516
219,121.000000,-28.480,38.520
220,121.000000,-28.477,38.525
221,121.000000,-28.477,38.531
222,121.000000,-28.476,38.535
223,121.000000,-28.472,38.538
224,121.000000,-28.466,38.539
225,121.000000,-28.458,38.539
226,121.000000,-28.451,38.539
227,121.000000,-28.443,38.539
228,121.000000,-28.437,38.541
229,121.000000,-28.430,38.541
230,121.000000,-28.425,38.544
231,121.000000,-28.422,38.549
232,121.000000,-28.428,38.552
233,121.000000,-28.437,38.552
234,121.000000,-28.442,38.555
235,122.000000,-28.311,38.521
236,122.000000,-28.319,38.517
237,122.000000,-28.326,38.514
238,122.000000,-28.334,38.515
239,122.000000,-28.340,38.518
240,122.000000,-28.346,38.516
241,122.000000,-28.350,38.515
242,122.000000,-28.353,38.510
243,122.000000,-28.358,38.507
244,122.000000,-28.366,38.507
245,122.000000,-28.372,38.505
246,122.000000,-28.379,38.504
247,122.000000,-28.385,38.504
248,122.000000,-28.391,38.500
249,122.000000,-28.396,38.496
250,122.000000,-28.402,38.492
251,122.000000,-28.408,38.489
252,122.000000,-28.414,38.487
253,122.000000,-28.420,38.484
254,122.000000,-28.429,38.485
255,122.000000,-28.435,38.484
256,122.000000,-28.441,38.487
257,122.000000,-28.445,38.490
258,122.000000,-28.490,38.442
259,122.000000,-28.486,38.449
260,122.000000,-28.489,38.455
261,122.000000,-28.488,38.461
262,122.000000,-28.482,38.464
263,122.000000,-28.477,38.468
264,122.000000,-28.467,38.472
265,122.000000,-28.459,38.478
266,122.000000,-28.453,38.484
267,122.000000,-28.450,38.490
268,122.000000,-28.489,38.524
269,122.000000,-28.489,38.531
270,122.000000,-28.489,38.539
271,122.000000,-28.482,38.542
272,122.000000,-28.470,38.543
273,122.000000,-28.462,38.547
274,122.000000,-28.463,38.553
275,122.000000,-28.467,38.558
276,122.000000,-28.497,38.523
277,122.000000,-28.503,38.522
278,122.000000,-28.511,38.521
279,122.000000,-28.519,38.521
280,122.000000,-28.524,38.519
281,122.000000,-28.533,38.518
282,122.000000,-28.540,38.514
283,128.000000,-28.380,38.458
284,128.000000,-28.375,38.459
285,128.000000,-28.373,38.460
286,128.000000,-28.370,38.461
287,128.000000,-28.367,38.463
288,128.000000,-28.365,38.465
289,128.000000,-28.363,38.468
290,128.000000,-28.362,38.472
291,128.000000,-28.359,38.475
292,128.000000,-28.361,38.479
293,128.000000,-28.362,38.481
294,128.000000,-28.364,38.482
295,128.000000,-28.366,38.486
296,128.000000,-28.368,38.488
297,128.000000,-28.365,38.490
298,128.000000,-28.361,38.491
299,128.000000,-28.358,38.492
300,128.000000,-28.355,38.491
301,128.000000,-28.351,38.490
302,128.000000,-28.348,38.490
303,128.000000,-28.345,38.490
304,128.000000,-28.342,38.491
305,128.000000,-28.339,38.492
306,128.000000,-28.336,38.492
307,128.000000,-28.332,38.493
308,128.000000,-28.328,38.493
309,128.000000,-28.326,38.493
310,128.000000,-28.322,38.493
311,128.000000,-28.320,38.495
312,128.000000,-28.319,38.498
313,128.000000,-28.316,38.499
314,128.000000,-28.314,38.498
315,128.000000,-28.313,38.496
316,128.000000,-28.313,38.494
317,128.000000,-28.312,38.491
318,128.000000,-28.389,38.455
319,128.000000,-28.309,38.491
320,128.000000,-28.306,38.491
321,128.000000,-28.304,38.491
322,128.000000,-28.302,38.490
323,128.000000,-28.300,38.488
324,128.000000,-28.298,38.486
325,128.000000,-28.296,38.485
326,128.000000,-28.294,38.483
327,128.000000,-28.291,38.480
328,128.000000,-28.288,38.480
329,128.000000,-28.285,38.480
330,128.000000,-28.282,38.481
331,128.000000,-28.279,38.482
332,128.000000,-28.277,38.481
333,128.000000,-28.274,38.479
334,128.000000,-28.272,38.477
335,128.000000,-28.270,38.476
336,128.000000,-28.268,38.476
337,128.000000,-28.265,38.476
338,128.000000,-28.263,38.476
339,128.000000,-28.260,38.476
340,128.000000,-28.258,38.477
341,128.000000,-28.255,38.478
342,128.000000,-28.253,38.480
343,128.000000,-28.251,38.481
344,128.000000,-28.248,38.482
345,128.000000,-28.246,38.484
346,128.000000,-28.243,38.486
347,128.000000,-28.244,38.489
348,128.000000,-28.244,38.492
349,128.000000,-28.244,38.494
350,128.000000,-28.383,38.457
351,128.000000,-28.392,38.455
352,128.000000,-28.428,38.427
353,128.000000,-28.431,38.428
354,128.000000,-28.433,38.428
355,128.000000,-28.436,38.429
356,128.000000,-28.439,38.431
357,128.000000,-28.440,38.434
358,128.000000,-28.441,38.438
359,128.000000,-28.442,38.442
360,128.000000,-28.443,38.445
361,128.000000,-28.444,38.448
362,128.000000,-28.447,38.449
363,128.000000,-28.450,38.450
364,128.000000,-28.452,38.453
365,128.000000,-28.454,38.455
366,128.000000,-28.456,38.458
367,128.000000,-28.454,38.459
368,128.000000,-28.451,38.460
369,128.000000,-28.447,38.460
370,128.000000,-28.444,38.462
371,128.000000,-28.441,38.464
372,128.000000,-28.437,38.465
373,128.000000,-28.435,38.463
374,128.000000,-28.432,38.461
375,128.000000,-28.429,38.459
376,128.000000,-28.427,38.458
377,128.000000,-28.424,38.457
378,128.000000,-28.420,38.457
379,128.000000,-28.417,38.457
380,128.000000,-28.413,38.457
381,128.000000,-28.410,38.457
382,128.000000,-28.407,38.456
383,128.000000,-28.403,38.457
384,128.000000,-28.400,38.456
385,128.000000,-28.397,38.456
386,128.000000,-28.394,38.455
387,128.000000,-28.395,38.423
388,128.000000,-28.392,38.425
389,128.000000,-28.388,38.425
390,128.000000,-28.385,38.424
391,128.000000,-28.380,38.423
392,128.000000,-28.376,38.422
393,128.000000,-28.373,38.420
394,128.000000,-28.369,38.418
395,128.000000,-28.368,38.414
396,128.000000,-28.116,38.446
397,128.000000,-28.118,38.444
398,128.000000,-28.119,38.441
399,128.000000,-28.117,38.439
400,128.000000,-28.114,38.437
401,128.000000,-28.112,38.436
402,128.000000,-28.109,38.434
403,128.000000,-28.105,38.433
404,128.000000,-28.102,38.432
405,128.000000,-28.098,38.432
406,128.000000,-28.093,38.431
407,128.000000,-28.093,38.426
408,128.000000,-28.093,38.422
409,128.000000,-28.090,38.420
410,128.000000,-28.085,38.417
411,128.000000,-28.082,38.415
412,128.000000,-28.078,38.412
413,128.000000,-28.081,38.413
414,128.000000,-28.075,38.410
415,128.000000,-28.071,38.407
416,128.000000,-28.069,38.406
417,128.000000,-28.065,38.403
418,128.000000,-28.505,38.551
419,128.000000,-28.504,38.549
420,128.000000,-28.504,38.546
421,128.000000,-28.506,38.543
422,128.000000,-28.522,38.540
423,128.000000,-28.519,38.538
424,128.000000,-28.515,38.539
425,128.000000,-28.510,38.540
