Lon_DD,Lat_DD,H_estimada_m,Bouguer_Simple,Bouguer_Completa
-28.493,38.485,-237.17073999999664,117.0,80.95362798471726
-28.49,38.486,-234.63832000000514,117.0,81.22327078793717
-28.487,38.487,-232.0771719999891,117.0,81.4960359864378
-28.485,38.489,-225.72202000000573,117.0,82.17200044071157
-28.495,38.486,-233.1331600000043,117.0,81.38231413465145
-28.498,38.486,-232.23006400000418,117.0,81.4777916712397
-28.501,38.488,-225.33596799999745,117.0,82.20902034052837
-28.503,38.489,-222.97691200000503,117.0,82.45730145766257
-28.504,38.492,-213.36524800000643,117.0,83.47889203934596
-28.504,38.495,-203.23528000000715,117.0,84.5576871161547
-28.503,38.498,-192.5299840000074,117.0,85.69963326823705
-28.501,38.499,-187.98366399999233,117.0,86.28465330978526
-28.497,38.499,-188.11836399999174,117.0,86.25472602742505
-28.494,38.498,-192.26545600000776,117.0,85.73153520622284
-28.493,38.496,-199.38006399999125,117.0,84.97365960652995
-28.489,38.495,-203.84734000000682,117.0,84.49859137025557
-28.486,38.496,-201.15212799999074,117.0,84.78615309558711
-28.483,38.495,-205.39498000000702,117.0,84.33499578306173
-28.482,38.492,-216.11747200000664,117.0,83.1941032911523
-28.424,38.514,-219.1061440000053,117.0,82.74351323342415
-28.424,38.516,-221.5807359999996,117.0,82.45505171606973
-28.422,38.517,-223.08529600000537,117.0,80.42743899581407
-28.42,38.516,-222.13887999999938,117.0,80.52180455829846
-28.421,38.513,-218.34059199999945,117.0,81.42449035364322
-28.519,38.497,-205.01684799999714,117.0,84.35334149701517
-28.519,38.499,-198.45361599998975,117.0,85.0538192633325
-28.517,38.497,-203.8788639999979,117.0,84.47646090250923
-28.493,38.48,-254.3483200000035,118.0,80.12941636756074
-28.489,38.481,-252.21269199998676,118.0,80.35684588420806
-28.486,38.483,-246.24954400000385,118.0,80.99058570955633
-28.483,38.485,-240.2289399999962,118.0,81.63067249600567
-28.479,38.486,-237.94967200000517,118.0,81.87367214959228
-28.474,38.488,-232.40185599999714,118.0,82.46433634788369
-28.47,38.489,-230.02204000000623,118.0,82.71822522599822
-28.497,38.482,-246.19655199999542,118.0,80.99420199599916
-28.501,38.483,-242.31428800000424,118.0,81.40453729295554
-28.422,38.508,-212.05590400000455,118.0,83.92545105314264
-28.427,38.509,-212.3770720000019,118.0,84.54670024296841
-28.43,38.51,-213.10719999999895,118.0,84.46726443411093
-28.435,38.513,-216.13911999999928,118.0,84.13141086846805
-28.438,38.517,-220.94718400000593,118.0,83.60249707573672
-28.441,38.52,-224.5592800000062,118.0,83.20718934918429
-28.443,38.524,-229.72532800000323,118.0,82.6440719421509
-28.437,38.526,-232.90724800000652,118.0,82.29458574522921
-28.431,38.522,-228.27572799999993,118.0,82.79293943751576
-28.425,38.522,-228.90040000000002,118.0,82.66614602441683
-28.421,38.525,-232.97560000000047,118.0,80.26201928241727
-28.416,38.523,-231.02747200000584,118.0,80.39378755633852
-28.414,38.517,-224.15435200000516,118.0,81.13442316162104
-28.414,38.512,-218.26307200000187,118.0,82.40153759517447
-28.417,38.508,-212.9897440000043,118.0,83.6388531096331
-28.507,38.481,-251.9113119999875,118.0,80.37611462796524
-28.51,38.482,-249.97551999999564,118.0,80.57730577443743
-28.513,38.486,-238.11884800000445,118.0,81.83366020701311
-28.514,38.491,-222.05166399999658,118.0,83.54248475247215
-28.519,38.491,-224.70654399999574,118.0,83.25415622428629
-28.526,38.493,-221.94884799998889,118.0,83.54094793201783
-28.53,38.497,-211.275759999998,118.0,84.67661522197945
-28.525,38.5,-198.6999999999975,118.0,86.02332027553253
-28.517,38.502,-197.43409600000294,118.0,86.15498526040105
-28.51,38.501,-191.5854399999964,118.0,86.78917243603564
-28.506,38.501,-189.22566399999587,118.0,87.04426757572264
-28.499,38.503,-189.27428800000078,118.0,87.03468040981241
-28.493,38.502,-188.9273440000046,118.0,87.07706603846864
-28.487,38.5,-187.04200000000054,118.0,87.5054281485153
-28.48,38.498,-195.67552000000794,118.0,86.37072820278172
-28.478,38.495,-206.6846800000069,118.0,85.19881025937957
-28.476,38.492,-217.75129600000682,118.0,84.02165980889761
-28.472,38.491,-222.3765759999977,118.0,83.5306651544577
-28.446,38.516,-218.51094399999906,119.0,84.86773148290314
-28.448,38.52,-223.74784000000614,119.0,84.29537220869175
-28.449,38.527,-233.32619200000363,119.0,83.25401938877556
-28.445,38.53,-237.70840000000405,119.0,82.77776042498002
-28.439,38.529,-236.723824000007,119.0,82.88094217608007
-28.432,38.528,-235.87878400000073,119.0,82.96246301934465
-28.426,38.527,-235.0418080000036,119.0,83.0062791208822
-28.418,38.528,-236.8404160000007,119.0,80.78056278545591
-28.412,38.525,-233.75320000000048,119.0,81.08927104032911
-28.411,38.52,-228.03688000000534,119.0,81.70893213184074
-28.408,38.513,-220.3848159999993,119.0,82.90421445328872
-28.41,38.508,-214.29712000000455,119.0,84.33388210793171
-28.414,38.504,-208.83702399999837,119.0,85.61526833462328
-28.422,38.503,-205.92846400000118,119.0,86.28712202305036
-28.426,38.505,-207.56152000000475,119.0,86.0878111020573
-28.431,38.506,-207.8177440000013,119.0,86.05542113480564
-28.436,38.508,-209.44115200000476,119.0,85.8708528239288
-28.441,38.511,-212.52030400000532,119.0,85.52744632090153
-28.533,38.483,-257.6835040000023,119.0,80.72525100348017
-28.528,38.484,-252.05747199998626,119.0,81.33086755485701
-28.521,38.482,-255.18899199999476,119.0,81.00728205806239
-28.514,38.479,-261.8112159999937,119.0,80.31382743910945
-28.507,38.477,-265.3419040000024,119.0,79.95005768661666
-28.5,38.477,-262.24600000000214,119.0,80.29015349413453
-28.491,38.476,-268.78820799999403,119.0,79.59755695073717
-28.487,38.478,-263.25536799998685,119.0,80.18521822813196
-28.483,38.48,-257.6459200000031,119.0,80.78124752798695
-28.477,38.483,-249.08810800000413,119.0,81.69098025296411
-28.472,38.485,-243.59295999999608,119.0,82.27566262821028
-28.466,38.489,-231.1687120000057,119.0,83.59726046908953
-28.54,38.494,-226.41135999999557,119.0,84.05258705273673
-28.536,38.497,-214.68971199999777,119.0,85.30779330953901
-28.53,38.501,-203.3843199999947,119.0,86.51538066156823
-28.525,38.503,-203.903799999998,119.0,86.45452957423612
-28.519,38.505,-203.7866800000026,119.0,86.46285123408373
-28.512,38.505,-199.6026400000043,119.0,86.91431363006193
-28.507,38.505,-196.61404000000522,119.0,87.23696175604259
-28.501,38.506,-194.71566400000162,119.0,87.4399988656862
-28.495,38.507,-196.76535999999703,119.0,87.2181839369984
-28.49,38.505,-194.47480000000505,119.0,87.47152483221313
-28.485,38.505,-195.49720000000482,119.0,87.36307859360514
-28.48,38.503,-193.38376000000062,119.0,87.59883219826334
-28.475,38.5,-189.85,119.0,87.99263548616246
-28.471,38.499,-194.3268519999917,119.0,87.51661355954265
-28.467,38.496,-205.96201599999125,119.0,86.27853612166894
-28.465,38.493,-217.1770599999902,119.0,85.08549193993586
-28.465,38.516,-215.85975999999903,120.0,86.15020409009243
-28.467,38.522,-224.52769599999988,120.0,85.2078183944983
-28.467,38.528,-233.4747040000006,120.0,84.2396171575406
-28.462,38.532,-239.66473599999765,120.0,83.57097229936142
-28.456,38.534,-242.78761600000132,120.0,83.23279668221944
-28.447,38.534,-243.08699200000132,120.0,83.19685589541929
-28.441,38.533,-241.94891200000433,120.0,83.3158541325197
-28.433,38.531,-239.68139200000095,120.0,83.55022061823597
-28.427,38.531,-239.987248000001,120.0,83.47739826380432
-28.419,38.532,-241.60283199999816,120.0,81.28416262626186
-28.414,38.533,-243.0064480000038,120.0,81.09541442152725
-28.409,38.529,-238.60734400000626,120.0,81.55983206283777
-28.406,38.523,-232.00955200000578,120.0,82.2740507744737
-28.402,38.518,-226.86534400000247,120.0,82.83608230563134
-28.398,38.515,-224.1248800000024,120.0,83.1389532145567
-28.4,38.51,-218.35599999999968,120.0,84.38682917335129
-28.405,38.506,-212.98072000000144,120.0,85.64890360519925
-28.41,38.504,-209.67855999999873,120.0,86.42174082884685
-28.416,38.5,-203.65600000000103,120.0,87.8323602337522
-28.421,38.5,-202.48600000000118,120.0,88.08415638226269
-28.426,38.501,-202.5651039999985,120.0,87.65377207232966
-28.43,38.502,-202.92544000000422,120.0,87.60352971441306
-28.459,38.517,-218.14091200000613,120.0,85.90375398782729
-28.456,38.511,-209.98446400000537,120.0,86.79635617577411
-28.45,38.508,-206.82640000000498,120.0,87.14751140415778
-28.445,38.509,-209.1215200000017,120.0,86.89889144664465
-28.439,38.507,-207.55499199999835,120.0,87.07695145865766
-28.436,38.503,-202.9004320000012,120.0,87.59692217919613
-28.54,38.502,-211.04752000000133,120.0,86.68699668859287
-28.533,38.504,-210.40460799999502,120.0,86.75148855247821
-28.526,38.506,-209.7072639999991,120.0,86.82247591443934
-28.52,38.509,-211.28391999999985,120.0,86.647173568966
-28.511,38.509,-205.83445600000024,120.0,87.23465566440491
-28.526,38.471,-293.16865599999926,120.0,77.96375474863903
-28.522,38.475,-278.50119999998435,120.0,79.52825589817512
-28.513,38.474,-277.95443200000136,120.0,79.60145768032672
-28.504,38.471,-284.27502400000094,120.0,78.94693146107264
-28.492,38.474,-275.31990400000115,120.0,79.9046798786203
-28.496,38.472,-280.72825599998527,120.0,79.33070687963406
-28.486,38.473,-280.9398639999929,120.0,79.3097172882822
-28.482,38.475,-275.41659999998575,120.0,79.89603609198726
-28.477,38.478,-266.6487279999862,120.0,80.82699525237771
-28.471,38.481,-258.062187999987,120.0,81.73938453664509
-28.465,38.484,-249.30327999998786,120.0,82.67054737710893
-28.461,38.49,-229.01331999998985,120.0,84.82756461222367
-28.506,38.509,-202.80697600000116,120.0,87.56120045607823
-28.501,38.511,-203.15538400000645,120.0,87.52048926779038
-28.495,38.511,-203.39128000000557,120.0,87.49602911790923
-28.489,38.509,-201.16350400000135,120.0,87.74136228970002
-28.482,38.507,-199.2700959999976,120.0,87.95219666157031
-28.476,38.505,-197.33752000000487,120.0,88.1682395032293
-28.469,38.502,-194.25995200000398,120.0,88.51303413558638
-28.463,38.499,-196.2371559999915,120.0,88.31539962702986
-28.459,38.495,-211.58554000000782,120.0,86.68214663975994
-28.523,38.467,-304.98097599999073,121.0,77.7158097975431
-28.517,38.468,-299.4132159999755,121.0,78.31782210685006
-28.512,38.468,-297.4869759999758,121.0,78.53150613393277
-28.505,38.467,-298.16055999999094,121.0,78.47348907056991
-28.499,38.467,-296.65800399999193,121.0,78.64244995396574
-28.493,38.468,-295.57451199997604,121.0,78.75779772786406
-28.485,38.47,-291.7245999999926,121.0,79.16667776874066
-28.48,38.472,-286.61727999998453,121.0,79.70871522072859
-28.474,38.474,-281.77268800000184,121.0,80.22325649831177
-28.469,38.477,-272.9138440000024,121.0,81.16363536138988
-28.463,38.48,-264.24112000000343,121.0,82.08481362749643
-28.458,38.486,-244.27134400000594,121.0,84.20631339940466
-28.455,38.491,-227.08713999999875,121.0,86.03372073581954
-28.454,38.494,-216.4974879999989,121.0,87.16068993394369
-28.454,38.499,-198.3862479999916,121.0,89.08941175382321
-28.448,38.5,-196.16800000000057,121.0,89.32814515758417
-28.443,38.498,-204.68783200000863,121.0,88.42183815032169
-28.436,38.495,-217.51816000000832,121.0,87.05485747030878
-28.43,38.493,-226.54011999999028,121.0,86.08570851020927
-28.423,38.493,-228.41273199999074,121.0,85.68609458907692
-28.415,38.493,-230.5528599999905,121.0,83.55889634398876
-28.411,38.496,-220.13852799999069,121.0,85.03806829886503
-28.405,38.5,-206.23000000000098,121.0,88.24456401827864
-28.393,38.506,-215.36363200000167,121.0,86.10135360859405
-28.39,38.51,-220.10559999999947,121.0,84.9843840641209
-28.386,38.514,-224.85721600000485,121.0,84.06714905218108
-28.365,38.513,-227.14648000000045,121.0,83.83402887464162
-28.36,38.514,-228.79216000000446,121.0,83.65570861966093
-28.356,38.519,-233.57665600000033,121.0,83.12535964624392
-28.354,38.523,-237.11636800000463,121.0,82.73329476639549
-28.349,38.526,-239.99089600000448,121.0,82.4176972275131
-28.342,38.526,-240.55436800000444,121.0,82.35947873298136
-28.334,38.524,-239.78646400000252,121.0,82.45093191884915
-28.33,38.52,-238.52000000000794,121.0,82.6024027415214
-28.323,38.52,-241.628000000007,121.0,82.2720429967694
-28.318,38.524,-246.3248000000052,121.0,81.7557091511685
-28.371,38.514,-227.12737600000472,121.0,83.82946101711069
-28.376,38.514,-226.37065600000443,121.0,83.90857935948998
-28.381,38.514,-225.61393600000463,121.0,83.98780163928598
-28.541,38.507,-220.46792799999437,121.0,86.66146362778994
-28.537,38.511,-225.09320800000285,121.0,86.15676998019464
-28.532,38.513,-225.54270399999575,121.0,86.1056672895971
-28.526,38.514,-223.5996160000045,121.0,86.31363560665874
-28.519,38.515,-221.01604000000012,121.0,86.59066552673318
-28.511,38.516,-217.7861439999973,121.0,86.93740743984789
-28.505,38.517,-215.7672400000058,121.0,87.1538418135608
-28.5,38.518,-214.34800000000286,121.0,87.30576637335722
-28.493,38.516,-211.95275199999884,121.0,87.56647565594804
-28.485,38.516,-213.06903999999886,121.0,87.44729653984334
-28.48,38.52,-220.03840000000673,121.0,86.692431204185
-28.477,38.525,-228.13720000000006,121.0,85.81634594140314
-28.477,38.531,-237.4384480000009,121.0,84.81297824016713
-28.476,38.535,-243.66663999999784,121.0,84.142811307461
-28.472,38.538,-248.33814399999824,121.0,83.64019254785734
-28.466,38.539,-249.8812960000055,121.0,83.47284399999104
-28.458,38.539,-249.91124800000532,121.0,83.46676403721825
-28.451,38.539,-249.93745600000517,121.0,83.46056646869418
-28.443,38.539,-249.96740800000498,121.0,83.45131513669507
-28.437,38.541,-252.61796799999885,121.0,83.15666946375448
-28.43,38.541,-252.56151999999886,121.0,83.13436489913177
-28.425,38.544,-256.25079999999923,121.0,82.57175385319925
-28.422,38.549,-262.3009120000026,121.0,80.2884088765976
-28.428,38.552,-266.415424000003,121.0,81.60051679478761
-28.437,38.552,-267.0724960000032,121.0,81.60158470577163
-28.442,38.555,-271.4682400000035,121.0,81.14337845545256
-28.311,38.521,-247.5374000000059,122.0,82.63957671446256
-28.319,38.517,-241.53020000000768,122.0,83.29651497294711
-28.326,38.514,-236.32160000000692,122.0,83.86498908533775
-28.334,38.515,-233.43304000000242,122.0,84.16639725428134
-28.34,38.518,-234.78448000000245,122.0,84.00622408853764
-28.346,38.516,-232.46454400000053,122.0,84.260172133396
-28.35,38.515,-231.10600000000215,122.0,84.40807267269572
-28.353,38.51,-226.57912000000002,122.0,84.91417047557105
