Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-17.767279,28.6809845,3.0898,979450.33,979222.0262443082,228.30375569174066,228.00577846954067,274.59024733082657
-17.766310583333333,28.680051972222223,3.3477,979450.74,979221.8757296089,228.8642703910591,228.5414215507591,275.23877591195173
-17.755274361111113,28.703720944444445,101.6294,979429.17,979193.339218325,235.83078167506028,226.02974396846028,270.6831225253256
-17.75661513888889,28.708509944444444,85.7262,979433.51,979198.6123295898,234.89767041022424,226.63032140842424,271.338504438385
-17.75039388888889,28.710083583333333,168.6801,979411.22,979173.1275209427,238.0924790572608,221.8251388933608,270.98404260097294
-17.75061,28.712290666666664,252.4985,979394.57,979147.4250968123,247.14490318764,222.79420034614,270.15644893021204
-17.746623361111112,28.71908211111111,330.4024,979377.22,979123.8979699337,253.3220300662797,221.4583530126797,288.23706191726575
-17.749966111111114,28.725314972222222,361.2576,979372.95,979114.8495747033,258.1004252966959,223.2611036102959,275.3014576553244
-17.745417722222225,28.730573749999998,412.9047,979359.1,979099.3104417758,259.7895582241472,219.96944186084718,297.1631769728183
-17.74609188888889,28.737003055555558,413999,979362.5,979099.4621878731,263.03781212691683,223.11216256591683,300.0604862126664
-17.744983722222223,28.7402865,419.0979,979359.39,979098.1385749831,261.25142501690425,220.83404263880425,301.64392628411633
-17.74911163888889,28.74461775,430.2402,979362.72,979095.029682424,267.6903175759362,226.1983829281362,295.63541878306364
-17.75217097222222,28.751014194444444,443.9786,979360.54,979091.2769300163,269.2630699836882,226.4462177782882,283.35615959904044
-17.756436833333332,28.757693805555554,419.8904,979366.42,979099.2196763451,267.2003236549208,226.7065133693208,297.30388847168706
-17.76522575,28.757182916666668,416.3051,979370.95,979100.2872472488,270.6627527511446,230.5147052122446,292.0885879163302
-17.76340525,28.762621361111112,424.5672,979369.03,979098.1516970957,270.87830290431157,229.93346670351156,297.4345282130654
-17.76256261111111,28.76792338888889,395.4285,979373.32,979107.5483691726,265.7716308273375,227.6369017158375,294.40196335293405
-17.76957158333333,28.766930055555555,341.3409,979386.7,979124.1654481407,262.5345518592512,229.61597680415122,286.64007349182293
-17.767106444444444,28.772372694444442,342.2621,979384.6,979124.2958210765,260.30417892348487,227.29676426158488,286.39174482655363
-17.763898277777777,28.77871125,271.3838,979400.29,979146.6542354232,253.63576457684394,227.46378228864393,281.77840810149735
-17.764087083333333,28.78665938888889,192.3734,979416.83,979171.6460879447,245.18391205521766,226.63161373261767,273.01323997654794
-17.769082138888887,28.787419722222225,215.5204,979411.92,979164.5597594719,247.36024052812718,226.57566867252717,272.7048093356099
-17.77061283333333,28.795256416666668,246.7589,979406.24,979155.515546187,250.72445381304715,226.92727225594714,276.16602615771905
-17.773554999999998,28.804031527777777,268.2199,979399.87,979149.5608439611,250.3091560389148,224.44229710281482,275.35342233817056
-17.771724222222222,28.810475194444447,212304,979407.8,979167.3102450343,240.48975496576168,220.01536950976168,266.00237272996054
-17.774778166666664,28.812840833333333,180.9289,979417.17,979177.1745507349,239.9954492651159,222.5468470780159,264.2972199860231
-17.77980697222222,28.81186197222222,132.7149,979429.63,979191.9813888897,237.64861111028586,224.84971886918586,260.2247131659167
-17.776233277777777,28.81558802777778,136.2138,979426.51,979191.1855917379,235.32440826215316,222.18808560395317,258.93251726483396
-17.779569249999998,28.81864552777778,158.6991,979423.16,979184.4785607026,238.68143929739017,223.37665679249017,261.87760840025953
-17.782930138888887,28.82388036111111,202.2925,979410.86,979171.4226974159,239.4373025840614,219.9284161765614,262.6535763355843
-17.785967111111113,28.82881997222222,257.6843,979396.91,979154.7031662171,242.20683378295507,217.35601757525507,265.68498081722106
-17.787668194444446,28.828116083333335,320.1573,979381.59,979135.3680713796,246.22192862036172,215.34627876566174,269.9086204347009
-17.790970194444448,28.82958361111111,372.7092,979368.54,979119.2610811896,249.2789188104216,213.33521627162162,273.01276011136855
-17.796144305555558,28.828184055555557,457.8251,979351.76,979092.8860666476,258.8739333524136,214.7217385335136,282.5200422712698
-17.80066986111111,28.830855166666666,507.2614,979337.26,979077.8334416458,259.426558354171,210.506776199571,283.1614072503955
-17.80302302777778,28.82975938888889,549.8151,979328.42,979064.6177308728,263.8022691272199,210.77865069831992,287.53727131358005
-17.804347611111112,28.828611194444445,560.0447,979328.39,979061.3733066842,267.016693315818,213.00654249251798,290.6211675711273
-17.80594625,28.82610713888889,589.5295,979324.08,979052.0834334203,271.99656657967716,215.14293112917716,295.4802093152938
-17.81136438888889,28.826921944444443,590.9718,979324.84,979051.7005123879,273.1394876120612,216.1467581918612,296.3114925788661
-17.81589472222222,28.827008194444446,563.1534,979331.81,979060.2916788665,271.51832113356795,217.20837039096796,294.2658038751976
-17.8182175,28.821324444444443,529.5386,979346.05,979070.2315631146,275.8184368854854,224.75026384008544,297.85672627204553
