Lon_DD,Lat_DD,H_estimada_m,Bouguer_Simple,Bouguer_Completa
-28.635,38.58,-419.2551999999953,119.0,55.07509524966455
-28.635,38.577,-413.4098799999948,119.0,55.59545614544835
-28.632,38.574,-405.36899199999453,119.0,56.42287940089312
-28.629,38.573,-401.23664799999915,119.0,56.86770631644778
-28.625,38.571,-394.4589999999935,119.0,57.593270474059594
-28.621,38.57,-389.6336799999972,119.0,58.1196255301938
-28.617,38.568,-382.91046399999436,119.0,58.84615938797023
-28.612,38.571,-385.0206879999933,119.0,58.66276009294545
-28.612,38.575,-392.6356000000029,119.0,57.899825609983125
-28.633,38.582,-421.6572639999986,119.0,55.00331506748644
-28.629,38.582,-418.66763200000054,119.0,55.36472052561385
-28.625,38.582,-415.67799999999977,119.0,55.725025935014145
-28.62,38.581,-410.0216800000053,119.0,56.25792544208042
-28.617,38.581,-407.78528800000544,119.0,56.52204560190712
-28.613,38.579,-400.99208799999985,119.0,57.13074488559229
-28.61,38.582,-404.46688000000046,119.0,57.06742930221263
-28.612,38.582,-405.9616959999995,119.0,56.88903947853893
-28.61,38.585,-410.166400000001,119.0,57.69509103728764
-28.611,38.588,-416.62499200000224,119.0,59.65437903254539
-28.612,38.591,-423.0952480000009,119.0,58.84602626588097
-28.608,38.585,-408.6599200000019,119.0,57.88751770597784
-28.605,38.586,-408.2903199999978,119.0,59.19678121923549
-28.607,38.588,-413.5887040000015,119.0,60.26425984161799
-28.61,38.589,-417.7657599999971,119.0,59.73463517295566
-28.653,38.581,-434.62199200000134,119.0,53.328245832844196
-28.657,38.584,-443.57747200000244,119.0,52.63634214840677
-28.649,38.582,-433.6157919999986,119.0,53.54632365966454
-28.646,38.582,-431.37356799999884,119.0,53.820929150550796
-28.655,38.585,-444.06219999999894,119.0,52.93718386493221
-28.651,38.585,-441.0492399999982,119.0,53.39737689386721
-28.648,38.584,-436.81580800000285,119.0,53.55428757516823
-28.656,38.582,-438.84764799999664,119.0,52.90292801519325
-28.612,38.559,-362.17595199999147,117.0,59.0756055418003
-28.614,38.56,-365.4889600000023,117.0,58.71152332561186
-28.617,38.561,-369.51632799999777,117.0,58.26791176126355
-28.619,38.562,-372.84683199999245,117.0,57.90391280121884
-28.62,38.564,-377.39391999999805,117.0,57.4147942089337
-28.622,38.566,-382.66508800000196,117.0,56.84635285737478
-28.626,38.567,-387.4612479999983,117.0,56.3209490980325
-28.629,38.568,-391.55276799999376,117.0,55.87524060522726
-28.632,38.569,-395.6559520000029,117.0,55.42876963802975
-28.635,38.57,-399.7707999999983,117.0,54.981425437245164
-28.638,38.571,-403.89731199999375,117.0,54.533122490259686
-28.641,38.571,-406.07538399999095,117.0,54.288895661101606
-28.644,38.571,-408.2534559999908,117.0,54.04476308819141
-28.647,38.571,-410.4315279999907,117.0,53.800712227728
-28.649,38.572,-413.85923200000184,117.0,53.42961500782212
-28.65,38.574,-418.54239999999095,117.0,52.93372944776003
-28.652,38.576,-423.96908799999756,117.0,52.35898110009623
-28.656,38.576,-426.9120639999957,117.0,52.02346596365844
-28.658,38.577,-430.3767039999928,117.0,51.65053773719717
-28.661,38.577,-432.58976799999266,117.0,51.396636949635024
-28.665,38.577,-435.5405199999907,117.0,51.058052732283514
-28.668,38.579,-443.0093279999776,117.0,50.23655585169889
-28.669,38.581,-448.6911359999849,117.0,49.623006555070205
-28.67,38.583,-454.3706399999779,117.0,49.01104388448498
-28.668,38.586,-457.07395199997427,117.0,48.97579236564423
-28.664,38.588,-456.85580799999894,117.0,49.15256607827449
-28.658,38.588,-452.30137599999915,117.0,50.140690008733785
-28.655,38.589,-452.0114799999948,117.0,50.25479484695025
-28.651,38.589,-448.96741599999405,117.0,50.92987369463968
-28.647,38.589,-445.9233519999934,117.0,51.603499840794655
-28.643,38.587,-438.95130400000437,117.0,52.765467643631986
-28.64,38.586,-434.72175999999513,117.0,53.05583243595136
-28.636,38.585,-429.75063999999884,117.0,53.053061104323106
-28.632,38.585,-426.7376800000008,117.0,53.4772005947362
-28.627,38.584,-421.0385920000037,117.0,53.62046472147517
-28.622,38.584,-417.28211200000476,117.0,54.09875501200269
-28.618,38.585,-416.1923199999997,117.0,54.91009846962338
-28.617,38.588,-421.179424000002,117.0,56.725915241416104
-28.619,38.592,-430.3669119999971,117.0,55.26989753940065
-28.62,38.595,-436.89159999999845,117.0,53.85110997068095
-28.617,38.595,-434.57355999999857,117.0,54.38471366983707
-28.611,38.595,-429.9374799999989,117.0,55.444773297028036
-28.608,38.593,-423.8275360000077,117.0,56.78398475930325
-28.605,38.591,-417.74092000000303,117.0,58.02450809175244
-28.601,38.59,-412.7989600000066,117.0,58.96702540452452
-28.611,38.555,-353.86611999999707,116.0,58.973247670569236
