id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º
151,115.000000,39,-29,38.547,-28.606
152,112.000000,39,-29,38.625,-28.661
153,112.000000,39,-29,38.626,-28.666
154,112.000000,39,-29,38.628,-28.672
155,112.000000,39,-29,38.626,-28.677
156,112.000000,39,-29,38.625,-28.681
157,112.000000,39,-29,38.622,-28.685
158,112.000000,39,-29,38.615,-28.686
159,112.000000,39,-29,38.610,-28.687
160,112.000000,39,-29,38.607,-28.691
161,112.000000,39,-29,38.601,-28.695
162,112.000000,39,-29,38.597,-28.699
163,112.000000,39,-29,38.594,-28.700
164,112.000000,39,-29,38.588,-28.696
165,112.000000,39,-29,38.585,-28.693
166,112.000000,39,-29,38.577,-28.693
167,112.000000,39,-29,38.572,-28.693
168,112.000000,39,-29,38.568,-28.689
169,112.000000,39,-29,38.565,-28.683
170,112.000000,39,-29,38.562,-28.679
171,112.000000,39,-29,38.559,-28.673
172,112.000000,39,-29,38.557,-28.667
173,112.000000,39,-29,38.553,-28.662
174,112.000000,39,-29,38.549,-28.655
175,112.000000,39,-29,38.551,-28.650
176,112.000000,39,-29,38.556,-28.647
177,112.000000,39,-29,38.554,-28.641
178,112.000000,39,-29,38.551,-28.638
179,112.000000,39,-29,38.549,-28.631
180,112.000000,39,-29,38.547,-28.626
181,112.000000,39,-29,38.545,-28.621
182,112.000000,39,-29,38.581,-28.720
183,112.000000,39,-29,38.584,-28.717
184,112.000000,39,-29,38.587,-28.720
185,112.000000,39,-29,38.590,-28.724
186,112.000000,39,-29,38.591,-28.729
187,112.000000,39,-29,38.587,-28.732
188,112.000000,39,-29,38.582,-28.730
189,112.000000,39,-29,38.582,-28.724
190,111.000000,39,-29,38.574,-28.736
191,111.000000,39,-29,38.575,-28.731
192,111.000000,39,-29,38.573,-28.727
193,11.000000,39,-29,38.573,-28.720
194,111.000000,39,-29,38.577,-28.719
195,111.000000,39,-29,38.582,-28.712
196,111.000000,39,-29,38.586,-28.709
197,111.000000,39,-29,38.587,-28.712
198,111.000000,39,-29,38.591,-28.717
199,111.000000,39,-29,38.593,-28.722
200,111.000000,39,-29,38.596,-28.728
201,111.000000,39,-29,38.594,-28.734
202,111.000000,39,-29,38.588,-28.736
203,111.000000,39,-29,38.582,-28.735
204,111.000000,39,-29,38.577,-28.734
205,111.000000,39,-29,38.637,-28.684
206,111.000000,39,-29,38.635,-28.689
207,111.000000,39,-29,38.632,-28.697
208,111.000000,39,-29,38.625,-28.700
209,111.000000,39,-29,38.620,-28.700
210,111.000000,39,-29,38.616,-28.697
211,111.000000,39,-29,38.612,-28.694
212,111.000000,39,-29,38.607,-28.698
213,111.000000,39,-29,38.604,-28.703
214,111.000000,39,-29,38.599,-28.704
215,111.000000,39,-29,38.592,-28.705
216,111.000000,39,-29,38.589,-28.700
217,111.000000,39,-29,38.583,-28.695
218,111.000000,39,-29,38.581,-28.701
219,111.000000,39,-29,38.583,-28.705
220,111.000000,39,-29,38.578,-28.703
221,111.000000,39,-29,38.572,-28.701
222,111.000000,39,-29,38.569,-28.696
223,111.000000,39,-29,38.564,-28.692
224,111.000000,39,-29,38.560,-28.685
225,111.000000,39,-29,38.557,-28.677
226,111.000000,39,-29,38.555,-28.670
227,111.000000,39,-29,38.550,-28.665
228,111.000000,39,-29,38.547,-28.660
229,111.000000,39,-29,38.546,-28.652
230,111.000000,39,-29,38.548,-28.645
231,111.000000,39,-29,38.547,-28.639
232,111.000000,39,-29,38.545,-28.634
233,111.000000,39,-29,38.544,-28.630
234,111.000000,39,-29,38.540,-28.626
235,110.000000,39,-29,38.639,-28.693
236,110.000000,39,-29,38.636,-28.698
237,110.000000,39,-29,38.633,-28.701
238,110.000000,39,-29,38.629,-28.704
239,110.000000,39,-29,38.624,-28.707
240,110.000000,39,-29,38.619,-28.711
241,110.000000,39,-29,38.613,-28.712
242,110.000000,39,-29,38.607,-28.713
243,110.000000,39,-29,38.604,-28.716
244,110.000000,39,-29,38.603,-28.721
245,110.000000,39,-29,38.604,-28.728
246,110.000000,39,-29,38.601,-28.734
247,110.000000,39,-29,38.597,-28.739
248,110.000000,39,-29,38.593,-28.743
249,110.000000,39,-29,38.588,-28.742
250,110.000000,39,-29,38.581,-28.742
251,110.000000,39,-29,38.576,-28.741
252,110.000000,39,-29,38.570,-28.731
253,110.000000,39,-29,38.536,-28.628
254,110.000000,39,-29,38.538,-28.633
255,110.000000,39,-29,38.542,-28.638
256,110.000000,39,-29,38.543,-28.643
257,110.000000,39,-29,38.542,-28.652
258,110.000000,39,-29,38.542,-28.659
259,110.000000,39,-29,38.545,-28.666
260,110.000000,39,-29,38.548,-28.670
261,110.000000,39,-29,38.552,-28.673
262,110.000000,39,-29,38.555,-28.681
263,110.000000,39,-29,38.559,-28.689
264,110.000000,39,-29,38.562,-28.694
265,110.000000,39,-29,38.565,-28.700
266,110.000000,39,-29,38.567,-28.705
267,110.000000,39,-29,38.569,-28.710
