id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º)
167,112.000000,39,-29,38572,-28693
168,112.000000,39,-29,38568,-28689
169,112.000000,39,-29,38565,-28683
170,112.000000,39,-29,38562,-28679
171,112.000000,39,-29,38559,-28673
172,112.000000,39,-29,38557,-28667
173,112.000000,39,-29,38553,-28662
174,112.000000,39,-29,38549,-28655
175,112.000000,39,-29,38551,-28650
176,112.000000,39,-29,38556,-28647
177,112.000000,39,-29,38554,-28641
178,112.000000,39,-29,38551,-28638
179,112.000000,39,-29,38549,-28631
180,112.000000,39,-29,38547,-28626
181,112.000000,39,-29,38545,-28621
182,112.000000,39,-29,38581,-28720
183,112.000000,39,-29,38584,-28717
184,112.000000,39,-29,38587,-28720
185,112.000000,39,-29,38590,-28724
186,112.000000,39,-29,38591,-28729
187,112.000000,39,-29,38587,-28732
188,112.000000,39,-29,38582,-28730
189,112.000000,39,-29,38582,-28724
190,111.000000,39,-29,38574,-28736
191,111.000000,39,-29,38575,-28731
192,111.000000,39,-29,38573,-28727
193,11.000000,39,-29,38573,-28720
194,111.000000,39,-29,38577,-28719
195,111.000000,39,-29,38582,-28712
196,111.000000,39,-29,38586,-28709
197,111.000000,39,-29,38587,-28712
198,111.000000,39,-29,38591,-28717
199,111.000000,39,-29,38593,-28722
200,111.000000,39,-29,38596,-28728
201,111.000000,39,-29,38594,-28734
202,111.000000,39,-29,38588,-28736
203,111.000000,39,-29,38582,-28735
204,111.000000,39,-29,38577,-28734
205,111.000000,39,-29,38637,-28684
206,111.000000,39,-29,38635,-28689
207,111.000000,39,-29,38632,-28697
208,111.000000,39,-29,38625,-28700
209,111.000000,39,-29,38620,-28700
210,111.000000,39,-29,38616,-28697
211,111.000000,39,-29,38612,-28694
212,111.000000,39,-29,38607,-28698
213,111.000000,39,-29,38604,-28703
214,111.000000,39,-29,38599,-28704
215,111.000000,39,-29,38592,-28705
216,111.000000,39,-29,38589,-28700
217,111.000000,39,-29,38583,-28695
218,111.000000,39,-29,38581,-28701
219,111.000000,39,-29,38583,-28705
220,111.000000,39,-29,38578,-28703
221,111.000000,39,-29,38572,-28701
222,111.000000,39,-29,38569,-28696
223,111.000000,39,-29,38564,-28692
224,111.000000,39,-29,38560,-28685
225,111.000000,39,-29,38557,-28677
226,111.000000,39,-29,38555,-28670
227,111.000000,39,-29,38550,-28665
228,111.000000,39,-29,38547,-28660
229,111.000000,39,-29,38546,-28652
230,111.000000,39,-29,38548,-28645
231,111.000000,39,-29,38547,-28639
232,111.000000,39,-29,38545,-28634
233,111.000000,39,-29,38544,-28630
234,111.000000,39,-29,38540,-28626
235,110.000000,39,-29,38639,-28693
236,110.000000,39,-29,38636,-28698
237,110.000000,39,-29,38633,-28701
238,110.000000,39,-29,38629,-28704
239,110.000000,39,-29,38624,-28707
240,110.000000,39,-29,38619,-28711
241,110.000000,39,-29,38613,-28712
242,110.000000,39,-29,38607,-28713
243,110.000000,39,-29,38604,-28716
244,110.000000,39,-29,38603,-28721
245,110.000000,39,-29,38604,-28728
246,110.000000,39,-29,38601,-28734
247,110.000000,39,-29,38597,-28739
248,110.000000,39,-29,38593,-28743
249,110.000000,39,-29,38588,-28742
250,110.000000,39,-29,38581,-28742
251,110.000000,39,-29,38576,-28741
252,110.000000,39,-29,38570,-28731
253,110.000000,39,-29,38536,-28628
254,110.000000,39,-29,38538,-28633
255,110.000000,39,-29,38542,-28638
256,110.000000,39,-29,38543,-28643
257,110.000000,39,-29,38542,-28652
258,110.000000,39,-29,38542,-28659
259,110.000000,39,-29,38545,-28666
260,110.000000,39,-29,38548,-28670
261,110.000000,39,-29,38552,-28673
262,110.000000,39,-29,38555,-28681
263,110.000000,39,-29,38559,-28689
264,110.000000,39,-29,38562,-28694
265,110.000000,39,-29,38565,-28700
266,110.000000,39,-29,38567,-28705
267,110.000000,39,-29,38569,-28710
268,110.000000,39,-29,38572,-28707
269,110.000000,39,-29,38577,-28706
270,110.000000,39,-29,38581,-28709
271,109.000000,39,-29,38531,-28629
272,109.000000,39,-29,38533,-28634
273,109.000000,39,-29,38529,-28638
274,109.000000,39,-29,38532,-28642
275,109.000000,39,-29,38535,-28646
276,109.000000,39,-29,38536,-28652
277,109.000000,39,-29,38537,-28658
278,109.000000,39,-29,38539,-28665
279,109.000000,39,-29,38537,-28668
280,109.000000,39,-29,38536,-28673
281,109.000000,39,-29,38537,-28678
282,109.000000,39,-29,38541,-28678
283,109.000000,39,-29,38546,-28677
284,109.000000,39,-29,38551,-28679
285,109.000000,39,-29,38552,-28683
286,109.000000,39,-29,38554,-28687
287,109.000000,39,-29,38556,-28692
288,109.000000,39,-29,38558,-28697
289,109.000000,39,-29,38560,-28702
290,109.000000,39,-29,38561,-28708
291,109.000000,39,-29,38563,-28713
292,109.000000,39,-29,38564,-28717
293,109.000000,39,-29,38569,-28717
294,109.000000,39,-29,38570,-28723
295,109.000000,39,-29,38567,-28727
296,109.000000,39,-29,38565,-28732
297,109.000000,39,-29,38565,-28738
298,109.000000,39,-29,38567,-28740
299,109.000000,39,-29,38567,-28745
300,109.000000,39,-29,38570,-28749
301,109.000000,39,-29,38573,-28750
302,109.000000,39,-29,38577,-28750
303,109.000000,39,-29,38581,-28748
304,109.000000,39,-29,38585,-28748
305,109.000000,39,-29,38589,-28749
306,109.000000,39,-29,38593,-28751
307,109.000000,39,-29,38596,-28751
308,109.000000,39,-29,38599,-28748
309,109.000000,39,-29,38601,-28744
310,109.000000,39,-29,38603,-28739
311,109.000000,39,-29,38607,-28734
312,109.000000,39,-29,38609,-28730
313,109.000000,39,-29,38609,-28726
314,109.000000,39,-29,38610,-28723
315,109.000000,39,-29,38610,-28718
316,109.000000,39,-29,38614,-28716
317,109.000000,39,-29,38617,-28717
318,109.000000,39,-29,38621,-28715
319,109.000000,39,-29,38625,-28713
320,109.000000,39,-29,38628,-28709
321,109.000000,39,-29,38632,-28708
322,109.000000,39,-29,38635,-28704
323,109.000000,39,-29,38640,-28705
324,109.000000,39,-29,38639,-28701
