X,Y,fid,Bouguer_mG
-17.8700877791862,28.7197378624428,1,313
-17.8710554027709,28.7180413028193,2,313
-17.8742969890189,28.7160729300335,3,313
-17.8784710352731,28.7157606316649,4,313
-17.8816684452217,28.7168098304656,5,313
-17.884501228589,28.7184253981637,6,313
-17.885724137381,28.7214160827253,7,313
-17.8851429088597,28.7233279537316,8,313
-17.8834092577726,28.7248174863347,9,313
-17.8816663626229,28.7259719965783,10,313
-17.8800439863124,28.7269004509074,11,313
-17.8779056539385,28.727504677286,12,313
-17.8756191969872,28.7273298893223,13,313
-17.8735769458016,28.7268146683775,14,313
-17.871643071304,28.7256267103136,15,313
-17.8702007072038,28.7238696145414,16,313
-17.8698924073691,28.7218649540426,17,313
-17.872548011157,28.7170039830971,18,313
-17.8852919487421,28.7195258496656,19,313
-17.8747276213144,28.7334623438386,20,308
-17.8771021603003,28.7334117979495,21,308
-17.8798855938942,28.732982937566,22,308
-17.871770779757,28.7326629227777,23,308
-17.8688038836562,28.7314940886234,24,308
-17.8662325459069,28.7294544887416,25,308
-17.8633920362909,28.7277900991067,26,308
-17.8616589137925,28.7257326368365,27,308
-17.8606141373428,28.7232910177482,28,308
-17.8601146577795,28.7203450997205,29,308
-17.8601906147889,28.7180029367786,30,308
-17.8603861144443,28.7149191204947,31,308
-17.862257432552,28.7117998280662,32,308
-17.8651330346143,28.7096447278179,33,308
-17.8688900886273,28.7090722960025,34,308
-17.8732225100075,28.7091034658558,35,308
-17.8772688856411,28.7088942125992,36,308
-17.8807667798195,28.7090660865849,37,308
-17.8844279825347,28.7100966854709,38,308
-17.8882288965814,28.7111241959895,39,308
-17.8912428110392,28.714016212717,40,308
-17.8935348785245,28.7160613125391,41,308
-17.895435220458,28.7191002419363,42,308
-17.8956461639852,28.721682608172,43,308
-17.8943276045041,28.7245441117031,44,308
-17.8921743584142,28.7275466586446,45,308
-17.8887334431805,28.7294680454202,46,308
-17.884886906624,28.7318907537546,47,308
-17.8791482470404,28.7392195351459,48,303
-17.881921677133,28.738421282123,49,303
-17.8844123099083,28.7375058270264,50,303
-17.8869028956999,28.7365903289492,51,303
