ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
30921104,"28° 39' 26,3177''","- 17° 56' 06,7811''",130.8422,174.016,0.05,979427.34
30921105,"28° 39' 12,1966''","- 17° 56' 11,3104''",205.7469,248.816,0.05,979411.12
30921106,28° 39' 21'',- 17° 55' 45'',266.9236,no encontrada,,979401.01
30921107,28° 39' 30'',- 17° 55' 13'',309.2850,no encontrada,,979394.62
30921108,28° 39' 31'',- 17° 55' 30'',,no encontrada,,
30921109,"28° 39' 31,3856''","- 17° 54' 47,7217''",341.9905,385.274,0.05,979388.74
30921110,28° 39' 31'',- 17° 54' 47'',342.6247,no encontrada,,979388.55
30921111,"28° 39' 23,0694''","- 17° 54' 21,3325''",376.9809,419.501,,979382.58
30921112,"28° 38' 55,4966''","- 17° 54' 02,3874''",404.3027,448.044,,979371.73
30921113,"28° 38' 26,7536''","- 17° 53' 48,3003''",445.2597,488.789,0.05,979358.34
30921114,"28° 37' 59,5412''","- 17° 53' 30,5964''",473.9723,517.601,0.05,979348.43
40921115,"28° 37' 39,4605''","- 17° 53' 07,4234''",513.1188,556.699,0.05,979335.52
40921116,"28° 37' 01,5153''","- 17° 53' 07,0700''",539.1839,583.159,,979323.13
40921119,"28° 35' 53,4196''","- 17° 52' 49,5777''",611.1175,654.439,0.05,979294.87
40921120,"28° 35' 19,7433''","- 17° 52' 49,2194''",616.3787,659.583,0.05,979288.53
40921121,"28° 34' 50,3248''","- 17° 52' 42,0749''",633.5433,676.703,0.05,979280.8
40921122,"28° 34' 28,6751''","- 17° 52' 24,2714''",670.6826,713.808,0.05,979267.58
40921124,"28° 33' 57,7683''","- 17° 52' 21,8924''",696.3030,739.287,0.05,979257.37
40921125,"28° 33' 26,0327''","- 17° 52' 09,8175''",732.4655,775.363,0.05,979246.3
40921126,"28° 32' 56,8699''","- 17° 51' 59,8551''",738.5352,781.390,0.05,979241.77
40921128,"28° 32' 25,7948''","- 17° 52' 00,7522''",762.5710,805.271,0.05,979229.79
40921129,"28° 32' 01,7610''","- 17° 51' 55,4236''",768.8586,811.435,,979225.72
40921130,"28° 31' 32,0123''","- 17° 51' 47,3169''",779.4854,822.020,0.05,979219.14
40921131,"28° 31' 03,5083''","- 17° 51' 34,5269''",767.3132,809.777,0.05,979223.34
40921132,"28° 30' 37,8541''","- 17° 51' 21,1370''",745.7403,788.115,0.05,979226.8
40921133,"28° 29' 58,3174''","- 17° 51' 14,3036''",707.2877,749.512,0.05,979227.63
40921134,28° 29' 52'',- 17° 51' 07'',704.6457,no encontrada,,979230.38
50921138,"28° 29' 58,5579''","- 17° 50' 16,7266''",736.7068,779.839,,979226.16
50921139,"28° 30' 19,6586''","- 17° 49' 45,7057''",747.9898,790.333,0.05,979220.92
50921140,"28° 30' 50,0990''","- 17° 49' 24,7748''",764.9133,807.443,0.05,979220.73
50921141,"28° 31' 25,4015''","- 17° 49' 07,7821''",754.4222,797.084,0.05,979226.37
50921142,"28° 32' 08,9930''","- 17° 48' 55,5993''",723.8193,766.632,0.05,979241.01
50921144,"28° 32' 40,1115''","- 17° 48' 37,6937''",669.5118,712.408,0.05,979255.32
50921145,"28° 33' 05,0314''","- 17° 48' 20,8822''",681.9467,725.041,,979253.68
50921146,"28° 33' 37,1293''","- 17° 47' 56,8733''",676.5050,719.521,0.05,979257.58
50921148,"28° 34' 07,0313''","- 17° 47' 32,0116''",632.4380,675.447,0.05,979269.45
50921149,"28° 34' 28,6842''","- 17° 47' 14,8516''",625.4874,668.524,0.05,979271.84
50921150,"28° 34' 53,2750''","- 17° 47' 05,6303''",593.9345,637.029,0.05,979278.51
50921151,"28° 35' 22,9734''","- 17° 46' 54,5862''",579.5122,622.687,0.05,979287.01
50921152,"28° 35' 52,8638''","- 17° 46' 48,9583''",542.6213,585.843,0.05,979296.98
50921154,"28° 36' 21,7458''","- 17° 46' 46,4213''",473.9231,516.366,,979319.22
50921155,"28° 36' 56,8564''","- 17° 46' 49,1711''",460.6432,504.047,0.05,979327.43
50921156,"28° 37' 19,9387''","- 17° 46' 52,2180''",439.5230,483.083,0.05,979337.3
