Site,LatitudeOH,LongitudeOH,LatitudeWGS84,LongitudeWGS84,elevation,ObsGravity
GS0205,19.493334,-155.316162,19.490252,-155.313453,1530.7,978575.88
GS0206,19.507668,-155.33284,19.504586,-155.33013,1667,978542.75
GS0207,19.523001,-155.34166,19.519918,-155.33895,1836.4,978509.63
GS0208,19.532667,-155.347336,19.529583,-155.344626,1900.4,978495.31
GS0209,19.548,-155.343002,19.544915,-155.340291,1911.4,978488.5
GS0210,19.733334,-155.090668,19.730235,-155.087957,8.2,978858.31
GS0211,19.788334,-155.09584,19.785232,-155.093128,52.1,978861.5
GS0212,19.828333,-155.097672,19.825229,-155.094959,115.5,978852.31
GS0213,19.879999,-155.119995,19.876892,-155.117281,36.9,978884.69
GS0214,19.940001,-155.170334,19.936891,-155.167619,70.7,978885
GS0215,19.968334,-155.20784,19.965223,-155.205124,92.4,978879.25
GS0216,20.004,-155.259506,20.000888,-155.256789,95.4,978878.13
GS0217,20.014334,-155.295334,20.011222,-155.292616,218.5,978853.56
GS0218,20.034166,-155.328506,20.031053,-155.325787,129.8,978874
GS0219,20.054001,-155.372833,20.050888,-155.370113,114,978883.94
GS0220,20.016001,-155.352341,20.01289,-155.349622,481.6,978802.63
GS0221,19.986334,-155.367004,19.983225,-155.364286,944,978708.38
GS0222,19.976999,-155.434174,19.973891,-155.431455,1260,978650.75
GS0223,19.963333,-155.393326,19.960225,-155.390608,1315.2,978633.69
GS0224,19.948833,-155.418335,19.945727,-155.415617,1583.1,978577.19
GS0225,19.950001,-155.453506,19.946895,-155.450787,1573.7,978582.19
GS0226,19.954834,-155.5,19.951729,-155.497281,1481.3,978604.81
GS0227,19.966,-155.532166,19.962894,-155.529446,1279.9,978652.13
GS0228,19.988501,-155.552994,19.985394,-155.550274,1119.2,978693.25
GS0229,20.003834,-155.574997,20.000727,-155.572276,991.2,978727.13
GS0230,20.016001,-155.608841,20.012894,-155.60612,898.2,978753.69
GS0231,20.040167,-155.624832,20.037059,-155.62211,879.7,978764.5
GS0232,20.062834,-155.588837,20.059724,-155.586115,788.8,978770.81
GS0233,20.047167,-155.564163,20.044057,-155.561442,854.4,978755.94
GS0234,20.0525,-155.516998,20.049389,-155.514277,773.3,978762.81
GS0235,20.068333,-155.490326,20.065221,-155.487605,580,978795.5
GS0236,20.098,-155.56134,20.094887,-155.558618,466.6,978824.56
GS0237,20.112,-155.586334,20.108887,-155.583611,390.1,978835.69
GS0238,20.117834,-155.533005,20.11472,-155.530283,96.3,978892.19
GS0239,20.086834,-155.44783,20.08372,-155.445109,166.1,978876.31
GS0240,20.1005,-155.485336,20.097386,-155.482615,136.9,978882.56
GS0241,20.036333,-155.432663,20.033222,-155.429943,622.4,978782.88
GS0242,19.987333,-155.295166,19.984223,-155.292448,548,978786.5
GS0243,19.966667,-155.254669,19.963557,-155.251952,474.9,978801.81
GS0244,19.625,-155.108337,19.621907,-155.105628,335.3,978792.25
GS0245,19.648333,-155.08017,19.645239,-155.077461,175.3,978822.56
GS0246,19.530001,-155.300339,19.526917,-155.297629,1558.1,978559.94
GS0247,19.588833,-155.434662,19.585747,-155.43195,2368.9,978392.38
GS0248,19.539333,-155.579163,19.536252,-155.57645,3397.3,978178.81
GS0249,19.604666,-155.470993,19.60158,-155.46828,2399.4,978385.5
GS0250,19.639999,-155.484161,19.636911,-155.481447,2149.1,978444.56
GS0251,19.632999,-155.535507,19.629912,-155.532793,2243.3,978414.06
GS0252,19.625,-155.597839,19.621915,-155.595124,2272.3,978392.25
GS0253,19.629833,-155.561493,19.626747,-155.558779,2252.5,978406
GS0254,19.729166,-155.174164,19.726068,-155.171452,442.9,978766
