Lon_DD,Lat_DD,H_estimada_m,Bouguer_Simple,Bouguer_Completa
-28.493,38.485,352.68400000000076,117.0,125.06712961378754
-28.49,38.486,386.6939999999911,117.0,124.66221971822407
-28.487,38.487,427.45480000001226,117.0,126.23349175648906
-28.485,38.489,451.609999999994,117.0,126.86107284711667
-28.495,38.486,335.723999999973,117.0,124.56795806518862
-28.498,38.486,311.1171999999725,117.0,123.88104739741158
-28.501,38.488,287.62119999997117,117.0,124.92127750589651
-28.503,38.489,271.0059999999745,117.0,123.14843253027367
-28.504,38.492,262.88719999997227,117.0,123.75994401147065
-28.504,38.495,259.28599999998124,117.0,123.47914980218309
-28.503,38.498,256.9220000000055,117.0,122.73493242766503
-28.501,38.499,263.2495999999785,117.0,123.44143332622176
-28.497,38.499,282.41119999998466,117.0,123.44389429069412
-28.494,38.498,303.20480000002135,117.0,123.80886806245977
-28.493,38.496,328.7143999999834,117.0,123.48909726326842
-28.489,38.495,367.974000000005,117.0,124.54616657857571
-28.486,38.496,381.49079999997423,117.0,124.72983424498608
-28.483,38.495,407.21000000000885,117.0,124.97760259316874
-28.482,38.492,441.7580000000295,117.0,126.0988479497473
-28.424,38.514,585.2271999999627,117.0,131.14132298618796
-28.424,38.516,549.6104000000257,117.0,127.72897742623539
-28.422,38.517,534.5247999999142,117.0,128.94575017869607
-28.42,38.516,557.5840000000237,117.0,128.18010797833483
-28.421,38.513,607.9392000000234,117.0,129.4795737973572
-28.519,38.497,147.24000000002638,117.0,123.02052413945842
-28.519,38.499,138.7268000000144,117.0,122.11452816490024
-28.517,38.497,163.45320000001607,117.0,122.32175531620938
-28.493,38.48,355.0059999999826,118.0,127.08342245979554
-28.489,38.481,399.05999999997636,118.0,126.96051279044451
-28.486,38.483,433.1555999999757,118.0,126.31853506166857
-28.483,38.485,469.8059999999852,118.0,127.59628611544127
-28.479,38.486,505.3436000000187,118.0,127.495172459904
-28.474,38.488,521.6060000000125,118.0,128.53922244462754
-28.47,38.489,543.7800000000341,118.0,127.75013476044032
-28.497,38.482,315.2259999999813,118.0,126.29598107753633
-28.501,38.483,278.15399999996055,118.0,126.14050005301063
-28.422,38.508,680.7971999999538,118.0,130.37638851628498
-28.427,38.509,646.3875999999776,118.0,130.96441104315798
-28.43,38.51,616.7799999999942,118.0,131.5910727962268
-28.435,38.513,547.0060000000199,118.0,129.21593103664065
-28.438,38.517,472.21959999993203,118.0,128.11271586456445
-28.441,38.52,414.8159999999252,118.0,126.46656864670422
-28.443,38.524,353.66519999997615,118.0,126.07635187409888
-28.437,38.526,329.06119999989926,118.0,128.8116829008416
-28.431,38.522,413.8540000000127,118.0,130.19114032739753
-28.425,38.522,437.7800000000191,118.0,130.57663928093362
-28.421,38.525,385.5800000000001,118.0,128.026657989699
-28.416,38.523,415.49959999994877,118.0,130.70222154136962
-28.414,38.517,528.2211999999147,118.0,130.26739096134645
-28.414,38.512,625.5271999999716,118.0,130.24141004350992
-28.417,38.508,690.6815999999551,118.0,130.76291095394382
-28.507,38.481,214.54319999996517,118.0,124.37789679536095
-28.51,38.482,192.96599999995834,118.0,124.37295752520619
-28.513,38.486,183.35359999997883,118.0,124.71260341445122
-28.514,38.491,189.46680000000384,118.0,124.34512332882353
-28.519,38.491,151.62000000001444,118.0,123.71774128254
-28.526,38.493,92.01840000001101,118.0,124.27937256482005
-28.53,38.497,67.62999999999403,118.0,122.58001541239628
-28.525,38.5,89.2500000000113,118.0,123.01740945176351
-28.517,38.502,144.43159999999574,118.0,123.19244202871886
-28.51,38.501,204.13999999998134,118.0,124.65378901955957
-28.506,38.501,227.97799999999233,118.0,124.4771211836169
-28.499,38.503,254.36239999999466,118.0,123.30680204287252
-28.493,38.502,283.4215999999717,118.0,124.75673577623552
-28.487,38.5,340.4100000000047,118.0,125.92239383743399
-28.48,38.498,401.0220000000272,118.0,126.91442909104556
-28.478,38.495,435.20600000000303,118.0,125.79260481328517
-28.476,38.492,472.2464000000292,118.0,126.3608932738476
-28.472,38.491,510.6635999999948,118.0,127.84056963338443
-28.446,38.516,454.77240000001194,119.0,128.29384083512383
-28.448,38.52,396.3639999999423,119.0,126.98638820789161
-28.449,38.527,298.73639999993634,119.0,128.08261092905764
-28.445,38.53,256.93999999995896,119.0,128.90734408518466
-28.439,38.529,279.5199999999206,119.0,127.11578189218933
-28.432,38.528,308.91799999998017,119.0,127.40011088503513
-28.426,38.527,341.91999999992026,119.0,130.39317646983406
-28.418,38.528,326.25839999997737,119.0,128.44032129230743
-28.412,38.525,371.2099999999993,119.0,128.8385699231549
-28.411,38.52,466.16199999990476,119.0,130.23546873911047
-28.408,38.513,611.5196000000263,119.0,132.59811805559167
-28.41,38.508,701.9199999999452,119.0,132.36311530798372
-28.414,38.504,760.306800000024,119.0,132.80658857889244
-28.422,38.503,758.0231999999762,119.0,133.99993563806854
-28.426,38.505,706.8879999999718,119.0,132.65649019561064
-28.431,38.506,660.2199999999983,119.0,133.1156303184058
-28.436,38.508,606.8387999999571,119.0,130.04386709826505
-28.441,38.511,543.9779999999322,119.0,129.38583874917757
-28.533,38.483,40.1127999999869,119.0,123.72338064655297
-28.528,38.484,70.89040000000966,119.0,123.59679303701793
-28.521,38.482,113.76279999999144,119.0,124.9367220832629
-28.514,38.479,153.48880000000156,119.0,125.60478220778447
-28.507,38.477,196.20559999996567,119.0,125.65035955231535
-28.5,38.477,267.5899999999673,119.0,127.79421701855755
-28.491,38.476,354.95999999997895,119.0,127.11315568160393
-28.487,38.478,408.18000000001143,119.0,128.70279071861987
-28.483,38.48,455.92199999996285,119.0,128.42897376261462
-28.477,38.483,514.991599999974,119.0,128.31215425939047
-28.472,38.485,555.9599999999954,119.0,130.0587109714416
-28.466,38.489,582.9228000000029,119.0,129.69245002774127
-28.54,38.494,14.486000000002988,119.0,123.04781648116311
-28.536,38.497,52.671199999979706,119.0,123.18607288432234
-28.53,38.501,63.589999999998554,119.0,122.96191752680375
-28.525,38.503,81.3000000000074,119.0,123.46822282209934
-28.519,38.505,116.03000000000857,119.0,124.51531653091892
-28.512,38.505,166.82599999997427,119.0,124.50277324942094
-28.507,38.505,203.04399999996332,119.0,124.93734273877135
-28.501,38.506,235.33519999998532,119.0,125.21311362010587
-28.495,38.507,261.57200000000023,119.0,124.299033920779
-28.49,38.505,292.21999999999457,119.0,125.17535195356663
-28.485,38.505,318.2099999999859,119.0,125.57140098928464
-28.48,38.503,361.19999999998413,119.0,126.86434778271973
-28.475,38.5,417.99999999998806,119.0,128.2986603242624
-28.471,38.499,462.2435999999795,119.0,128.5756905830657
-28.467,38.496,528.459599999999,119.0,129.82149494428737
-28.465,38.493,568.9859999999846,119.0,129.98961283138902
-28.465,38.516,361.7340000000139,120.0,126.88994412897492
-28.467,38.522,295.0248000000198,120.0,127.96541030414829
-28.467,38.528,225.17119999998673,120.0,125.89849786674446
-28.462,38.532,181.15160000004417,120.0,125.60071407941476
-28.456,38.534,171.58160000003772,120.0,127.42735027111533
