longitude,latitude,AB (mGal)
55.29543005406503,-21.219835991712046,257.5
55.304976119636734,-21.22189524946354,257.5
55.31269602609889,-21.22818449488542,257.5
55.319776171941555,-21.235158846574297,257.5
55.32654476647829,-21.242190879507813,257.5
55.28919757664166,-21.209045771097408,255.0
55.29919077900031,-21.20884987217427,255.0
55.30789434327715,-21.212977028962367,255.0
55.315143253412536,-21.21986131194384,255.0
55.32217355330536,-21.226968447493,255.0
55.328824010177144,-21.234422746713605,255.0
55.33384799107381,-21.242874092014407,255.0
55.33311486757113,-21.252587705266823,255.0
55.29008793055929,-21.16061841054201,255.0
55.292758992312166,-21.16979145859572,255.0
55.26515802086581,-21.120757723216183,255.0
55.272777755544666,-21.1269080928031,255.0
55.27702940643414,-21.13568536944324,255.0
55.25595769705036,-21.106360951999175,252.5
55.264461390393365,-21.110871595030137,252.5
55.27215724632628,-21.117256503975064,252.5
55.27852289504515,-21.1248902623195,252.5
55.282356255650576,-21.133953204169327,252.5
55.28405279157901,-21.143773001778065,252.5
55.290287620937754,-21.15150916890802,252.5
55.2973602388337,-21.15852754414063,252.5
55.30107561261016,-21.167325932111385,252.5
55.30166253148841,-21.17729603864503,252.5
55.30302472880678,-21.186980876855117,252.5
55.30728987501599,-21.195871383774758,252.5
55.313154231334906,-21.20397134210581,252.5
55.31967164063699,-21.21154288716978,252.5
55.32620048603751,-21.219099470553633,252.5
55.33172368018329,-21.22743579601425,252.5
55.33711295752195,-21.235852904248713,252.5
55.34136813509562,-21.244864061024153,252.5
55.34073576746679,-21.25460545680181,252.5
55.24675737323492,-21.097500706327867,250.0
55.25660514822275,-21.09923890303399,250.0
55.265667217888364,-21.103368652807113,250.0
55.27284413669598,-21.110195738818913,250.0
55.27904819451147,-21.117990179270983,250.0
55.28371795419729,-21.126782935226753,250.0
55.287439408246605,-21.136064143898555,250.0
55.291309025151406,-21.145107255239257,250.0
55.29806458626957,-21.152445584991675,250.0
55.3050651386276,-21.15958333058435,250.0
55.30877647879786,-21.168815949692238,250.0
55.31179786477819,-21.178335400387,250.0
55.31447424499154,-21.18796798516872,250.0
55.31783227915127,-21.19732554157693,250.0
55.323703301492124,-21.205420506264304,250.0
55.32948866127287,-21.213576551652704,250.0
55.33509068899436,-21.22186010677159,250.0
55.34066219415176,-21.230164169931957,250.0
55.34606315167872,-21.238566204822167,250.0
55.350583972085985,-21.247457716259547,250.0
55.35590477288211,-21.25582178132105,250.0
55.35140898064341,-21.262786590640165,250.0
55.34196036322097,-21.265973712936105,250.0
55.222421032819845,-21.073409241458634,247.5
55.231789728476386,-21.076906031657533,247.5
55.24069009389944,-21.08137010846436,247.5
55.24924355801974,-21.086550673254287,247.5
55.257567617368224,-21.09208163074995,247.5
55.26581806165838,-21.09772662018305,247.5
55.27430958744379,-21.103008096286914,247.5
55.27981362175349,-21.11135075453928,247.5
55.28488309697079,-21.11994790427154,247.5
55.28909467214598,-21.129001005257457,247.5
55.29179112375755,-21.138619098564366,247.5
55.29828938824682,-21.14596746136562,247.5
55.305774482365166,-21.15258499494567,247.5
55.311045914509684,-21.161044975991558,247.5
55.31516434958911,-21.170126468042834,247.5
55.31796526648138,-21.179725546256613,247.5
55.320534873728924,-21.18938734368571,247.5
55.32443000504884,-21.198555897932785,247.5
55.330840042395025,-21.20612842699822,247.5
55.33675190737021,-21.214193771963092,247.5
55.342301816213734,-21.222505302897773,247.5
55.34799710234031,-21.23071874176799,247.5
55.35364135678384,-21.238971377937315,247.5
55.35995126047829,-21.246531741598613,247.5
55.36877158273601,-21.249175915955657,247.5
55.37330393521739,-21.257879784670376,247.5
55.37664950551025,-21.266940122056837,247.5
55.372945477409026,-21.275850283623928,247.5
55.22716958704716,-21.048759910163568,245.0
55.23659334526309,-21.05203386231476,245.0
55.241675004591954,-21.060164668759313,245.0
55.246657870113644,-21.068834533277137,245.0
55.252322624836594,-21.07705477253027,245.0
55.25921772393782,-21.084260843404547,245.0
55.26657114697912,-21.091024691444215,245.0
55.27453938445381,-21.09705110872256,245.0
55.28094823448928,-21.10427778738343,245.0
55.28512273326763,-21.11336478688544,245.0
55.290250895377646,-21.121942964051218,245.0
55.29298512610566,-21.13142256796369,245.0
55.29770971974778,-21.14023609250901,245.0
55.3047748346713,-21.147198559689546,245.0
55.31155402360045,-21.15451977476326,245.0
55.3173455983003,-21.16263907958888,245.0
55.32179148746449,-21.17159116883927,245.0
55.32436112183977,-21.181187306439632,245.0
55.326715654686815,-21.190905703402997,245.0
55.331950866534434,-21.19938081963117,245.0
55.33824780951171,-21.207142991397134,245.0
55.34408629404722,-21.215258471353685,245.0
55.35009548826835,-21.223235045880617,245.0
55.356402445932204,-21.23099511365582,245.0
55.36295634294991,-21.23847025715789,245.0
55.3711639598582,-21.24418138770855,245.0
55.379002425569,-21.250390933207264,245.0
55.3868408912798,-21.25660047870598,245.0
55.39467358991897,-21.262816892195627,245.0
55.40246688133177,-21.268842351987146,245.0
55.41066696003139,-21.26505694477823,245.0
55.41828639275813,-21.266058528239245,245.0
55.41198973253172,-21.27183931475525,245.0
55.402596604486256,-21.27236700560948,245.0
55.39529305301315,-21.27914101260023,245.0
55.388483170283294,-21.28635622465896,245.0
55.39900789314867,-21.24390364039218,242.5
55.402866093458385,-21.235728509618667,242.5
55.400742030853785,-21.226068846862916,242.5
55.39524422125674,-21.218338135425242,242.5
55.38980756933323,-21.211000677942575,242.5
55.391149109533636,-21.201239243594102,242.5
55.39767013844775,-21.1941109885368,242.5
55.407218050627215,-21.191244959540402,242.5
55.41405652806186,-21.197098736481763,242.5
55.41499725639424,-21.20696893375993,242.5
55.4133388951831,-21.21669279344189,242.5
55.41676529043461,-21.22597237279627,242.5
55.41805256617474,-21.235751753769165,242.5
55.4221232211264,-21.244802844190183,242.5
55.42911191072344,-21.25179144573786,242.5
55.43822939778003,-21.255753706534158,242.5
55.446652169233275,-21.253624943161885,242.5
55.4504164955872,-21.244389989864462,242.5
55.455110396156655,-21.235566841446904,242.5
55.45546735694341,-21.225908195136697,242.5
55.44801490960111,-21.21969564423176,242.5
55.43971588566954,-21.21411747270494,242.5
55.433905186597684,-21.206479965273353,242.5
55.436606958208515,-21.196853488983216,242.5
55.43632816938194,-21.187461986210092,242.5
55.428466365349585,-21.18348054440902,242.5
55.41941063092993,-21.179850636827844,242.5
55.41470462224071,-21.171027349996752,242.5
55.41012228726812,-21.162139031471916,242.5
55.40546608617161,-21.153289551348706,242.5
55.40030075969368,-21.144770972571635,242.5
55.3958628696778,-21.135946890853017,242.5
55.392678111446926,-21.127030508382692,242.5
55.391566377386745,-21.117092768985092,242.5
55.39287394800997,-21.107216984948113,242.5
55.394568254146535,-21.09736162745866,242.5
55.398698097271414,-21.088377679624347,242.5
55.402324846703806,-21.079100636095976,242.5
55.40444297671017,-21.069366102102727,242.5
55.40479519361318,-21.059391138646717,242.5
55.40405287550865,-21.049426466867555,242.5
55.40310319143351,-21.039471663998718,242.5
55.40215350735838,-21.029516861129878,242.5
55.40120382328324,-21.01956205826104,242.5
55.39949214716417,-21.009721418744988,242.5
55.39894202430303,-21.00007120388781,242.5
55.406550070178184,-20.99371238285958,242.5
55.414659731481756,-20.987887889312525,242.5
55.42326456867451,-20.98279310993691,242.5
55.43164730105659,-20.977343012018853,242.5
55.439977503644215,-20.97181227534488,242.5
55.447713416548446,-20.965506077019683,242.5
55.45457933857704,-20.95824605270997,242.5
55.46013332843301,-20.9500246853927,242.5
55.46385255264501,-20.940790927377744,242.5
55.45935929989839,-20.933202184312822,242.5
55.451782413311406,-20.927010455472473,242.5
55.44901610485521,-20.917610286426793,242.5
55.44757981890266,-20.908115181106343,242.5
55.44229321038528,-20.899626849681148,242.5
55.43748948699439,-20.890934757315026,242.5
55.438401511019144,-20.88114845317491,242.5
55.39974985474666,-20.881507807041647,242.5
55.39482943141639,-20.890213104739487,242.5
55.38802376014477,-20.897222102752696,242.5
55.37917086732337,-20.901789103129936,242.5
55.370503357431616,-20.90664451825585,242.5
55.364454719864774,-20.914366170789332,242.5
55.3630136007224,-20.92397448176335,242.5
55.36682123482335,-20.933221206726994,242.5
55.37007139082584,-20.942386696212534,242.5
55.3674880767242,-20.951954688785246,242.5
55.35913524037937,-20.957337327339506,242.5
55.35453472599657,-20.96526107893133,242.5
55.355964475798224,-20.97503749942932,242.5
55.35957358239818,-20.98435991374047,242.5
55.35578728338024,-20.993236261326256,242.5
55.34645393551135,-20.996167804468275,242.5
55.33657749216662,-20.99756156326954,242.5
55.32844614702511,-21.003259832726176,242.5
55.32113634113696,-21.01008381527838,242.5
55.313305527046715,-21.01623156564888,242.5
55.30566774978485,-21.02267631791673,242.5
55.29677821457382,-21.026389304377464,242.5
55.28685449754814,-21.02741465481826,242.5
55.2772947581867,-21.03021075793847,242.5
55.26850371506246,-21.034741900019437,242.5
55.26352543864424,-21.0425298069012,242.5
55.26194435386933,-21.052398907526403,242.5
55.26115142823642,-21.062344300972892,242.5
55.26286908968856,-21.07212915094173,242.5
55.265238180937644,-21.081841414808746,242.5
55.27342855632889,-21.087437306013143,242.5
55.280898194772625,-21.094061757583464,242.5
55.28559404950889,-21.102754283668627,242.5
