longitude,latitude,Bouguer_mG
55.46399397202814,-21.10063049264009,320.0
55.45647544404728,-21.103094414043763,320.0
55.45165090541997,-21.109294484651972,320.0
55.453295983401745,-21.116541069264905,320.0
55.45984359996379,-21.119935052219155,320.0
55.466959966059584,-21.116793612553035,320.0
55.47141037819876,-21.110453926733033,320.0
55.47277407884892,-21.102910023764085,320.0
55.466489679897435,-21.100182727621306,320.0
55.50469312901333,-21.062221321519125,320.0
55.49934409695242,-21.066778860683975,320.0
55.50416794350439,-21.07067567129246,320.0
55.51037429553199,-21.06684887903279,320.0
55.505986186840275,-21.0623602169521,320.0
55.49828548139872,-21.082884411625514,317.5
55.505503919239985,-21.07943782872404,317.5
55.512483686924575,-21.075569354490927,317.5
55.51823811421616,-21.070095226855855,317.5
55.5180646310282,-21.062362773113595,317.5
55.51328918650635,-21.056187477007843,317.5
55.50576463544056,-21.05490634737322,317.5
55.49846051704812,-21.05798716004213,317.5
55.49140445454439,-21.061725922909552,317.5
55.487726768192694,-21.06811931801233,317.5
55.49083712948738,-21.07528832005102,317.5
55.48501908455044,-21.080608715570012,317.5
55.47962770553197,-21.086491710713926,317.5
55.473257273045,-21.091109268282395,317.5
55.465995152685224,-21.09445391862398,317.5
55.45878171468713,-21.097903556307728,317.5
55.45202720615267,-21.101976676386794,317.5
55.44929694867947,-21.109243848492046,317.5
55.4503206948162,-21.116955496551924,317.5
55.45614663324292,-21.12222446706072,317.5
55.46395550952631,-21.12241345123826,317.5
55.470950700177326,-21.118618643870956,317.5
55.47575944583825,-21.112230254331845,317.5
55.480303842587254,-21.105652434365386,317.5
55.48550327854372,-21.099615150891495,317.5
55.491117172115786,-21.094060521103213,317.5
55.496860099878596,-21.08859884122784,317.5
55.46801702769128,-21.08301763003126,315.0
55.47438501114098,-21.07817623800904,315.0
55.47915353424401,-21.072247911097215,315.0
55.48024526590249,-21.0651398852298,315.0
55.48600490817147,-21.059619851817654,315.0
55.49252514339602,-21.055027365987556,315.0
55.499680868493385,-21.051456633661573,315.0
55.5074576199073,-21.049975809511086,315.0
55.5150391001907,-21.05187200310669,315.0
55.519766344696144,-21.058151054210466,315.0
55.52198299565258,-21.06582585051952,315.0
55.521544316881325,-21.073806322450494,315.0
55.517461826917014,-21.080555237627355,315.0
55.51034491875536,-21.084185666037623,315.0
55.503715714430925,-21.08803938476114,315.0
55.499946338610414,-21.094708364054245,315.0
55.493554677055975,-21.09938089667099,315.0
55.48813371844462,-21.105229329673957,315.0
55.4821053302053,-21.110447707198514,315.0
