longitude,latitude,A (mGal)
55.298249508137474,-21.22813562458092,257.5
55.299234575733294,-21.227963456547705,257.5
55.30021964332912,-21.227791288514492,257.5
55.30120471092494,-21.22761912048128,257.5
55.30218977852076,-21.227446952448066,257.5
55.30315312941626,-21.22739602268458,257.5
55.304017188053024,-21.227899413856765,257.5
55.30488124668978,-21.228402805028953,257.5
55.305745305326546,-21.228906196201137,257.5
55.30660936396331,-21.229409587373326,257.5
55.307473422600076,-21.22991297854551,257.5
55.30827967098198,-21.230500471500896,257.5
55.30905919003688,-21.231126850015094,257.5
55.30983870909178,-21.23175322852929,257.5
55.31061822814668,-21.232379607043487,257.5
55.31139774720158,-21.233005985557686,257.5
55.312177266256484,-21.23363236407188,257.5
55.312956785311385,-21.23425874258608,257.5
55.31373630436628,-21.234885121100273,257.5
55.31451582342118,-21.23551149961447,257.5
55.315295342476084,-21.236137878128666,257.5
55.316074861530986,-21.236764256642864,257.5
55.31680213275598,-21.237448157020175,257.5
55.317500359574886,-21.23816403362222,257.5
55.3181985863938,-21.238879910224263,257.5
55.31889681321271,-21.239595786826307,257.5
55.31959504003162,-21.24031166342835,257.5
55.32029326685053,-21.241027540030395,257.5
55.32099149366944,-21.24174341663244,257.5
55.32168972048835,-21.242459293234486,257.5
55.32227824227797,-21.243214993539446,257.5
55.32220182948774,-21.24421206980809,257.5
55.32212541669751,-21.24520914607673,257.5
55.32204900390728,-21.24620622234537,257.5
55.292610599992514,-21.213749297571667,255.0
55.29356555499821,-21.2134525469405,255.0
55.294520510003906,-21.21315579630933,255.0
55.295475465009595,-21.21285904567816,255.0
55.29643042001529,-21.212562295046993,255.0
55.29738537502099,-21.212265544415825,255.0
55.29834033002668,-21.211968793784656,255.0
55.29929528503238,-21.211672043153488,255.0
55.30025024003807,-21.21137529252232,255.0
55.301232197135135,-21.211281901711736,255.0
55.302231502584604,-21.21131916588576,255.0
55.303230808034066,-21.21135643005979,255.0
55.304230113483534,-21.211393694233816,255.0
55.305229418933,-21.211430958407842,255.0
55.30622872438247,-21.21146822258187,255.0
55.30722802983193,-21.211505486755897,255.0
55.30818603035453,-21.211652235097468,255.0
55.30896092798773,-21.21228432184631,255.0
55.309735825620926,-21.21291640859516,255.0
55.31051072325412,-21.213548495344003,255.0
55.31128562088732,-21.21418058209285,255.0
55.31206051852051,-21.214812668841695,255.0
55.31283541615371,-21.215444755590543,255.0
55.3136103137869,-21.216076842339387,255.0
55.3143852114201,-21.216708929088234,255.0
55.3151601090533,-21.21734101583708,255.0
55.315824890011406,-21.218087919236115,255.0
55.3164887938568,-21.218835737184605,255.0
55.317152697702184,-21.21958355513309,255.0
55.31781660154757,-21.220331373081578,255.0
55.318480505392955,-21.221079191030064,255.0
55.31914440923835,-21.221827008978554,255.0
55.31980831308373,-21.22257482692704,255.0
55.32047221692912,-21.223322644875527,255.0
55.32113612077451,-21.224070462824013,255.0
55.3218000246199,-21.224818280772503,255.0
55.322448071364704,-21.225579108511884,255.0
55.32305177095522,-21.22637632040618,255.0
55.32365547054574,-21.227173532300476,255.0
55.32425917013626,-21.227970744194774,255.0
55.32486286972678,-21.22876795608907,255.0
55.3254665693173,-21.229565167983363,255.0
55.325989347878135,-21.230408684175202,255.0
55.326370780110096,-21.231333080979837,255.0
55.32675221234205,-21.232257477784476,255.0
55.32713364457401,-21.233181874589114,255.0
55.327515076805966,-21.234106271393753,255.0
55.32789650903793,-21.235030668198387,255.0
55.32827794126988,-21.235955065003026,255.0
55.328659373501836,-21.236879461807664,255.0
55.329123183715794,-21.237761944981532,255.0
55.32964584954956,-21.23861448262071,255.0
55.33016851538331,-21.23946702025989,255.0
55.33069118121708,-21.24031955789907,255.0
55.33120483461512,-21.241176205103965,255.0
55.33150576721512,-21.24212985051514,255.0
55.331806699815125,-21.243083495926317,255.0
55.33210763241512,-21.244037141337493,255.0
55.33240856501513,-21.24499078674867,255.0
55.33265353857431,-21.245947072267413,255.0
55.33244372744953,-21.246924814202647,255.0
55.332233916324746,-21.247902556137884,255.0
55.332024105199956,-21.248880298073118,255.0
55.33181429407517,-21.249858040008352,255.0
55.331326738228,-21.250723132597276,255.0
55.33079619332917,-21.251570789432517,255.0
55.33026564843034,-21.252418446267754,255.0
55.32973510353151,-21.25326610310299,255.0
55.25521573545229,-21.108852800817665,252.5
55.25616691374559,-21.109161442769377,252.5
55.25711809203889,-21.10947008472109,252.5
