longitude,latitude,AB (mGal)
55.29543005406503,-21.219835991712046,257.5
55.29642836112284,-21.219894155431987,257.5
55.297426668180655,-21.21995231915193,257.5
55.298424975238476,-21.220010482871874,257.5
55.29942328229629,-21.220068646591816,257.5
55.30042036565287,-21.220140824316324,257.5
55.301413645036625,-21.220256565690946,257.5
55.30240692442038,-21.22037230706557,257.5
55.303277423142355,-21.220839583692573,257.5
55.30412677138955,-21.221367416578055,257.5
55.304976119636734,-21.22189524946354,257.5
55.30582546788393,-21.22242308234902,257.5
55.306674816131114,-21.222950915234506,257.5
55.3075241643783,-21.223478748119987,257.5
55.308307111548245,-21.224093354571632,257.5
55.30903859730668,-21.224775211290595,257.5
55.309770083065125,-21.22545706800956,257.5
55.31050156882357,-21.226138924728524,257.5
55.31123305458201,-21.22682078144749,257.5
55.311964540340455,-21.227502638166452,257.5
55.31269602609889,-21.22818449488542,257.5
55.313427511857334,-21.22886635160438,257.5
55.31415899761578,-21.229548208323347,257.5
55.31489048337422,-21.23023006504231,257.5
55.31554351838717,-21.23098577530292,257.5
55.31618001513751,-21.231757054686025,257.5
55.31681651188786,-21.23252833406913,257.5
55.317453008638196,-21.233299613452235,257.5
55.31812069847007,-21.23403661327181,257.5
55.31894843520581,-21.234597729923056,257.5
55.319776171941555,-21.235158846574297,257.5
55.3206039086773,-21.235719963225538,257.5
55.32141559393447,-21.236301940272206,257.5
55.32217005782897,-21.236958281823455,257.5
55.322924521723465,-21.237614623374704,257.5
55.32367898561797,-21.238270964925952,257.5
55.32443344951247,-21.2389273064772,257.5
55.325187913406964,-21.23958364802845,257.5
55.32581784610039,-21.240327660045647,257.5
55.32618130628934,-21.24125926977673,257.5
55.32654476647829,-21.242190879507813,257.5
55.326889225821105,-21.243126064521736,257.5
55.326889225821105,-21.244126064521737,257.5
55.326889225821105,-21.245126064521735,257.5
55.326889225821105,-21.246126064521736,257.5
55.326889225821105,-21.247126064521737,257.5
55.32667977992236,-21.248101440415475,257.5
55.32644784998327,-21.24907417290869,257.5
55.28919757664166,-21.209045771097408,255.0
55.290197060321944,-21.20901364053802,255.0
55.29119654400223,-21.20898150997863,255.0
55.292196027682515,-21.208949379419245,255.0
55.293195511362796,-21.208917248859855,255.0
55.29419499504308,-21.20888511830047,255.0
55.29519447872337,-21.208852987741082,255.0
55.29619396240365,-21.208820857181692,255.0
55.29719344608393,-21.208788726622306,255.0
55.29819247219573,-21.20879170410807,255.0
55.29919077900031,-21.20884987217427,255.0
55.300189085804895,-21.20890804024047,255.0
55.30118739260948,-21.20896620830667,255.0
55.30218569941406,-21.20902437637287,255.0
