longitude,latitude,Bouguer_mG
55.45363884192935,-21.082140689303877,320.0
55.45921062323567,-21.07640002269846,320.0
55.46478240454199,-21.070659356093046,320.0
55.46966781311253,-21.0643972197605,320.0
55.47393308681451,-21.057673011964116,320.0
55.480304120897905,-21.052954806388897,320.0
55.48750440456572,-21.049471828837923,320.0
55.49531210297861,-21.04822516340574,320.0
55.50326335196705,-21.04735190197311,320.0
55.510837549668246,-21.049780488531063,320.0
55.51794580808775,-21.053279354483404,320.0
55.52244596095905,-21.059893240076107,320.0
55.52706200543538,-21.066426989727674,320.0
55.525474960606054,-21.07400072448644,320.0
55.52108296397047,-21.080686780884765,320.0
55.517099613173805,-21.08762456990078,320.0
55.511297237002864,-21.0930847581827,320.0
55.5055831303059,-21.098681005764693,320.0
55.499939646490425,-21.10435113242797,320.0
55.494360710125335,-21.110083392700957,320.0
55.489012065447106,-21.116032510291504,320.0
55.48264871555427,-21.120770617444705,320.0
55.47557669554074,-21.124486766015018,320.0
55.46835825253879,-21.127935545600273,320.0
55.46050206577834,-21.129404325386428,320.0
55.452790154111106,-21.127294696676813,320.0
55.44637700391373,-21.12284553981266,320.0
55.44339543261344,-21.115504066792777,320.0
55.44237853432733,-21.10758384111115,320.0
55.44320057473509,-21.099656691248285,320.0
55.44654071819179,-21.092495731020183,320.0
55.46608444506845,-21.059743340521333,317.5
55.471058850991895,-21.05351667007762,317.5
55.47730179048211,-21.048524097968524,317.5
55.48447016858495,-21.04519262496702,317.5
55.49222220079679,-21.04338064870818,317.5
55.50021591009191,-21.04319515098764,317.5
55.50810017204462,-21.044460594626877,317.5
55.51551153482157,-21.04734645369261,317.5
55.52123254895926,-21.052652243222628,317.5
55.52566620838984,-21.05930601057552,317.5
55.529472731498714,-21.066317670508905,317.5
55.52876933934749,-21.074268055882136,317.5
55.525779227744756,-21.081639656886015,317.5
55.521377960420786,-21.088313539718005,317.5
55.516288383507614,-21.094371764254017,317.5
55.509896825242805,-21.099150968657653,317.5
55.50455748837087,-21.105106889820135,317.5
55.499434626003676,-21.111251503816703,317.5
55.49339380213532,-21.11649118130365,317.5
55.487068130979054,-21.121383000056657,317.5
55.48025210378261,-21.1255235537853,317.5
55.47311125967057,-21.129122253099407,317.5
55.46574591642806,-21.132245027333976,317.5
55.4579330373782,-21.133316432703946,317.5
55.45056033428937,-21.130422796181442,317.5
55.444017820752656,-21.125826718377333,317.5
55.44083814521789,-21.11863413507088,317.5
55.4391547061528,-21.110849707283055,317.5
55.438822647716165,-21.102874985076394,317.5
55.44076636078141,-21.095147760670198,317.5
55.44502240607568,-21.088373834301162,317.5
55.449463053723676,-21.08172008029274,317.5
55.45393492305889,-21.0750866509648,317.5
55.45828895303096,-21.068379167988766,317.5
55.44919398366541,-21.073569262934647,315.0
55.453723731818805,-21.06697522155877,315.0
55.458485755333996,-21.06055850192252,315.0
55.46365262919934,-21.054450849799192,315.0
55.46920050958567,-21.048700165841343,315.0
55.47510848520171,-21.043364413842117,315.0
55.482484019629254,-21.04037996920311,315.0
55.49039552272087,-21.039233718638865,315.0
55.49837344534349,-21.038796230487215,315.0
55.50635898116373,-21.039277081465876,315.0
55.51381112631558,-21.04217858252649,315.0
55.520957270397844,-21.04575165009154,315.0
55.52479787908426,-21.05256395180067,315.0
55.52841406188132,-21.0596669703752,315.0
55.5316448013313,-21.066956234039374,315.0
55.5336462906806,-21.074614540582747,315.0
55.5306198472408,-21.08156758250649,315.0
55.52651981126749,-21.088430501725334,315.0
55.52160075233202,-21.094684689180106,315.0
55.51520979821713,-21.0994653319503,315.0
55.50943663303026,-21.104906556924444,315.0
55.50428312653802,-21.111025492356827,315.0
55.49910613944912,-21.117121513866344,315.0
55.49308306158152,-21.122384786533516,315.0
55.486643129606335,-21.127115608377597,315.0
55.47981997345355,-21.13129227452594,315.0
55.47244981446359,-21.134361600456934,315.0
55.46474653292718,-21.136452438195867,315.0
55.45682953051046,-21.136927616427744,315.0
55.449770135366116,-21.13366018612018,315.0
55.443167934619375,-21.129189549118042,315.0
55.43853393619668,-21.12279566408293,315.0
55.436365308337336,-21.11516031084339,315.0
55.43585940887353,-21.10717754588719,315.0
55.436399348489594,-21.09927905222936,315.0
55.43913838560583,-21.091763156685612,315.0
55.44262574583318,-21.084569238331287,315.0
55.44708112552972,-21.077953094656046,315.0
55.44937540645165,-21.113793187592037,322.5
55.4494710054879,-21.105883598830136,322.5
55.45283185063193,-21.0987473074861,322.5
55.457782981593965,-21.092469118399805,322.5
55.46360007371122,-21.086981581541032,322.5
55.47043726534747,-21.082830564637923,322.5
55.47734798324191,-21.078800430870597,322.5
55.48385536202766,-21.07415747420945,322.5
55.489181095889556,-21.06822815710971,322.5
55.4931290183554,-21.061395170326428,322.5
55.49940232289373,-21.056785421427907,322.5
