longitude,latitude,A (mGal)
55.298249508137474,-21.22813562458092,257.5
55.307473422600076,-21.22991297854551,257.5
55.315295342476084,-21.236137878128666,257.5
55.32227824227797,-21.243214993539446,257.5
55.292610599992514,-21.213749297571667,255.0
55.302231502584604,-21.21131916588576,255.0
55.31128562088732,-21.21418058209285,255.0
55.318480505392955,-21.221079191030064,255.0
55.32486286972678,-21.22876795608907,255.0
55.329123183715794,-21.237761944981532,255.0
55.33244372744953,-21.246924814202647,255.0
55.25521573545229,-21.108852800817665,252.5
55.26435533724462,-21.112686419567545,252.5
55.27231267093245,-21.118711024488732,252.5
55.278389302376475,-21.12660549180591,252.5
55.28222313762023,-21.13569778409936,252.5
55.282710575651706,-21.14558757998494,252.5
55.289364946175006,-21.152511306212535,252.5
55.29669364610145,-21.159266880967998,252.5
55.3017815194469,-21.16777017873884,252.5
55.305573616157055,-21.177019736039405,252.5
55.3100929828647,-21.185895390164273,252.5
55.312966127165815,-21.195298038860717,252.5
55.31866092052184,-21.203414154334208,252.5
55.32566521020303,-21.210533094420263,252.5
55.331130221957764,-21.21863337852219,252.5
55.33495188366958,-21.227874308137903,252.5
55.33824877798298,-21.23729271017859,252.5
55.34046990934578,-21.247031979028105,252.5
55.336333080979806,-21.255789542021663,252.5
55.24809290411131,-21.099715817314678,250.0
55.25789778345313,-21.100465473135966,250.0
55.26713140975173,-21.104204446318004,250.0
55.27426168673109,-21.111215804973614,250.0
55.280369587443225,-21.119029643353016,250.0
55.285236112751186,-21.127762910948558,250.0
55.286917216680706,-21.13737898751937,250.0
55.29218905597895,-21.14547585146457,250.0
55.30020912413273,-21.151444990539872,250.0
55.30683708069308,-21.158919275858427,250.0
55.31246144709222,-21.167078756794428,250.0
55.31651119194617,-21.17621628862014,250.0
55.319314962570054,-21.185769493877167,250.0
55.32319721847374,-21.19473806226014,250.0
55.32915452230316,-21.202757529482408,250.0
55.3357506921857,-21.210273548567052,250.0
55.340850781391616,-21.21875704219027,250.0
55.34429940717844,-21.228098708907858,250.0
55.34667608595482,-21.237812173685885,250.0
55.349326938520846,-21.247453188805643,250.0
55.349648100026194,-21.256914561919487,250.0
55.341870702795035,-21.26282532199525,250.0
55.23028582575882,-21.08476317703265,247.5
55.240199937823085,-21.08475214284132,247.5
55.249831095178884,-21.087390819832997,247.5
55.259126929168836,-21.091076938446278,247.5
55.26792380337138,-21.095818259975243,247.5
55.27598245275626,-21.101710904728936,247.5
55.281968633499105,-21.109352668744183,247.5
55.28622681704064,-21.11839869345202,247.5
55.29053259941406,-21.12739999093775,247.5
55.29330895327211,-21.136998635464757,247.5
55.299658788515345,-21.14437976385306,247.5
55.307357314466365,-21.15076198119357,247.5
55.3144938391133,-21.15770218455565,247.5
